"cisi","short_mark_class","context_class","horizontal_value","vertical_value","area_value","aspect_value","dimension_status","source_status"
"H-308","034","two_side_long1_short2","11.400000","6.400000","72.960000","1.781250","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-309","033","two_side_long1_short2","8.900000","6.400000","56.960000","1.390625","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-312","034","two_side_long1_short2","14.000000","7.600000","106.400000","1.842105","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-313","034","two_side_long1_short2","14.000000","7.600000","106.400000","1.842105","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-314","034","two_side_long1_short2","12.700000","6.900000","87.630000","1.840580","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-316","033","two_side_long1_short2","14.500000","7.100000","102.950000","2.042254","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-317","034","two_side_long1_short2","11.400000","5.800000","66.120000","1.965517","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-353","033","two_side_long1_short2","15.200000","6.400000","97.280000","2.375000","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-355","033","three_side_long1_double_short","15.500000","5.800000","89.900000","2.672414","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-356","033","two_side_short1_long2","16.000000","6.000000","96.000000","2.666667","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-357","033","two_side_long1_short2","11.900000","8.100000","96.390000","1.469136","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-934","033","two_side_short1_long2","12.700000","8.900000","113.030000","1.426966","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-935","033","two_side_long1_short2","10.200000","6.400000","65.280000","1.593750","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-936","034","two_side_long1_short2","7.600000","11.900000","90.440000","0.638655","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-960","034","two_side_short1_long2","10.200000","7.600000","77.520000","1.342105","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-978","033","two_side_long1_short2","15.200000","6.400000","97.280000","2.375000","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-979","033","two_side_short1_long2","16.500000","7.000000","115.500000","2.357143","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-987","033","three_side_extra_long_text","16.500000","6.400000","105.600000","2.578125","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1273","034","two_side_long1_short2","11.400000","7.100000","80.940000","1.605634","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1302","033","two_side_long1_short2","14.000000","6.400000","89.600000","2.187500","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1303","033","two_side_long1_short2","13.200000","7.600000","100.320000","1.736842","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1304","033","two_side_long1_short2","14.500000","","","","missing_or_zero_dimension","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1344","033","two_side_long1_short2","14.000000","8.000000","112.000000","1.750000","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1345","033","two_side_long1_short2","14.500000","6.400000","92.800000","2.265625","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1346","033","two_side_long1_short2","10.200000","6.400000","65.280000","1.593750","positive_horizontal_and_vertical","T3_lipi_planning_layer_pending_image_or_plate_validation"
"H-1347","033","two_side_long1_short2","","7.600000","","","missing_or_zero_dimension","T3_lipi_planning_layer_pending_image_or_plate_validation"
