"cisi","status","primary_category","flags","collation_priority","reconciliation_class","possible_simple_policies","count_diff_mayig_minus_lipi","lipi_text_length","lipi_signs_reported","lipi_numeric_groups_total","lipi_known_numeric_groups","lipi_zero_groups","lipi_slash_count","lipi_boundary_marker","mayig_grapheme_count","mayig_p000_count","adjusted_diff_count_lipi_000_as_sign","adjusted_diff_drop_mayig_p000","adjusted_diff_count_lipi_000_drop_mayig_p000","adjusted_diff_lipi_slash_compound_as_one","lipi_repeated_known_groups","mayig_repeated_graphemes","lipi_consecutive_repeats","mayig_consecutive_repeats","recommended_next_check","lipi_text","mayig_graphemes","review_status"
"M-10","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","-1","11","11","11","11","0","0","False","10","0","-1","-1","-1","-1","","","","","Lipi has extra sign without placeholder flags; inspect for segmentation split or Mayig omission.","+405-061-070-032-033-706-235-806-002-267-455+","P086 P204 P114 P151 P316 P060 P364 P122 P067 P221","manual_collation_queue_only_not_semantic"
"M-105","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P1_source_image_required","lipi_unknown_zero_explains_count","count_lipi_000_as_sign","2","7","5","7","5","2","0","False","7","0","0","2","0","2","","P324:2","","P324@0-1","Counting Lipi 000 as a sign reconciles count; inspect whether 000 is a damaged sign or placeholder outside sign count.","+000-000-803-231-742-060-920+","P324 P324 P364 P056 P326 P120 P154","manual_collation_queue_only_not_semantic"
"M-106","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","complex_manual_collation","","-1","6","4","6","4","2","0","False","3","1","-3","-2","-4","-1","","","","","Mixed failure; requires source-image collation before reuse.","+740-760-000-002-000-350+","P324 P332 P000","manual_collation_queue_only_not_semantic"
"M-110","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","P3_policy_check_candidate","mayig_unknown_p000_explains_count","drop_mayig_P000","1","4","2","4","2","2","0","False","3","1","-1","0","-2","1","","","","","Dropping Mayig P000 reconciles count; inspect whether P000 is damage, omission, or unknown sign.","+000-000-002-817+","P000 P122 P385","manual_collation_queue_only_not_semantic"
"M-111","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","6","6","6","6","0","0","False","7","0","1","1","1","1","","P378:2","","P378@5-6","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+740-920-320-233-001-821+","P324 P160 P303 P058 P121 P378 P378","manual_collation_queue_only_not_semantic"
"M-120","manual_collation_required","lipi_compound_slash","lipi_compound_slash","P3_policy_check_candidate","slash_compound_count_policy_reconciles","treat_lipi_slash_compound_as_one_sign","-1","7","7","7","7","0","1","False","6","0","-1","-1","-1","0","","","","","Slash compound likely changes count policy; resolve whether slash marks ligature, division, or two signs.","+858/740-100-585-741-840-346+","P324 P009 P288 P325 P349 P044","manual_collation_queue_only_not_semantic"
"M-126","manual_collation_required","mayig_unknown_p000","mayig_unknown_p000","P3_policy_check_candidate","mayig_unknown_p000_explains_count","drop_mayig_P000","1","4","4","4","4","0","0","False","5","1","1","0","0","1","","","","","Dropping Mayig P000 reconciles count; inspect whether P000 is damage, omission, or unknown sign.","+520-552-060-692+","P000 P230 P234 P120 P256","manual_collation_queue_only_not_semantic"
"M-141","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;lipi_compound_slash;mayig_unknown_p000","P1_source_image_required","multi_sign_count_disagreement","","-3","10","6","10","6","4","1","False","3","2","-7","-5","-9","-2","","P000:2","","","Difference is two or more signs; compare segmentation against image and source catalog.","+817-255-636/000-000-000-240-002-031-000+","P000 P122 P000","manual_collation_queue_only_not_semantic"
"M-161","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","3","3","3","3","0","0","False","4","0","1","1","1","1","","P268:2","","P268@0-1","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+617-122-003+","P268 P268 P037 P123","manual_collation_queue_only_not_semantic"
"M-162","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","5","5","5","5","0","0","False","6","0","1","1","1","1","","","","","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+740-760-840-552-003+","P324 P332 P349 P230 P234 P123","manual_collation_queue_only_not_semantic"
"M-175","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","drop_mayig_P000","1","2+?","2","2","2","0","0","True","3","1","1","0","0","1","","","","","Boundary or broken-text marker; inspect source image/catalog before any count decision.","]002-861+","P000 P122 P385","manual_collation_queue_only_not_semantic"
"M-19","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","drop_mayig_P000","1","4+?","2","4","2","2","0","True","3","1","-1","0","-2","1","","","","","Boundary or broken-text marker; inspect source image/catalog before any count decision.","]000-000-002-861+","P000 P122 P385","manual_collation_queue_only_not_semantic"
"M-20","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","7","7","7","7","0","0","False","8","0","1","1","1","1","","P147:2","","P147@4-5","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+390-005-002-861-036-460-513+","P086 P125 P122 P385 P147 P147 P215 P275","manual_collation_queue_only_not_semantic"
"M-22","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","count_lipi_000_as_sign;drop_mayig_P000","1","7+?","6","7","6","1","0","True","7","1","0","0","-1","1","","","","","Boundary or broken-text marker; inspect source image/catalog before any count decision.","+740-904-176-220-032-798-000[","P324 P172 P194 P050 P145 P230 P000","manual_collation_queue_only_not_semantic"
"M-25","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","4","4","4","4","0","0","False","5","0","1","1","1","1","","P268:2","","P268@0-1","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+617-243-706-595+","P268 P268 P050 P316 P276","manual_collation_queue_only_not_semantic"
"M-27","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P3_policy_check_candidate","lipi_unknown_zero_explains_count","count_lipi_000_as_sign","1","7","6","7","6","1","0","False","7","0","0","1","0","1","","","","","Counting Lipi 000 as a sign reconciles count; inspect whether 000 is a damaged sign or placeholder outside sign count.","+565-235-803-741-702-900-000+","P238 P060 P364 P325 P311 P154 P123","manual_collation_queue_only_not_semantic"
"M-39","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","drop_mayig_P000","1","6+?","6","6","6","0","0","True","7","1","1","0","0","1","","","","","Boundary or broken-text marker; inspect source image/catalog before any count decision.","]705-240-235-013-204-346+","P000 P316 P062 P060 P139 P083 P303","manual_collation_queue_only_not_semantic"
"M-4","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","9","9","9","9","0","0","False","10","0","1","1","1","1","033:2","P147:2;P268:2","","P268@7-8","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+298-465-033-705-231-002-564-617-033+","P205 P186 P147 P316 P056 P122 P237 P268 P268 P147","manual_collation_queue_only_not_semantic"
"M-41","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","-1","9","9","9","9","0","0","False","8","0","-1","-1","-1","-1","","","","","Lipi has extra sign without placeholder flags; inspect for segmentation split or Mayig omission.","+740-636-240-233-235-002-405-125-820+","P324 P270 P062 P060 P122 P086 P035 P378","manual_collation_queue_only_not_semantic"
"M-45","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","6","6","6","6","0","0","False","7","0","1","1","1","1","","P268:2","","P268@0-1","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+617-831-013-302-840-032+","P268 P268 P372 P139 P205 P349 P145","manual_collation_queue_only_not_semantic"
"M-55","manual_collation_required","mayig_unknown_p000","mayig_unknown_p000","P1_source_image_required","ambiguous_unknown_policy_reconciles","count_lipi_000_as_sign;drop_mayig_P000","1","6","5","6","5","1","0","False","6","1","0","0","-1","1","","","","","Either counting Lipi 000 or dropping Mayig P000 reconciles count; source image is needed to avoid choosing a source by convenience.","+000-760-463-510-001-692+","P000 P332 P215 P275 P121 P256","manual_collation_queue_only_not_semantic"
"M-60","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","ambiguous_unknown_policy_reconciles","count_lipi_000_as_sign;drop_mayig_P000","1","2","1","2","1","1","0","False","2","1","0","0","-1","1","","","","","Either counting Lipi 000 or dropping Mayig P000 reconciles count; source image is needed to avoid choosing a source by convenience.","+151-000+","P001 P000","manual_collation_queue_only_not_semantic"
"M-61","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P3_policy_check_candidate","lipi_unknown_zero_explains_count","count_lipi_000_as_sign","1","7","6","7","6","1","0","False","7","0","0","1","0","1","","","","","Counting Lipi 000 as a sign reconciles count; inspect whether 000 is a damaged sign or placeholder outside sign count.","+740-000-231-220-455-615-689+","P324 P251 P056 P050 P221 P268 P246","manual_collation_queue_only_not_semantic"
"M-62","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P3_policy_check_candidate","lipi_unknown_zero_explains_count","count_lipi_000_as_sign","1","6","5","6","5","1","0","False","6","0","0","1","0","1","","","","","Counting Lipi 000 as a sign reconciles count; inspect whether 000 is a damaged sign or placeholder outside sign count.","+226-032-741-550-000-551+","P051 P122 P325 P230 P310 P234","manual_collation_queue_only_not_semantic"
"M-7","manual_count_disagreement","mayig_counts_more","","P1_source_image_required","multi_sign_count_disagreement","","2","9","9","9","9","0","0","False","11","0","2","2","2","2","","P154:2","","","Difference is two or more signs; compare segmentation against image and source catalog.","+407-845-140-740-101-923-240-002-861+","P086 P352 P011 P324 P154 P009 P154 P175 P062 P122 P385","manual_collation_queue_only_not_semantic"
"M-72","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","-1","7","7","7","7","0","0","False","6","0","-1","-1","-1","-1","","","","","Lipi has extra sign without placeholder flags; inspect for segmentation split or Mayig omission.","+740-255-705-140-003-002-861+","P324 P073 P316 P011 P125 P385","manual_collation_queue_only_not_semantic"
"M-73","manual_collation_required","mayig_unknown_p000","mayig_unknown_p000","P3_policy_check_candidate","mayig_unknown_p000_explains_count","drop_mayig_P000","1","3","3","3","3","0","0","False","4","1","1","0","0","1","","","","","Dropping Mayig P000 reconciles count; inspect whether P000 is damage, omission, or unknown sign.","+400-520-897+","P098 P217 P181 P000","manual_collation_queue_only_not_semantic"
"M-81","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","1","6","6","6","6","0","0","False","7","0","1","1","1","1","","P268:2","","P268@4-5","Mayig has extra signs without placeholder flags; inspect for segmentation split or duplicated grapheme.","+527-555-240-002-617-070+","P301 P230 P062 P122 P268 P268 P217","manual_collation_queue_only_not_semantic"
"M-98","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","-1","4","4","4","4","0","0","False","3","0","-1","-1","-1","-1","","","","","Lipi has extra sign without placeholder flags; inspect for segmentation split or Mayig omission.","+740-585-017-900+","P324 P288 P127","manual_collation_queue_only_not_semantic"
