"cisi","length","actual_loglik","reversed_loglik","actual_minus_reversed","actual_vs_reversed","shuffle_mean_loglik","actual_minus_shuffle_mean","actual_beats_shuffle_mean"
"M-1","5","-30.167288","-32.24673","2.079442","actual_higher","-30.740916","0.573628","True"
"M-3","3","-21.67283","-20.979682","-0.693147","reversed_higher","-21.179246","-0.493583","False"
"M-5","6","-27.604867","-37.910146","10.305279","actual_higher","-35.625168","8.020302","True"
"M-6","4","-26.224221","-24.720143","-1.504077","reversed_higher","-26.126638","-0.097583","False"
"M-8","3","-21.625079","-21.625079","0","tie","-21.051716","-0.573363","False"
"M-9","3","-21.599316","-20.500703","-1.098612","reversed_higher","-21.050009","-0.549306","False"
"M-12","9","-43.049066","-53.962335","10.913269","actual_higher","-51.988736","8.93967","True"
"M-13","3","-20.931569","-21.624716","0.693147","actual_higher","-21.36132","0.429751","True"
"M-14","5","-23.249531","-32.754033","9.504501","actual_higher","-30.269621","7.02009","True"
"M-15","5","-22.644584","-32.794931","10.150348","actual_higher","-29.758582","7.113998","True"
"M-16","4","-26.203601","-24.699524","-1.504077","reversed_higher","-26.233141","0.02954","True"
"M-17","5","-27.458917","-31.815626","4.356709","actual_higher","-31.010393","3.551475","True"
"M-18","3","-21.213135","-21.906283","0.693147","actual_higher","-20.143255","-1.06988","False"
"M-21","8","-42.130932","-47.295718","5.164786","actual_higher","-46.477814","4.346882","True"
"M-24","7","-34.082035","-43.405704","9.323669","actual_higher","-41.475429","7.393394","True"
"M-26","5","-24.8432","-32.557431","7.714231","actual_higher","-30.052968","5.209768","True"
"M-29","9","-43.826284","-54.041951","10.215667","actual_higher","-51.60155","7.775266","True"
"M-30","7","-35.649949","-43.093028","7.443078","actual_higher","-40.869166","5.219217","True"
"M-31","6","-30.298031","-36.776029","6.477997","actual_higher","-36.52863","6.230598","True"
"M-32","4","-17.571559","-26.628748","9.057189","actual_higher","-24.052685","6.481126","True"
"M-33","7","-37.480679","-43.383312","5.902633","actual_higher","-42.19004","4.709361","True"
"M-34","7","-37.736818","-43.233986","5.497168","actual_higher","-41.827294","4.090476","True"
"M-35","7","-34.29545","-43.416959","9.121509","actual_higher","-41.301001","7.005551","True"
"M-36","9","-44.363972","-53.311127","8.947156","actual_higher","-52.272372","7.9084","True"
"M-37","3","-16.165976","-21.107618","4.941642","actual_higher","-19.811669","3.645693","True"
"M-38","13","-61.062635","-73.986352","12.923717","actual_higher","-71.425949","10.363314","True"
"M-40","5","-31.68302","-32.376167","0.693147","actual_higher","-31.835513","0.152492","True"
"M-42","5","-24.649473","-32.528007","7.878534","actual_higher","-30.544072","5.894599","True"
"M-43","6","-31.421351","-36.630837","5.209486","actual_higher","-35.966366","4.545015","True"
"M-44","8","-39.171052","-47.935886","8.764834","actual_higher","-47.103181","7.932129","True"
"M-46","8","-36.963869","-48.788974","11.825105","actual_higher","-45.475886","8.512017","True"
"M-47","5","-20.884627","-32.819547","11.93492","actual_higher","-30.541061","9.656433","True"
"M-48","6","-32.348032","-36.992423","4.644391","actual_higher","-35.305753","2.95772","True"
"M-51","8","-38.655087","-48.534282","9.879195","actual_higher","-46.312095","7.657007","True"
"M-52","10","-52.053702","-56.010426","3.956723","actual_higher","-56.432083","4.37838","True"
"M-53","9","-44.353119","-53.992641","9.639522","actual_higher","-52.277102","7.923983","True"
"M-54","7","-36.623878","-42.035524","5.411646","actual_higher","-41.350519","4.72664","True"
"M-56","8","-40.902722","-48.479332","7.57661","actual_higher","-47.084058","6.181336","True"
"M-57","6","-35.30394","-37.095699","1.791759","actual_higher","-36.677184","1.373244","True"
"M-58","5","-23.259894","-32.764395","9.504501","actual_higher","-30.380198","7.120304","True"
"M-59","5","-29.513379","-31.592821","2.079442","actual_higher","-30.988063","1.474684","True"
"M-63","4","-24.456985","-26.941891","2.484907","actual_higher","-26.361732","1.904748","True"
"M-64","6","-32.059485","-37.001127","4.941642","actual_higher","-35.906997","3.847512","True"
"M-65","6","-33.371085","-36.926433","3.555348","actual_higher","-36.010259","2.639173","True"
"M-66","8","-39.740236","-47.986277","8.24604","actual_higher","-46.741122","7.000886","True"
"M-69","5","-24.921828","-32.58805","7.666222","actual_higher","-30.187007","5.265179","True"
"M-70","5","-25.553259","-32.623133","7.069874","actual_higher","-29.816547","4.263288","True"
"M-71","6","-35.271185","-37.756091","2.484907","actual_higher","-36.833463","1.562278","True"
"M-74","4","-25.257606","-26.867044","1.609438","actual_higher","-26.355538","1.097932","True"
"M-75","5","-22.297926","-31.940049","9.642123","actual_higher","-30.001665","7.703739","True"
"M-77","5","-26.192824","-31.203459","5.010635","actual_higher","-30.268083","4.07526","True"
"M-78","4","-21.765701","-27.262869","5.497168","actual_higher","-24.932497","3.166796","True"
"M-80","5","-26.532434","-32.331526","5.799093","actual_higher","-30.257195","3.724761","True"
"M-82","6","-33.982536","-35.454352","1.471817","actual_higher","-36.208923","2.226388","True"
"M-83","3","-19.131191","-21.002993","1.871802","actual_higher","-20.85044","1.719249","True"
"M-84","6","-30.947606","-37.831069","6.883463","actual_higher","-36.310157","5.362551","True"
"M-85","5","-28.537495","-31.582017","3.044522","actual_higher","-31.430373","2.892878","True"
"M-86","7","-34.023841","-42.415471","8.39163","actual_higher","-40.546256","6.522415","True"
"M-87","3","-20.885759","-21.578907","0.693147","actual_higher","-21.329374","0.443614","True"
"M-88","3","-20.556423","-21.655035","1.098612","actual_higher","-21.149945","0.593522","True"
"M-89","5","-27.078401","-32.575569","5.497168","actual_higher","-31.012281","3.93388","True"
"M-90","6","-27.849846","-38.047495","10.197649","actual_higher","-35.618938","7.769092","True"
"M-91","9","-41.054424","-53.402778","12.348353","actual_higher","-51.145027","10.090603","True"
"M-92","7","-35.692955","-43.269565","7.57661","actual_higher","-41.468079","5.775124","True"
"M-93","5","-29.568052","-32.276103","2.70805","actual_higher","-31.504079","1.936027","True"
"M-94","5","-24.707835","-32.730732","8.022897","actual_higher","-29.527","4.819164","True"
"M-95","5","-27.473824","-31.830533","4.356709","actual_higher","-30.977875","3.504051","True"
"M-96","2","-14.044587","-16.347172","2.302585","actual_higher","-15.149828","1.105241","True"
"M-97","3","-19.322545","-21.62513","2.302585","actual_higher","-21.095298","1.772753","True"
"M-99","5","-27.519221","-32.728707","5.209486","actual_higher","-31.345719","3.826498","True"
"M-100","6","-28.641111","-38.098312","9.4572","actual_higher","-35.76032","7.119209","True"
