"date","evidence_unit","source_layer","target","observed_fact","admissible_use","blocked_use","decision","accepted_crosswalk"
"2026-05-26","parpola1994_sign60_anchor","Parpola 1994 Fig. 5.1 rendered page tmp/parpola_1994_signlist/rendered/fig5_1-089.png","article sign no. 60","Rendered Fig. 5.1 page shows sign no. 60 as a fish-form sign family; page is 1805x2357 SHA256 8AFCF0D1D4662FC47014FDBF6CD6CED0F85E0FF07C2799169758E2AC2FF6996B.","Use as direct article-convention visual anchor for Parpola 2019's plain fish sign no. 60.","Equating article sign no. 60 with Mayig V060, Mahadevan M060, or local 220 by numeric label.","article_sign60_visual_anchor_only","false"
"2026-05-26","parpola1994_sign107_anchor","Parpola 1994 Fig. 5.1 rendered page tmp/parpola_1994_signlist/rendered/fig5_1-090.png","article sign no. 107","Rendered Fig. 5.1 page shows sign no. 107 as comb/rake-like diagonal-hatch variants; page is 1804x2357 SHA256 0368015D49DD13C24AB6E7DFC889A2FE1A2FB16C7AF607827AB7B6C7D104FA4D.","Use as direct article-convention visual anchor for the final sign of text no. 7.","Equating article sign no. 107 with local M-35 token 107, Mayig V107, or Mahadevan M107 by numeric label.","article_sign107_visual_anchor_blocks_numeric_collision","false"
"2026-05-26","parpola1994_sign189_anchor","Parpola 1994 Fig. 5.1 rendered page tmp/parpola_1994_signlist/rendered/fig5_1-092.png","article sign no. 189","Rendered Fig. 5.1 page shows sign no. 189 as a spear/arrow-like sign; page is 1231x1607 SHA256 3EF658B0D255988184F55ADB8883B97FDFC7661DEE12DF41248018134AF3A51C.","Use as direct article-convention visual anchor for the spear-like sign no. 189 in Parpola's obverse recurrence sentence.","Equating article sign no. 189 with local 415, local 016, M-77 terminal 861, Mayig V189, or Mahadevan M189 by numeric label.","article_sign189_visual_anchor_blocks_numeric_collision","false"
"2026-05-26","mayig_readme_namespace_policy","Mayig README at pinned local archive tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/README.md","Mayig P/V namespace","README says Mayig uses inclusive Parpola allographs as primary P IDs and gives V IDs as an alternate Parpola numbering layer with feature vectors.","Use Mayig as a namespace witness and allograph metadata source.","Treating Mayig P###, Mayig V###, Mahadevan M###, Wells W###, and Lipi local tokens as portable numeric labels.","mayig_useful_but_not_article_number_bridge","false"
"2026-05-26","mayig_v060_feature","features/P264.json","Mayig Parpola V060","P264 maps to Parpola V060/V545, Mahadevan M238, Wells W603; description is a tall rectangle with two horizontal hatches going across the center.","Reject the shortcut that article plain fish sign no. 60 equals Mayig V060.","Using V060 as Parpola 2019 plain fish sign no. 60 without a source concordance.","v060_shortcut_rejected","false"
"2026-05-26","mayig_m060_feature","features/P051.json","Mahadevan M060","P051 maps to Mahadevan M060 and Parpola V513/V321; description is fish with four small vertical strokes around the four corners.","Reject the shortcut that article plain fish sign no. 60 equals Mahadevan M060.","Using M060 as Parpola 2019 plain fish sign no. 60 without a source concordance.","m060_shortcut_rejected","false"
"2026-05-26","mayig_v107_feature","features/P191.json","Mayig Parpola V107","P191 maps to Parpola V107, Mahadevan M132, Wells W450; description is a W/wave motif with extra stroke.","Reject the shortcut that article sign no. 107 can be found by Mayig V107.","Using V107 as Parpola 2019 text no. 7 final sign without a source concordance.","v107_shortcut_rejected","false"
"2026-05-26","mayig_m107_feature","features/P125.json","Mahadevan M107","P125 maps to Mahadevan M106/M107 and Parpola V005/V017/V715/V799; description is five vertical strokes.","Reject the shortcut that article sign no. 107 equals Mahadevan M107.","Using M107 as Parpola 2019 text no. 7 final sign without a source concordance.","m107_shortcut_rejected","false"
"2026-05-26","m35_terminal107_overlap","data/open_prototype/reports/crosswalk_alignment_pairs.csv; features/P007.json","M-35 terminal local 107","Current overlap aligns local M-35 terminal 107 to Mayig P007; P007 maps to Parpola V146/V374, Mahadevan M004, Wells W105/W107; description is person with flag for a head.","Use M-35 terminal 107 as an adversarial namespace-collision example.","Claiming local M-35 terminal 107 is article sign no. 107 or Parpola text no. 7 final sign.","local107_not_article107_in_current_bridge","false"
"2026-05-26","mayig_v189_feature","features/P071.json","Mayig Parpola V189","P071 maps to Parpola V189/V489, Mahadevan M076, Wells W260; description is leftward-pointing bird with vertical tail.","Reject the shortcut that article spear-like sign no. 189 equals Mayig V189.","Using V189 as the article's spear-like sign no. 189 without a source concordance.","v189_shortcut_rejected","false"
"2026-05-26","mayig_m189_feature","features/P305.json","Mahadevan M189","P305 maps to Mahadevan M189, Parpola V058/V716, Wells W420; description is a long horizontal with multiple verticals.","Reject the shortcut that article spear-like sign no. 189 equals Mahadevan M189.","Using M189 as Parpola 2019 spear-like sign no. 189 without a source concordance.","m189_shortcut_rejected","false"
"2026-05-26","m77_terminal861_overlap","data/open_prototype/reports/crosswalk_alignment_pairs.csv; features/P385.json","M-77 terminal local 861","Current overlap aligns local M-77 terminal 861 to Mayig P385; P385 maps to Parpola V162/V420/V421/V510, Mahadevan M267, Wells W817/W861; description is diamond/leaf with a small diamond attached to top.","Use M-77 terminal 861 as an adversarial control against the recurrence sentence.","Claiming M-77 terminal 861 is article spear-like sign no. 189 or a local H-companion terminal.","m77_terminal861_not_article189","false"
"2026-05-26","m37_terminal415_overlap_control","data/open_prototype/reports/crosswalk_alignment_pairs.csv; features/P092.json","local 415 in exact M-37 +520-220-415+ control","Current overlap aligns M-37 terminal local 415 to Mayig P092; P092 maps to Parpola V042/V182, Mahadevan M171, Wells W415; description is pitchfork with tines.","Use M-37 as the current object-level local 415 to Mayig control for the +520-220-X frame.","Claiming local 415 is article spear-like sign no. 189 by numeric or visual shortcut.","local415_control_not_article189","false"
"2026-05-26","local016_overlap_control","data/open_prototype/reports/crosswalk_alignment_pairs.csv; features/P126.json","local 016 controls M-17/M-178","Current overlap aligns local 016 in M-17/M-178 controls to Mayig P126; P126 maps to Parpola V006/V018/V670/V723, Mahadevan M108/M109, Wells W006/W016; description is six short vertical strokes.","Use as a non-H-942 local 016 namespace control only.","Claiming H-942 local 016 is article spear-like sign no. 189 or equivalent to local 415 without source transcription.","local016_not_article189","false"
"2026-05-26","m37_prefix_fish_candidate","data/open_prototype/reports/crosswalk_alignment_pairs.csv; features/P050.json; Parpola 1994 Fig. 5.1 sign 60","local 220 / article sign no. 60 candidate","M-37 local +520-220-415+ aligns positionally to P217 P050 P092; P050 is a plain fish-like Mayig sign, while Parpola 1994 sign no. 60 is a fish-form article sign.","Use as a bounded candidate bridge to test local 220 against article sign no. 60 in source transcriptions.","Accepting local 220 = article sign no. 60 from one overlap and rendered visual comparison alone.","local220_sign60_candidate_unaccepted","false"
"2026-05-26","gate_decision","combined Parpola 1994, Mayig feature metadata, and local overlap controls","text no. 7 / H-obverse recurrence bridge","Direct Parpola 1994 visual anchors exist for article signs 60, 107, and 189; Mayig/Mahadevan/local numeric shortcuts conflict with those anchors or lack object-level source transcription.","Use the anchors to build an explicit object-level source bridge table; keep M-35, M-77, H-942/H-2240/H-2241, and H-2148 branches source-gated.","Accepting local-token mapping, M-77 mapping, 415=016, sign value, phonetic value, or translation from numeric equality.","fig5_1_visual_anchor_found_namespace_shortcuts_blocked","false"
