branch,class,frame_rows,frame_terminal,frame_continuing,nonframe_pool,nonframe_terminal,nonframe_continuing,sites,objects
072,close_terminal,1,1,0,13,4,9,Harappa,H-68:T
095,close_terminal,2,2,0,20,6,14,Harappa;Mohenjo-daro,H-1993:T;M-71:T
125,open_continue,4,0,4,52,15,37,Mohenjo-daro;Surkotada,M-38:C;M-119:C;M-735:C;Sktd-1:C
140,close_terminal,1,1,0,101,41,60,Mohenjo-daro,M-708:T
346,close_terminal,1,1,0,5,3,2,Mohenjo-daro,M-213:T
530,open_continue,1,0,1,17,5,12,Harappa,H-773:C
590,open_continue,1,0,1,168,40,128,Unknown,-:3335.1:C
692,close_terminal,1,1,0,67,49,18,Mohenjo-daro,M-70:T
705,close_terminal,2,2,0,163,36,127,Mohenjo-daro;Dholavira,M-1825:T;-:4237.1:T
707,close_terminal,1,1,0,0,0,0,Mohenjo-daro,M-232:T
