prev,target_closure,selector_cells,target_hits,other_closure_hits,purity,fisher_right_tail,closure_counts
503,817,5,5,0,1,0.004470304404649626,817:5 820:0 861:0
798,861,11,8,3,0.7272727272727273,0.031705296240728785,817:0 820:3 861:8
803,820,15,7,8,0.4666666666666667,0.04851282181792939,817:4 820:7 861:4
176,861,9,6,3,0.6666666666666666,0.10744041488695942,817:2 820:1 861:6
061,817,6,4,2,0.6666666666666666,0.10804957641644083,817:4 820:0 861:2
233,817,11,6,5,0.5454545454545454,0.1333698016619476,817:6 820:1 861:4
003,820,13,5,8,0.38461538461538464,0.19330195834720862,817:3 820:5 861:5
032,820,20,7,13,0.35,0.19677702144322154,817:4 820:7 861:9
017,817,5,3,2,0.6,0.22329847820075385,817:3 820:2 861:0
235,817,18,8,10,0.4444444444444444,0.2458834431162078,817:8 820:2 861:8
016,820,4,2,2,0.5,0.25536888945116637,817:0 820:2 861:2
004,817,13,6,7,0.46153846153846156,0.262729455320293,817:6 820:2 861:5
031,861,9,5,4,0.5555555555555556,0.28516422303532335,817:2 820:2 861:5
415,861,5,3,2,0.6,0.33379297458667023,817:1 820:1 861:3
240,861,21,10,11,0.47619047619047616,0.33786248779011574,817:8 820:3 861:10
017,820,5,2,3,0.4,0.3601050572162415,817:3 820:2 861:0
005,817,4,2,2,0.5,0.42526932588212896,817:2 820:1 861:1
240,817,21,8,13,0.38095238095238093,0.4367843360458837,817:8 820:3 861:10
032,861,20,9,11,0.45,0.4392425176609598,817:4 820:7 861:9
590,817,7,3,4,0.42857142857142855,0.45262027256736503,817:3 820:1 861:3
231,820,6,2,4,0.3333333333333333,0.45907185980776116,817:2 820:2 861:2
806,820,6,2,4,0.3333333333333333,0.45907185980776116,817:2 820:2 861:2
235,861,18,8,10,0.4444444444444444,0.47114993319934073,817:8 820:2 861:8
798,820,11,3,8,0.2727272727272727,0.5369098417632917,817:0 820:3 861:8
016,861,4,2,2,0.5,0.5426664571689025,817:0 820:2 861:2
220,820,7,2,5,0.2857142857142857,0.5487479013396337,817:2 820:2 861:3
220,861,7,3,4,0.42857142857142855,0.6033440473182258,817:2 820:2 861:3
590,861,7,3,4,0.42857142857142855,0.6033440473182258,817:3 820:1 861:3
231,817,6,2,4,0.3333333333333333,0.6706011465120083,817:2 820:2 861:2
806,817,6,2,4,0.3333333333333333,0.6706011465120083,817:2 820:2 861:2
003,861,13,5,8,0.38461538461538464,0.6783597059539532,817:3 820:5 861:5
004,861,13,5,8,0.38461538461538464,0.6783597059539532,817:6 820:2 861:5
005,820,4,1,3,0.25,0.6800525286080895,817:2 820:1 861:1
031,820,9,2,7,0.2222222222222222,0.6956092422534345,817:2 820:2 861:5
233,861,11,4,7,0.36363636363636365,0.7311063007031324,817:6 820:1 861:4
220,817,7,2,5,0.2857142857142857,0.757793496089754,817:2 820:2 861:3
415,820,5,1,4,0.2,0.7600393964560866,817:1 820:1 861:3
061,861,6,2,4,0.3333333333333333,0.784582072588975,817:4 820:0 861:2
231,861,6,2,4,0.3333333333333333,0.784582072588975,817:2 820:2 861:2
806,861,6,2,4,0.3333333333333333,0.784582072588975,817:2 820:2 861:2
803,817,15,4,11,0.26666666666666666,0.8199311714686681,817:4 820:7 861:4
590,820,7,1,6,0.14285714285714285,0.8654804041932667,817:3 820:1 861:3
004,820,13,2,11,0.15384615384615385,0.8733475370841562,817:6 820:2 861:5
031,817,9,2,7,0.2222222222222222,0.8742836817711734,817:2 820:2 861:5
176,817,9,2,7,0.2222222222222222,0.8742836817711734,817:2 820:1 861:6
415,817,5,1,4,0.2,0.8800337508902095,817:1 820:1 861:3
005,861,4,1,3,0.25,0.8805164617827937,817:2 820:1 861:1
003,817,13,3,10,0.23076923076923078,0.8824679966176817,817:3 820:5 861:5
176,820,9,1,8,0.1111111111111111,0.9249353108725432,817:2 820:1 861:6
803,861,15,4,11,0.26666666666666666,0.9267358389916887,817:4 820:7 861:4
240,820,21,3,18,0.14285714285714285,0.9279784937251935,817:8 820:3 861:10
032,817,20,4,16,0.2,0.9551991527839023,817:4 820:7 861:9
233,820,11,1,10,0.09090909090909091,0.9583074759001177,817:6 820:1 861:4
235,820,18,2,16,0.1111111111111111,0.9622043012414709,817:8 820:2 861:8
