head,frame_rows,exact_text_rows,branch_count,repeated_branch_count,terminal_rows,continuing_rows,determinism_score,determinism_p,determinism_method,exact_text_determinism_score,exact_text_determinism_p,exact_text_method,pure_branches,branch_counts,examples
861,34,28,23,6,25,9,34,0.003,monte_carlo_50000_label_permutations,28,0.04606,monte_carlo_50000_label_permutations,23,000:2;416:6;125:1;244:1;216:1;831:1;791:1;626:1;392:1;096:2;683:1;032:1;832:1;036:1;255:1;603:3;698:2;360:1;533:2;901:1;031:1;803:1;390:1,Ad-8:503-002-861-000-<END>:T|H-2094:<START>-002-861-416-<END>:T|H-2097:<START>-002-861-416-<END>:T|H-2095:<START>-002-861-416-<END>:T|-:621.1:<START>-002-861-416-<END>:T|H-2096:<START>-002-861-416-<END>:T|H-55:004-002-861-125-<END>:T|H-129:031-002-861-244-165:C|H-446:798-002-861-216-<END>:T|H-688:233-002-861-831-165:C|H-910:<START>-002-861-416-<END>:T|K-40:031-002-861-791-440 717:C
405,32,4,4,1,30,2,32,0.006048387096774193,exact_496_label_permutations,,,,4,321:1;501:29;372:1;125:1,H-22:806-002-405-321-<END>:T|H-252:240-002-405-501-<END>:T|H-253:240-002-405-501-<END>:T|H-254:240-002-405-501-<END>:T|H-255:240-002-405-501-<END>:T|H-256:240-002-405-501-<END>:T|H-257:240-002-405-501-<END>:T|H-258:240-002-405-501-<END>:T|H-259:240-002-405-501-<END>:T|H-260:240-002-405-501-<END>:T|H-261:240-002-405-501-<END>:T|H-262:240-002-405-501-<END>:T
390,15,15,10,3,9,6,15,0.024175824175824177,exact_5005_label_permutations,15,0.024175824175824177,exact_5005_label_permutations,10,095:2;072:1;530:1;125:4;692:1;346:1;707:1;140:1;590:1;705:2,H-1993:004-002-390-095-<END>:T|H-68:003-002-390-072-<END>:T|H-773:803-002-390-530-741:C|M-38:235-002-390-125-632 032:C|M-70:032-002-390-692-<END>:T|M-71:142-002-390-095-<END>:T|M-119:484-002-390-125-632 032 900 563:C|M-213:384-002-390-346-<END>:T|M-232:236-002-390-707-<END>:T|M-708:061-002-390-140-<END>:T|M-735:235-002-390-125-195:C|-:3335.1:032-002-390-590-032:C
817,8,8,6,1,4,4,8,0.14285714285714285,exact_70_label_permutations,8,0.14285714285714285,exact_70_label_permutations,6,808:1;000:3;192:1;090:1;690:1;032:1,H-456:706-002-817-808-<END>:T|H-609:231-002-817-000-<END>:T|M-1662:233-002-817-192-000:C|M-644:240-002-817-090-370:C|M-692:004-002-817-000-<END>:T|M-855:590-002-817-690-544:C|M-1391:798-002-817-032-320:C|K-155:<START>-002-817-000-<END>:T
220,11,11,5,2,1,10,11,0.2727272727272727,exact_11_label_permutations,11,0.2727272727272727,exact_11_label_permutations,5,455:5;000:1;065:3;880:1;627:1,H-1874:<START>-002-220-455-000:C|H-82:017-002-220-455-741:C|H-268:803-002-220-455-920:C|H-593:240-002-220-000-<END>:T|K-25:231-002-220-065-132 082:C|M-29:806-002-220-455-503:C|M-46:235-002-220-065-215:C|M-140:336-002-220-065-440 455:C|M-147:803-002-220-455-520:C|M-655:233-002-220-880-689:C|M-1427:140-002-220-627-615 906 388:C
820,8,8,6,2,6,2,8,0.2857142857142857,exact_28_label_permutations,8,0.2857142857142857,exact_28_label_permutations,6,000:2;033:1;001:1;700:1;741:2;906:1,H-909:<START>-002-820-000-<END>:T|K-23:441-002-820-033-<END>:T|M-1677:032-002-820-001-440 012:C|M-86:231-002-820-700-<END>:T|M-160:031-002-820-741-<END>:T|M-1045:032-002-820-000-<END>:T|M-1119:803-002-820-741-<END>:T|M-1178:<START>-002-820-906-000:C
368,12,12,11,1,6,6,12,0.45454545454545453,exact_924_label_permutations,12,0.45454545454545453,exact_924_label_permutations,11,634:1;550:1;260:2;861:1;840:1;202:1;906:1;119:1;518:1;165:1;590:1,Blk-2:061-002-368-634-<END>:T|B-1:220-002-368-550-821:C|H-600:<START>-002-368-260-<END>:T|K-10:255-002-368-861-590 032 368:C|L-213:220-002-368-840-900:C|M-1789:455-002-368-260-<END>:T|M-12:233-002-368-202-892 371:C|M-36:032-002-368-906-329:C|M-99:215-002-368-119-<END>:T|M-253:803-002-368-518-<END>:T|M-311:401-002-368-165-<END>:T|?-3:<START>-002-368-590-900:C
000,11,11,8,2,8,3,10,0.7454545454545455,exact_165_label_permutations,10,0.7454545454545455,exact_165_label_permutations,7,861:1;000:3;031:1;215:1;350:1;216:1;090:2;317:1,H-486:<START>-002-000-861-031:C|K-44:176-002-000-000-<END>:T|M-2005:033-002-000-031-<END>:T|M-1783:003-002-000-215-<END>:T|M-106:000-002-000-350-<END>:T|M-636:032-002-000-216-<END>:T|M-902:798-002-000-090-<END>:T|M-1995:832-002-000-000-<END>:T|-:5226.1:<START>-002-000-090-725 000:C|Ns-67:000-002-000-000-<END>:T|-:5468.1:361-002-000-317-688:C
031,15,15,11,4,13,2,14,0.7714285714285715,exact_105_label_permutations,14,0.7714285714285715,exact_105_label_permutations,10,500:1;892:2;480:2;000:2;165:1;575:2;502:1;350:1;376:1;104:1;820:1,C-6:221-002-031-500-<END>:T|H-44:803-002-031-892-<END>:T|H-389:235-002-031-480-625:C|M-1745:031-002-031-892-<END>:T|M-141:240-002-031-000-<END>:T|M-211:220-002-031-165-<END>:T|M-318:003-002-031-575-<END>:T|M-678:806-002-031-502-<END>:T|M-739:415-002-031-350-550 692:C|M-1386:235-002-031-480-<END>:T|M-1823:004-002-031-376-<END>:T|-:4164.1:423-002-031-104-<END>:T
595,7,7,7,0,1,6,7,1,exact_7_label_permutations,7,1,exact_7_label_permutations,7,812:1;575:1;632:1;390:1;504:1;906:1;342:1,H-130:806-002-595-812-125 717:C|H-131:055-002-595-575-794 000:C|H-385:220-002-595-632-354 850:C|K-89:350-002-595-390-000:C|M-1676:240-002-595-504-803:C|M-809:495-002-595-906-<END>:T|M-1341:016-002-595-342-632:C
