left,right,pair,n,dominant_count,opposite_count,dominant_share,binomial_p
740,002,002|740,333,332,1,0.996996996996997,1.9087889434414012e-98
240,002,002|240,80,80,0,1,8.271806125530277e-25
520,002,002|520,69,66,3,0.9565217391304348,9.285175167801762e-17
220,002,002|220,102,90,12,0.8823529411764706,3.062701381100684e-16
235,002,002|235,57,56,1,0.9824561403508771,4.0245584642661905e-16
233,002,002|233,54,53,1,0.9814814814814815,3.053113317719183e-15
032,002,002|032,98,84,14,0.8571428571428571,1.2287579187556324e-13
760,002,002|760,38,38,0,1,3.637978807091714e-12
033,002,002|033,55,49,6,0.8909090909090909,9.114172472291028e-10
100,002,002|100,30,30,0,1,9.313225746154793e-10
803,002,002|803,42,38,4,0.9047619047619048,2.82657310890501e-8
231,002,002|231,30,29,1,0.9666666666666667,2.8870999813079824e-8
798,002,002|798,37,34,3,0.918918918918919,6.16564648225908e-8
390,002,002|390,80,63,17,0.7875,1.1330702522337715e-7
415,002,002|415,32,30,2,0.9375,1.2316741049289746e-7
003,002,002|003,36,31,5,0.8611111111111112,0.000006456742994487275
705,002,002|705,49,39,10,0.7959183673469388,0.000019229558471778268
