iteration,best_terminal,best_feature,best_value,best_a,best_fisher_p,max_mi_bits,p_le_observed,mi_ge_observed
0,820,complete,N,23,0.004458249788107785,0.44611600939387247,true,false
1,817,material,Steatite,97,0.00604339433403107,0.48646315102052873,true,true
2,820,prev,240,11,0.012970904060060453,0.4486313286880885,true,false
3,817,first,000,20,0.0031155603282438057,0.5136231379518406,true,true
4,861,complete,?,13,0.0053355434789211665,0.42967498782197805,true,false
5,861,complete,Y,124,0.01819013611225965,0.43742216644283666,true,false
6,820,material,Faience,10,0.01861999074018965,0.42761258318028605,true,false
7,820,prev,803,9,0.011215033028061499,0.49831765343982615,true,true
8,861,material,Clay,15,0.03294595716991613,0.48575920829269614,false,true
9,861,symbol,Elep,10,0.002685787757920896,0.484970134256632,true,true
10,861,prev,233,10,0.0075573570914726955,0.44916392115202924,true,false
11,820,complete,?,10,0.00467667338455326,0.5226123692477866,true,true
12,861,prev,176,7,0.008515247255600763,0.49826523938764977,true,true
13,820,type,SEAL:R,20,0.001454945443829724,0.4722743437035691,true,false
14,817,type,TAG,7,0.021808946779711146,0.45076570549620654,false,false
15,820,condition,Fine,6,0.01903790340187208,0.42995540364860085,true,false
16,861,prev,004,8,0.012226325023033762,0.4884459418373033,true,true
17,817,material,Faience,14,0.0019038772088840988,0.48638021430329154,true,true
18,817,symbol,Bull1:I,10,0.004423546815901876,0.43725945660010346,true,false
19,861,shape,circular,5,0.010381314257198251,0.46749787795463266,true,false
20,820,condition,Good,41,0.0019864389826806913,0.4441566381744894,true,false
21,861,prev,016,5,0.010381314257198251,0.4707803783321383,true,false
22,861,first,527,7,0.008515247255600763,0.4883687707887206,true,true
23,820,prev,031,9,0.0036892454553748974,0.46321401415335894,true,false
24,817,type,SEAL:R,23,0.007048642696274113,0.48008975496940093,true,false
25,820,material,Clay,11,0.026692593794007156,0.4796146600905249,false,false
26,817,condition,Poor,56,0.0390378399999751,0.5066285359356422,false,true
27,861,prev,235,15,0.006390146092671265,0.46487535627127824,true,false
28,820,site,Mohenjo-daro,66,0.0033629601074285863,0.45072089244862457,true,false
29,861,first,000,20,0.027284196401199418,0.4571997331877129,false,false
30,820,site,Mohenjo-daro,66,0.0033629601074285863,0.4590915289996271,true,false
31,820,complete,Y,80,0.011112411177323046,0.49183926998376704,true,true
32,817,site,Kalibangan,9,0.009758098008440293,0.44151519985875415,true,false
33,817,first,621,6,0.007581478152420626,0.4599811530277691,true,false
34,817,first,520,20,0.011185127281793356,0.4951886311571588,true,true
35,817,prev,235,13,0.012651289482086223,0.5066728917001947,true,true
36,820,site,Lothal,10,0.0026303165495618775,0.4992783757222327,true,true
37,861,site,Lothal,12,0.010101438202897793,0.4927173128774906,true,true
38,817,shape,cuboid-convex,17,0.00017974235561101052,0.45471315101972787,true,false
39,817,material,Faience,12,0.02344021989470721,0.48166372295722965,false,false
40,817,shape,rectangular,21,0.00648978948373783,0.4343065199766318,true,false
41,861,first,405,6,0.01905280847749524,0.4578361005080763,true,false
42,820,type,SEAL:R,19,0.004180924414638725,0.4690175716560828,true,false
43,817,first,000,21,0.0009851812922552544,0.4435117831211246,true,false
44,817,prev,016,5,0.004531039514728302,0.4590565689217129,true,false
45,861,shape,square,111,0.021858331079662556,0.40072871273809146,false,false
46,861,first,151,6,0.01905280847749524,0.4392881313917068,true,false
47,817,first,527,6,0.021737552721773596,0.4864626596960238,false,true
48,817,prev,806,5,0.019613291832013206,0.4986696248037427,true,true
49,820,prev,031,10,0.0006505960267895659,0.4920521104029211,true,true
50,861,first,151,6,0.01905280847749524,0.46961702491590973,true,false
51,817,symbol,Bull1:J,17,0.001525541769461036,0.47331950601522704,true,false
53,817,symbol,Bull1:J,17,0.001525541769461036,0.4712727606657536,true,false
54,820,prev,798,9,0.0003280784105457419,0.5315262648310904,true,true
55,820,site,Lothal,10,0.0026303165495618775,0.4700441116447803,true,false
56,861,symbol,Bull1:W,39,0.006194697581338854,0.49207392415527396,true,true
57,861,condition,Fair,52,0.0011096218955668658,0.49832143361517545,true,true
58,820,first,151,6,0.0012577885570611836,0.508417787118959,true,true
59,861,prev,798,9,0.015095843943391904,0.4936737230061463,true,true
60,817,prev,176,7,0.0028627866293049996,0.5141526008655158,true,true
61,861,material,Faience,15,0.003152552757374652,0.452945518139338,true,false
62,817,type,SEAL,6,0.007581478152420626,0.44357570981617167,true,false
63,861,prev,061,6,0.0041117003097333234,0.4957766347454939,true,true
64,817,material,Steatite,98,0.002893220320561119,0.49235297107220016,true,true
65,820,prev,000,8,0.009488306533542046,0.4291654557003752,true,false
66,817,prev,176,6,0.021737552721773596,0.48789466517127517,false,true
67,861,symbol,Bull1:V,5,0.010381314257198251,0.49490916393807005,true,true
69,820,material,Steatite,72,0.013662225045875104,0.4636928613699323,true,false
70,820,symbol,Bull1:W,26,0.014538310082120923,0.45373882963378037,true,false
71,820,first,621,5,0.012552559477795188,0.4574759115559577,true,false
72,820,first,090,9,0.0008429073167711647,0.5098378794358649,true,true
73,817,first,405,6,0.007581478152420626,0.49684755833639577,true,true
74,861,shape,rectangular,24,0.004083607775613809,0.4585108986237598,true,false
75,861,shape,square,113,0.006324434482219951,0.40416917144936804,true,false
76,817,prev,017,5,0.004531039514728302,0.5059761205315796,true,true
77,820,prev,503,5,0.004484865962985306,0.4580021830402398,true,false
78,820,symbol,Gavi,5,0.0009358805878209541,0.4802190420877102,true,false
79,817,symbol,Bull1:W,35,0.003791175358978686,0.45185280863373456,true,false
80,861,material,Faience,15,0.003152552757374652,0.5253044888127811,true,true
81,861,prev,016,5,0.010381314257198251,0.5127305798228593,true,true
82,861,symbol,Elep,9,0.015095843943391904,0.48324590853326066,true,true
83,820,condition,Good,39,0.008771857737101705,0.5134132316335257,true,true
84,820,prev,176,6,0.00400171595588435,0.5211590413446869,true,true
85,861,symbol,Bull1:L,6,0.01905280847749524,0.47412208173338094,true,false
86,861,first,390,11,0.01867381877831033,0.4933088671502722,true,true
87,861,type,SEAL,6,0.01905280847749524,0.46359854347275153,true,false
88,861,prev,176,7,0.008515247255600763,0.5181955128482267,true,true
89,817,first,390,12,0.0008363949618860581,0.44262506535616986,true,false
90,861,prev,176,7,0.008515247255600763,0.5155539719994682,true,true
91,817,shape,circular,5,0.004531039514728302,0.4902012789716914,true,true
92,820,first,621,5,0.012552559477795188,0.4946487356710744,true,true
93,820,first,740,46,0.003998030063708393,0.4903887458108311,true,true
94,817,type,TAG,8,0.0037564492718906673,0.5075716819240732,true,true
95,817,type,TAG,8,0.0037564492718906673,0.46714208576147065,true,false
96,820,symbol,Bull1,16,0.012070880540203027,0.4418656430123949,true,false
98,817,first,090,10,0.0017906138238757503,0.4238947814250973,true,false
99,817,first,405,6,0.007581478152420626,0.48105895216856354,true,false
100,820,prev,061,5,0.004484865962985306,0.5119455884496438,true,true
102,861,site,Kalibangan,11,0.0012243169578553315,0.5001956161522481,true,true
103,861,material,Steatite,111,0.017548213538562847,0.46806692719608106,true,false
104,817,shape,square,98,0.003666444851140313,0.468159459554432,true,false
105,820,first,090,8,0.005132734684787917,0.44971018019593834,true,false
106,817,prev,806,5,0.019613291832013206,0.4464590763956545,true,false
107,861,prev,798,10,0.002685787757920896,0.5113570997406279,true,true
109,817,first,090,9,0.009758098008440293,0.4338933282263805,true,false
110,817,first,390,11,0.004394932841721345,0.4850919705277107,true,true
111,861,prev,231,7,0.008515247255600763,0.48792564511936504,true,true
112,861,condition,Fine,8,0.012226325023033762,0.4780234108517816,true,false
113,817,complete,N,28,0.0088898306861197,0.493677114390015,true,true
114,820,symbol,Bull1:L,6,0.0012577885570611836,0.4586706743656537,true,false
115,817,symbol,Gavi,5,0.004531039514728302,0.5004241158636205,true,true
116,817,shape,circular,5,0.004531039514728302,0.4557468347299907,true,false
118,820,symbol,Bull1,16,0.012070880540203027,0.45123936297383704,true,false
119,861,shape,rectangular,25,0.0014070058991080734,0.44889260302959433,true,false
120,820,prev,233,9,0.0008429073167711647,0.45877435841304615,true,false
121,817,first,000,19,0.008745847780499203,0.4883939850681562,true,true
122,861,prev,806,6,0.0041117003097333234,0.47756507403002213,true,false
123,861,type,TAB:B,20,0.002280200559145552,0.4482238777082296,true,false
124,817,prev,220,8,0.0037564492718906673,0.4702919823321718,true,false
125,817,prev,233,10,0.0017906138238757503,0.5343710504578892,true,true
126,861,complete,N,34,0.0011585123323246747,0.4842050685639157,true,true
127,861,site,Mohenjo-daro,99,0.009098731538787742,0.48349485308728923,true,true
