object,site,region,type,material,shape,symbol,condition,complete,first,prev,partner,text
Ad-8,Allahdino,Lower Indus,MISC,Clay,square,Elep,Fair,N,740,503,861,+740-440-503-002-861-000+
-:18.1,Bakkar Buthi,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,405,840,861,+405-844-032-840-002-861+
-:4310.1,Dholavira,Gujarat/Kutch,TAG,terracotta,NA,NA,Fair,?,002,<START>,817,]002-817[
K-416,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,000,000,861,]000-002-861[
-:52.1,Bhirrana,Eastern Headwaters,SEAL:S,NA,square,Bull1,Good,Y,236,236,820,+236-002-820+
M-32,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,390,003,817,+390-003-002-817+
C-65,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,N,000,032,861,+000-100-240-220-032-002-861+
C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740,032,861,+740-176-032-002-861+
C-58,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,032,235,861,+032-031/740-222-235-002-861+
C-74,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,125,125,861,+125-002-861+
C-78,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,740,240,817,+740-636-240/002-817+
-:4234.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,NA,Bull1,Poor,N,000,000,820,]000-000-002-820+
H-501,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,520,803,817,+520-233-803-002-817+
C-4,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,520,803,817,+520-235-803-002-817+
C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740,032,817,+740-231-220-032-002-817+
C-18,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,000,031,817,]000-031-002-817+
-:130.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Fair,Y,244,803,861,+244-165/740-879-220-416-803-002-861+
-:132.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Tigr,Fair,Y,740,416,861,+740-416-002-861+
-:4260.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,Y,390,016,861,+390-016-002-861+
-:143.1,Dholavira,Gujarat/Kutch,TAB:B,Clay,rectangular,Gavi,Fair,N,000,031,817,+000-400-350-031-002-817+
Dlv-1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:J,Poor,Y,151,031,861,+151-382-031-002-861+
Dlv-2,Dholavira,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Poor,N,000,000,817,]000-002-817+
H-1042,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,740,220,817,+740-923-000-220-002-817+
H-1045,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Poor,Y,740,005,820,+740-900-005-002-820+
H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,400,798,861,+400-740-575-017-920-320-798-002-861+
H-1100,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Bull2,Fair,Y,740,240,817,+740-904-240-002-817+
H-1030,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,090,103,861,+090-740-103-002-861+
H-1043,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,151,003,861,+151-760-220-003-002-861+
H-1449,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,002,<START>,861,]002-861+
M-984,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,390,004,817,+390-004-002-817+
H-2015,Harappa,Inter-Riverine,TAB:B,Clay,rectangular-round,NA,Poor,Y,520,832,817,+520-033-705-235-832-002-817+
H-1942,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,405,035,861,+405-035-002-861+
M-1914,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,N,000,832,817,]000-832-002-817+
H-1967,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Mult,Poor,Y,382,382,820,+382-760-382-002-820+
H-1882,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,002,<START>,820,+002-820+
H-910,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,002,<START>,861,+002-861-416+
H-507,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,000,032,820,]000-032-002-820+
H-1692,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,Y,740,590,861,+740-390-590-002-861+
H-2022,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Fair,Y,740,175,861,+740-752-175-002-861+
