prev,target_cap,selector_cells,target_hits,other_cap_hits,purity,fisher_right_tail,cap_counts
741,920,30,30,0,1,1.0356006118197786e-15,920:30 692:0 550:0 820:0
742,920,7,7,0,1,0.0012664485018891885,920:7 692:0 550:0 820:0
240,692,7,4,3,0.5714285714285714,0.06170800877081581,920:0 692:4 550:1 820:2
231,692,5,3,2,0.6,0.09537442658666125,920:0 692:3 550:1 820:1
031,820,4,2,2,0.5,0.1437742981702352,920:1 692:1 550:0 820:2
235,550,9,3,6,0.3333333333333333,0.1969930515628356,920:1 692:2 550:3 820:3
235,820,9,3,6,0.3333333333333333,0.1969930515628356,920:1 692:2 550:3 820:3
240,820,7,2,5,0.2857142857142857,0.3596727671090878,920:0 692:4 550:1 820:2
003,550,4,1,3,0.25,0.5456761582127638,920:1 692:1 550:1 820:1
003,820,4,1,3,0.25,0.5456761582127638,920:1 692:1 550:1 820:1
803,550,4,1,3,0.25,0.5456761582127638,920:1 692:1 550:1 820:1
803,820,4,1,3,0.25,0.5456761582127638,920:1 692:1 550:1 820:1
231,550,5,1,4,0.2,0.6286082880628284,920:0 692:3 550:1 820:1
231,820,5,1,4,0.2,0.6286082880628284,920:0 692:3 550:1 820:1
003,692,4,1,3,0.25,0.6819862521657181,920:1 692:1 550:1 820:1
031,692,4,1,3,0.25,0.6819862521657181,920:1 692:1 550:0 820:2
803,692,4,1,3,0.25,0.6819862521657181,920:1 692:1 550:1 820:1
235,692,9,2,7,0.2222222222222222,0.6998001082299561,920:1 692:2 550:3 820:3
240,550,7,1,6,0.14285714285714285,0.7531562957176084,920:0 692:4 550:1 820:2
003,920,4,1,3,0.25,0.8744220380882752,920:1 692:1 550:1 820:1
031,920,4,1,3,0.25,0.8744220380882752,920:1 692:1 550:0 820:2
803,920,4,1,3,0.25,0.8744220380882752,920:1 692:1 550:1 820:1
235,920,9,1,8,0.1111111111111111,0.9917169609287608,920:1 692:2 550:3 820:3
