sign,outgoing_exact_cells,successor_branches,large_cap_branch_count,large_cap_exact_cells,large_cap_terminal_cells,large_cap_branches,medium_cap_branch_count,medium_cap_exact_cells,medium_cap_terminal_cells,medium_cap_branches
060,173,33,3,99,97,920 550 820,4,104,102,920 550 820 201
002,528,120,2,183,175,817 820,3,189,181,817 820 824
368,78,41,0,0,0,,1,14,14,817
615,27,14,0,0,0,,1,8,7,503
500,13,7,0,0,0,,1,6,6,705
017,45,18,0,0,0,,1,5,5,231
013,22,13,0,0,0,,1,5,5,817
740,1108,184,0,0,0,,0,0,0,
400,252,68,0,0,0,,0,0,0,
220,229,45,0,0,0,,0,0,0,
032,212,60,0,0,0,,0,0,0,
520,203,28,0,0,0,,0,0,0,
390,198,57,0,0,0,,0,0,0,
240,163,23,0,0,0,,0,0,0,
033,148,34,0,0,0,,0,0,0,
741,140,68,0,0,0,,0,0,0,
001,134,53,0,0,0,,0,0,0,
031,109,57,0,0,0,,0,0,0,
233,109,24,0,0,0,,0,0,0,
590,100,42,0,0,0,,0,0,0,
235,98,21,0,0,0,,0,0,0,
090,95,18,0,0,0,,0,0,0,
100,87,23,0,0,0,,0,0,0,
700,85,24,0,0,0,,0,0,0,
705,84,33,0,0,0,,0,0,0,
003,83,34,0,0,0,,0,0,0,
760,79,41,0,0,0,,0,0,0,
798,78,28,0,0,0,,0,0,0,
176,76,33,0,0,0,,0,0,0,
415,71,25,0,0,0,,0,0,0,
151,66,37,0,0,0,,0,0,0,
407,66,17,0,0,0,,0,0,0,
803,62,22,0,0,0,,0,0,0,
405,60,22,0,0,0,,0,0,0,
840,60,26,0,0,0,,0,0,0,
690,57,20,0,0,0,,0,0,0,
900,55,26,0,0,0,,0,0,0,
156,54,20,0,0,0,,0,0,0,
255,52,28,0,0,0,,0,0,0,
806,52,19,0,0,0,,0,0,0,
861,51,40,0,0,0,,0,0,0,
231,48,15,0,0,0,,0,0,0,
004,47,19,0,0,0,,0,0,0,
550,47,23,0,0,0,,0,0,0,
617,46,16,0,0,0,,0,0,0,
706,45,26,0,0,0,,0,0,0,
527,44,10,0,0,0,,0,0,0,
140,42,23,0,0,0,,0,0,0,
820,42,31,0,0,0,,0,0,0,
061,41,14,0,0,0,,0,0,0,
435,41,5,0,0,0,,0,0,0,
892,39,23,0,0,0,,0,0,0,
920,39,18,0,0,0,,0,0,0,
585,38,12,0,0,0,,0,0,0,
142,35,18,0,0,0,,0,0,0,
154,35,17,0,0,0,,0,0,0,
125,33,23,0,0,0,,0,0,0,
350,31,19,0,0,0,,0,0,0,
904,31,17,0,0,0,,0,0,0,
055,30,15,0,0,0,,0,0,0,
388,27,16,0,0,0,,0,0,0,
595,27,18,0,0,0,,0,0,0,
460,26,10,0,0,0,,0,0,0,
575,26,11,0,0,0,,0,0,0,
742,26,18,0,0,0,,0,0,0,
070,25,13,0,0,0,,0,0,0,
440,25,18,0,0,0,,0,0,0,
790,25,15,0,0,0,,0,0,0,
455,24,21,0,0,0,,0,0,0,
717,24,16,0,0,0,,0,0,0,
923,24,14,0,0,0,,0,0,0,
158,23,12,0,0,0,,0,0,0,
226,23,9,0,0,0,,0,0,0,
482,22,11,0,0,0,,0,0,0,
005,20,9,0,0,0,,0,0,0,
845,20,10,0,0,0,,0,0,0,
850,20,12,0,0,0,,0,0,0,
016,19,10,0,0,0,,0,0,0,
817,19,16,0,0,0,,0,0,0,
832,19,13,0,0,0,,0,0,0,
236,18,9,0,0,0,,0,0,0,
384,18,9,0,0,0,,0,0,0,
752,18,14,0,0,0,,0,0,0,
503,17,10,0,0,0,,0,0,0,
555,17,9,0,0,0,,0,0,0,
463,16,11,0,0,0,,0,0,0,
621,16,8,0,0,0,,0,0,0,
416,15,9,0,0,0,,0,0,0,
034,14,10,0,0,0,,0,0,0,
035,14,2,0,0,0,,0,0,0,
165,14,7,0,0,0,,0,0,0,
335,14,9,0,0,0,,0,0,0,
095,13,7,0,0,0,,0,0,0,
480,13,9,0,0,0,,0,0,0,
692,13,11,0,0,0,,0,0,0,
065,12,12,0,0,0,,0,0,0,
413,12,11,0,0,0,,0,0,0,
526,12,4,0,0,0,,0,0,0,
630,12,9,0,0,0,,0,0,0,
645,12,10,0,0,0,,0,0,0,
222,11,6,0,0,0,,0,0,0,
241,11,9,0,0,0,,0,0,0,
297,11,9,0,0,0,,0,0,0,
636,11,1,0,0,0,,0,0,0,
679,11,2,0,0,0,,0,0,0,
745,11,9,0,0,0,,0,0,0,
161,10,6,0,0,0,,0,0,0,
365,10,9,0,0,0,,0,0,0,
382,10,9,0,0,0,,0,0,0,
495,10,6,0,0,0,,0,0,0,
632,10,5,0,0,0,,0,0,0,
877,10,3,0,0,0,,0,0,0,
064,9,8,0,0,0,,0,0,0,
130,9,5,0,0,0,,0,0,0,
175,9,7,0,0,0,,0,0,0,
320,9,7,0,0,0,,0,0,0,
374,9,9,0,0,0,,0,0,0,
565,9,5,0,0,0,,0,0,0,
921,9,9,0,0,0,,0,0,0,
048,8,3,0,0,0,,0,0,0,
063,8,6,0,0,0,,0,0,0,
072,8,5,0,0,0,,0,0,0,
104,8,6,0,0,0,,0,0,0,
111,8,8,0,0,0,,0,0,0,
167,8,3,0,0,0,,0,0,0,
171,8,5,0,0,0,,0,0,0,
269,8,6,0,0,0,,0,0,0,
298,8,5,0,0,0,,0,0,0,
336,8,5,0,0,0,,0,0,0,
337,8,3,0,0,0,,0,0,0,
406,8,6,0,0,0,,0,0,0,
772,8,4,0,0,0,,0,0,0,
773,8,6,0,0,0,,0,0,0,
812,8,7,0,0,0,,0,0,0,
824,8,4,0,0,0,,0,0,0,
999,8,5,0,0,0,,0,0,0,
093,7,7,0,0,0,,0,0,0,
097,7,6,0,0,0,,0,0,0,
136,7,4,0,0,0,,0,0,0,
232,7,6,0,0,0,,0,0,0,
243,7,6,0,0,0,,0,0,0,
422,7,1,0,0,0,,0,0,0,
484,7,7,0,0,0,,0,0,0,
504,7,5,0,0,0,,0,0,0,
530,7,6,0,0,0,,0,0,0,
540,7,5,0,0,0,,0,0,0,
776,7,5,0,0,0,,0,0,0,
794,7,4,0,0,0,,0,0,0,
831,7,6,0,0,0,,0,0,0,
838,7,5,0,0,0,,0,0,0,
101,6,5,0,0,0,,0,0,0,
250,6,5,0,0,0,,0,0,0,
252,6,6,0,0,0,,0,0,0,
423,6,2,0,0,0,,0,0,0,
525,6,2,0,0,0,,0,0,0,
554,6,5,0,0,0,,0,0,0,
592,6,3,0,0,0,,0,0,0,
804,6,5,0,0,0,,0,0,0,
821,6,4,0,0,0,,0,0,0,
844,6,6,0,0,0,,0,0,0,
906,6,5,0,0,0,,0,0,0,
927,6,6,0,0,0,,0,0,0,
066,5,5,0,0,0,,0,0,0,
150,5,4,0,0,0,,0,0,0,
153,5,5,0,0,0,,0,0,0,
155,5,4,0,0,0,,0,0,0,
159,5,4,0,0,0,,0,0,0,
190,5,4,0,0,0,,0,0,0,
215,5,4,0,0,0,,0,0,0,
257,5,3,0,0,0,,0,0,0,
267,5,5,0,0,0,,0,0,0,
315,5,4,0,0,0,,0,0,0,
401,5,5,0,0,0,,0,0,0,
411,5,4,0,0,0,,0,0,0,
436,5,2,0,0,0,,0,0,0,
511,5,4,0,0,0,,0,0,0,
515,5,5,0,0,0,,0,0,0,
521,5,5,0,0,0,,0,0,0,
697,5,5,0,0,0,,0,0,0,
890,5,4,0,0,0,,0,0,0,
924,5,5,0,0,0,,0,0,0,
007,4,2,0,0,0,,0,0,0,
015,4,4,0,0,0,,0,0,0,
067,4,4,0,0,0,,0,0,0,
137,4,3,0,0,0,,0,0,0,
204,4,4,0,0,0,,0,0,0,
317,4,4,0,0,0,,0,0,0,
354,4,3,0,0,0,,0,0,0,
360,4,4,0,0,0,,0,0,0,
391,4,3,0,0,0,,0,0,0,
409,4,4,0,0,0,,0,0,0,
420,4,4,0,0,0,,0,0,0,
426,4,1,0,0,0,,0,0,0,
443,4,2,0,0,0,,0,0,0,
510,4,4,0,0,0,,0,0,0,
519,4,2,0,0,0,,0,0,0,
572,4,3,0,0,0,,0,0,0,
597,4,1,0,0,0,,0,0,0,
600,4,4,0,0,0,,0,0,0,
605,4,3,0,0,0,,0,0,0,
611,4,4,0,0,0,,0,0,0,
626,4,4,0,0,0,,0,0,0,
642,4,1,0,0,0,,0,0,0,
702,4,4,0,0,0,,0,0,0,
792,4,4,0,0,0,,0,0,0,
825,4,3,0,0,0,,0,0,0,
842,4,4,0,0,0,,0,0,0,
869,4,3,0,0,0,,0,0,0,
879,4,3,0,0,0,,0,0,0,
014,3,3,0,0,0,,0,0,0,
018,3,3,0,0,0,,0,0,0,
036,3,3,0,0,0,,0,0,0,
056,3,2,0,0,0,,0,0,0,
081,3,3,0,0,0,,0,0,0,
103,3,3,0,0,0,,0,0,0,
143,3,3,0,0,0,,0,0,0,
168,3,2,0,0,0,,0,0,0,
202,3,2,0,0,0,,0,0,0,
221,3,3,0,0,0,,0,0,0,
234,3,3,0,0,0,,0,0,0,
244,3,2,0,0,0,,0,0,0,
260,3,3,0,0,0,,0,0,0,
268,3,3,0,0,0,,0,0,0,
292,3,2,0,0,0,,0,0,0,
308,3,3,0,0,0,,0,0,0,
371,3,3,0,0,0,,0,0,0,
392,3,3,0,0,0,,0,0,0,
408,3,3,0,0,0,,0,0,0,
467,3,3,0,0,0,,0,0,0,
472,3,3,0,0,0,,0,0,0,
518,3,3,0,0,0,,0,0,0,
531,3,2,0,0,0,,0,0,0,
543,3,1,0,0,0,,0,0,0,
552,3,3,0,0,0,,0,0,0,
