scope,object,id,site,region,type,shape,has_740,text
local_090,B-1,27.1,Banawali,Eastern Headwaters,SEAL:S,square,true,+090-740-220-002-368-550-821+
local_090,B-24,42.1,Banawali,Eastern Headwaters,TAB:B,prism,false,]906-090-000-158-900-380-484-900+
local_090,C-6,94.1,Chanhu-daro,Lower Indus,SEAL:S,square,true,+817-521-521/090-740-221-002-031-500+
local_090,4332.1,4332.1,Dholavira,Gujarat/Kutch,TAG,NA,true,+090-740-000[
local_090,H-1507,164.1,Harappa,Inter-Riverine,MISC,NA,false,+520-001-090-000[
local_090,4275.1,4275.1,Dholavira,Gujarat/Kutch,SEAL:R,rectangular,false,+090[
local_090,H-294,217.1,Harappa,Inter-Riverine,TAB:I,rectangular,true,+090-740-240-220+
local_090,H-1056,237.1,Harappa,Inter-Riverine,SEAL:S,square,true,+400-090-740-220-003+
local_090,H-1339,239.1,Harappa,Inter-Riverine,TAB:B,NA,false,]400-090-000[
local_090,H-1030,284.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-103-002-861+
local_090,321.1,321.1,Unknown,Other,SEAL:S,square,true,+090-740-103-741-066+
local_090,338.1,338.1,Harappa,Inter-Riverine,POT:T:g,NA,true,+740-066-090-400[
local_090,H-1101,4597.1,Harappa,Inter-Riverine,TAB:B,cylindrical,false,+400-090+
local_090,H-2174,420.1,Harappa,Inter-Riverine,TAB:I,rectangular-round,false,+090-100-415-717+
local_090,H-2047,763.1,Harappa,Inter-Riverine,TAB:I,NA,false,]000-090+
local_090,H-2341,522.1,Harappa,Inter-Riverine,POT:T:g,NA,false,+000-335-000-090-480+
local_090,H-2175,533.1,Harappa,Inter-Riverine,TAB:I,rectangular-round,true,+090-740-101-031+
local_090,H-1969,545.1,Harappa,Inter-Riverine,TAB:B,rectangular,true,+090-740-176[
local_090,H-1906,554.2,Harappa,Inter-Riverine,TAB:B,heart,true,+400-090-740-400-090+
local_090,H-2019,904.1,Harappa,Inter-Riverine,TAB:B,prism,true,+090-740-240-235+
local_090,H-1685,576.1,Harappa,Inter-Riverine,SEAL:S,square,true,+090-740-220-000-000-000-000+
local_090,H-2197,578.2,Harappa,Inter-Riverine,TAB:I,circular,true,+400-090-740-100-390-231+
local_090,H-2334,606.1,Harappa,Inter-Riverine,POT:T:g,NA,true,+090-740-400-000-000[
local_090,H-2030,886.1,Harappa,Inter-Riverine,TAB:B,rectangular,true,+090-740-176-741-347+
local_090,H-1856,699.2,Harappa,Inter-Riverine,TAB:B,rectangular,false,+951-090+
local_090,H-2143,752.2,Harappa,Inter-Riverine,TAB:I,rectangular,true,+090-740-792+
local_090,H-1840,788.1,Harappa,Inter-Riverine,TAB:B,rectangular,true,+090-740-255-705-060-550+
