object,region,site,type,shape,material,symbol,circular_seal_context,text
H-1862,Inter-Riverine,Harappa,TAB:B,rectangular,NA,NA,false,+700-033-368-091+
H-1861,Inter-Riverine,Harappa,TAB:B,rectangular,Faience,NA,false,+368-091+
H-2000,Inter-Riverine,Harappa,TAB:B,cylindrical,Clay,Gavi,false,+700-032-000-091+
H-239,Inter-Riverine,Harappa,TAB:B,triangular,Faience,NA,false,+390-060/740-500-091+
-:5551.1,Persian Gulf,Kalba,SEAL:C,NA,NA,NA,true,+091+
K-156,Inter-Riverine,Kalibangan,TAG,rectangular,Terracotta,Bull1,false,+892-890-417-002-056-091+
-:2153.1,Iranian Plateau,Luristan,SEAL:C,circular,NA,Gaur,true,+831-413-840-091+
-:2180.1,Gujarat/Kutch,Dholavira,SEAL:S,square,Steatite,Bull1:V,false,+740-840-416-240-741-500-091+
M-798,Lower Indus,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,false,+585-831-091+
-:3887.1,Other,Unknown,SEAL:C,circular,Steatite,Scene,true,+000-603-091-190+
-:4247.1,Gujarat/Kutch,Dholavira,SEAL:C,circular,Steatite,Gaur,true,+806-091-001-368-255-000+
-:4257.1,Gujarat/Kutch,Dholavira,SEAL:R,rectangular,NA,NA,false,]000-091+
M-654,Lower Indus,Mohenjo-daro,SEAL:S,square,Faience,Bull1:U,false,+368-000-091-031+
-:5227.1,Persian Gulf,Karzakan,SEAL:C,circular,NA,Gaur,true,+220-455-031-091+
-:5228.1,Persian Gulf,Karzakan,SEAL:C,circular,NA,Gaur,true,+033-001-032-091+
-:5229.1,Persian Gulf,Saar,SEAL:C,circular,NA,NA,true,+031-093-001-091-220-055+
