id,cisi,region,site,type,symbol,text,terminal,external_seal_c,gulf_seal_c
499.1,H-1862,Inter-Riverine,Harappa,TAB:B,None,+700-033-368-091+,yes,no,no
654.2,H-1863,Inter-Riverine,Harappa,TAB:B,None,+368-091+,yes,no,no
774.2,H-1861,Inter-Riverine,Harappa,TAB:B,None,+368-091+,yes,no,no
1264.1,H-239,Inter-Riverine,Harappa,TAB:B,None,+390-060/740-500-091+,yes,no,no
1927.1,K-69,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
1928.1,K-70,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
1929.1,K-71,Inter-Riverine,Kalibangan,TAG,None,+892-890-417-002-056-091+,yes,no,no
1930.1,K-72,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
1931.1,K-73,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
1932.1,K-74,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
1933.1,K-75,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
2153.1,-,Iranian Plateau,Luristan,SEAL:C,Gaur,+831-413-840-091+,yes,yes,no
2180.1,-,Gujarat/Kutch,Dholavira,SEAL:S,Bull1:V,+740-840-416-240-741-500-091+,yes,no,no
3212.1,M-798,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,+585-831-091+,yes,no,no
5227.1,-,Persian Gulf,Karzakan,SEAL:C,Gaur,+220-455-031-091+,yes,yes,yes
5228.1,-,Persian Gulf,Karzakan,SEAL:C,Gaur,+033-001-032-091+,yes,yes,yes
5229.1,-,Persian Gulf,Saar,SEAL:C,None,+031-093-001-091-220-055+,no,yes,yes
5281.1,K-156,Inter-Riverine,Kalibangan,TAG,Bull1,+892-890-417-002-056-091+,yes,no,no
5551.1,-,Persian Gulf,Kalba,SEAL:C,None,+091+,yes,yes,yes
