sign,cell_count,containing_families,repeated_families,cross_site_repeated_families,cross_site_noncopy_repeated_families,repeated_templates,cross_site_templates,cross_site_noncopy_templates
000,91,34,7,6,6,000-<END>-<END>-<END>:43;000-000-<END>-<END>:3;575-000-<END>-<END>:3;817-000-<END>-<END>:3;031-000-<END>-<END>:2;820-000-<END>-<END>:2;861-000-<END>-<END>:2,000-<END>-<END>-<END>:43;000-000-<END>-<END>:3;817-000-<END>-<END>:3;031-000-<END>-<END>:2;820-000-<END>-<END>:2;861-000-<END>-<END>:2,000-<END>-<END>-<END>:43;000-000-<END>-<END>:3;817-000-<END>-<END>:3;031-000-<END>-<END>:2;820-000-<END>-<END>:2;861-000-<END>-<END>:2
031,26,22,4,3,3,031-000-<END>-<END>:2;031-575-<END>-<END>:2;031-892-<END>-<END>:2;502-031-<END>-<END>:2,031-000-<END>-<END>:2;031-575-<END>-<END>:2;031-892-<END>-<END>:2,031-000-<END>-<END>:2;031-575-<END>-<END>:2;031-892-<END>-<END>:2
861,149,27,4,2,2,861-<END>-<END>-<END>:119;861-603-<END>-<END>:3;861-000-<END>-<END>:2;861-533-717-<END>:2,861-<END>-<END>-<END>:119;861-000-<END>-<END>:2,861-<END>-<END>-<END>:119;861-000-<END>-<END>:2
820,97,13,3,2,2,820-<END>-<END>-<END>:83;820-000-<END>-<END>:2;820-741-<END>-<END>:2,820-<END>-<END>-<END>:83;820-000-<END>-<END>:2,820-<END>-<END>-<END>:83;820-000-<END>-<END>:2
125,19,16,3,2,2,297-350-125-413:2;390-125-632-032:2;610-125-032-<END>:2,297-350-125-413:2;610-125-032-<END>:2,297-350-125-413:2;610-125-032-<END>:2
390,18,15,3,2,2,390-095-<END>-<END>:2;390-125-632-032:2;390-705-<END>-<END>:2,390-095-<END>-<END>:2;390-705-<END>-<END>:2,390-095-<END>-<END>:2;390-705-<END>-<END>:2
741,11,8,3,2,2,298-741-<END>-<END>:2;741-060-920-<END>:2;820-741-<END>-<END>:2,298-741-<END>-<END>:2;741-060-920-<END>:2,298-741-<END>-<END>:2;741-060-920-<END>:2
817,125,8,2,2,2,817-<END>-<END>-<END>:116;817-000-<END>-<END>:3,817-<END>-<END>-<END>:116;817-000-<END>-<END>:3,817-<END>-<END>-<END>:116;817-000-<END>-<END>:3
920,11,8,2,2,2,920-317-<END>-<END>:3;741-060-920-<END>:2,920-317-<END>-<END>:3;741-060-920-<END>:2,920-317-<END>-<END>:3;741-060-920-<END>:2
032,19,17,2,1,1,390-125-632-032:2;610-125-032-<END>:2,610-125-032-<END>:2,610-125-032-<END>:2
