object,id,site,region,type,material,shape,symbol,condition,complete,register_class,order,first_400_position,first_740_position,text
C-15,103.1,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,other,740_before_400,1,0,+740-400-920-031+
156.1,156.1,Ganweriwala,Inter-Riverine,TAB:B,NA,rectangular,Scene,Poor,?,tablet_account,400_before_740,0,1,+400-740-900[
K-411,5328.1,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,other,400_before_740,0,1,+400-740-000[
H-740,1635.1,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-100-176-000+
H-1056,237.1,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Fair,Y,other,400_before_740,0,2,+400-090-740-220-003+
H-1051,259.1,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,other,400_before_740,0,1,+400-740-575-017-920-320-798-002-861+
H-1304,5470.1,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-176+
H-882,1765.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Gavi,Poor,Y,tablet_account,400_before_740,0,1,+400-740-760-605+
H-1102,273.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-382+
H-874,297.2,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-455+
298.1,298.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,N,tablet_account,400_before_740,0,1,+400-740-000-000+
H-1192,311.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-767-220-416+
338.1,338.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,other,740_before_400,3,0,+740-066-090-400[
H-1800,376.2,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-390-000[
H-1929,921.2,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bull2,Fair,Y,tablet_account,400_before_740,0,1,+400-740-061-140+
H-251,1276.1,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gaur,Fair,Y,tablet_account,400_before_740,0,1,+400-740-100-240+
H-1897,410.2,Harappa,Inter-Riverine,TAB:B,Faience,isosceles trapezoid,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-904-240+
H-1832,415.2,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,5,+400-297-352-892-590-740-176+
H-1984,421.1,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,?,tablet_account,400_before_740,0,1,+400-740-798-463[
H-1997,423.1,Harappa,Inter-Riverine,TAB:B,Faience,unusual,Mult,Good,Y,tablet_account,400_before_740,0,1,+400-740-176-235+
H-178,1212.1,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Anth,Fair,Y,tablet_account,400_before_740,0,1,+400-740-717+
H-1940,458.2,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,tablet_account,400_before_740,0,1,+400-740-067-100+
H-1850,480.2,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-760-382+
H-2184,490.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-032-015+
H-742,1636.1,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-100-176-175+
H-1836,497.2,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-000-792+
H-1862,499.2,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,tablet_account,400_before_740,2,3,+700-033-400-740-388+
H-1932,504.2,Harappa,Inter-Riverine,TAB:B,NA,prism,Gavi,Poor,N,tablet_account,400_before_740,0,1,+400-740-000-832-000+
H-1114,3960.1,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-405-590-235-806+
H-984,1860.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,?,tablet_account,400_before_740,0,1,+400-740-637[
H-967,1844.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-032-028+
H-1931,548.2,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Good,Y,tablet_account,400_before_740,0,1,+400-740-176-791+
H-917,1797.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-032-027+
H-1822,550.2,Harappa,Inter-Riverine,TAB:B,Faience,cuboid,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-176-519+
H-1906,554.2,Harappa,Inter-Riverine,TAB:B,Faience,heart,NA,Fair,Y,tablet_account,400_before_740,0,2,+400-090-740-400-090+
H-1939,556.2,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Fair,Y,tablet_account,400_before_740,0,1,+400-740-141+
H-1923,567.2,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-032-840+
H-248,1273.1,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-920-320-233-240-798+
H-1306,4079.1,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Fair,?,tablet_account,400_before_740,0,1,+400-740[
H-2197,578.2,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,tablet_account,400_before_740,0,2,+400-090-740-100-390-231+
H-2334,606.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,other,740_before_400,2,1,+090-740-400-000-000[
H-2209,638.2,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Fair,Y,tablet_account,400_before_740,0,1,+400-740-032-025+
H-2108,640.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-032-014+
H-1823,649.2,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-798-365-415-001+
H-1849,650.2,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,tablet_account,400_before_740,0,1,+400-740-636[
H-1863,654.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-388+
H-1672,668.1,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,other,740_before_400,1,0,+740-400-142-061-033+
H-850,1736.1,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,tablet_account,400_before_740,0,1,+400-740-892-617+
H-174,1208.1,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Fair,Y,tablet_account,400_before_740,0,1,+400-740-017-503+
H-710,1615.1,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Poor,Y,tablet_account,400_before_740,0,1,+400-740-016-503+
H-2201,753.2,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,Y,tablet_account,400_before_740,0,1,+400-740-176-240+
H-2183,749.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-575-017-798+
H-705,1610.1,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gavi,Poor,Y,tablet_account,400_before_740,2,3,+712-840-400-740-440+
H-2103,783.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,tablet_account,740_before_400,1,0,]740-400-142+
H-1961,790.1,Harappa,Inter-Riverine,TAB:B,Clay,square,Gavi,Poor,Y,tablet_account,400_before_740,0,1,+400-740-440+
H-2585,5389.1,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-032+
H-900,1782.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-817-491+
H-2189,806.2,Harappa,Inter-Riverine,TAB:B,Steatite,heart,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-152-240+
