object,site,region,type,material,shape,symbol,condition,complete,frame_before_inner,first_sign,text
C-15,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,740,+740-400-920-031+
-:156.1,Ganweriwala,Inter-Riverine,TAB:B,NA,rectangular,Scene,Poor,?,true,400,+400-740-900[
K-411,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,true,400,+400-740-000[
H-740,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Poor,N,true,400,+400-740-100-176-000+
H-1056,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Fair,Y,true,400,+400-090-740-220-003+
H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,true,400,+400-740-575-017-920-320-798-002-861+
H-1304,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Poor,Y,true,400,+400-740-176+
H-882,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Gavi,Poor,Y,true,400,+400-740-760-605+
H-1102,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,true,400,+400-740-382+
H-874,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Good,Y,true,400,+400-740-455+
-:298.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,N,true,400,+400-740-000-000+
H-1192,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-767-220-416+
-:338.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,false,740,+740-066-090-400[
H-1800,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,+400-740-390-000[
H-1929,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bull2,Fair,Y,true,400,+400-740-061-140+
H-251,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gaur,Fair,Y,true,400,+400-740-100-240+
H-1897,Harappa,Inter-Riverine,TAB:B,Faience,isosceles trapezoid,NA,Good,Y,true,400,+400-740-904-240+
H-1832,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,+400-297-352-892-590-740-176+
H-1984,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,?,true,400,+400-740-798-463[
H-1997,Harappa,Inter-Riverine,TAB:B,Faience,unusual,Mult,Good,Y,true,400,+400-740-176-235+
H-178,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Anth,Fair,Y,true,400,+400-740-717+
H-1940,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,true,400,+400-740-067-100+
H-1850,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,+400-740-760-382+
H-2184,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Fair,Y,true,400,+400-740-032-015+
H-742,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,NA,Good,Y,true,400,+400-740-100-176-175+
H-1836,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,+400-740-000-792+
H-1862,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,700,+700-033-400-740-388+
H-1932,Harappa,Inter-Riverine,TAB:B,NA,prism,Gavi,Poor,N,true,400,+400-740-000-832-000+
H-1114,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,true,400,+400-740-405-590-235-806+
H-984,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,?,true,400,+400-740-637[
H-967,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Good,Y,true,400,+400-740-032-028+
H-1931,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Good,Y,true,400,+400-740-176-791+
H-917,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-032-027+
H-1822,Harappa,Inter-Riverine,TAB:B,Faience,cuboid,NA,Fair,Y,true,400,+400-740-176-519+
H-1906,Harappa,Inter-Riverine,TAB:B,Faience,heart,NA,Fair,Y,true,400,+400-090-740-400-090+
H-1939,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Fair,Y,true,400,+400-740-141+
H-1923,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,true,400,+400-740-032-840+
H-248,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,true,400,+400-740-920-320-233-240-798+
H-1306,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Fair,?,true,400,+400-740[
H-2197,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,true,400,+400-090-740-100-390-231+
H-2334,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,false,090,+090-740-400-000-000[
H-2209,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Fair,Y,true,400,+400-740-032-025+
H-2108,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,+400-740-032-014+
H-1823,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,+400-740-798-365-415-001+
H-1849,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,true,400,+400-740-636[
H-1863,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,true,400,+400-740-388+
H-1672,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,false,740,+740-400-142-061-033+
H-850,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,true,400,+400-740-892-617+
H-174,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Fair,Y,true,400,+400-740-017-503+
H-710,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Poor,Y,true,400,+400-740-016-503+
H-2201,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,Y,true,400,+400-740-176-240+
H-2183,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Poor,Y,true,400,+400-740-575-017-798+
H-705,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gavi,Poor,Y,true,712,+712-840-400-740-440+
H-2103,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,false,740,]740-400-142+
