object,row_id,cisi,site,type,side,primary_side,text
234,234.2,-,Harappa,TAB:I,2,no,+400-156-435-255+
H-1133,249.1,H-1133,Harappa,TAB:B,1,yes,+400-892-831+
H-1319,255.2,H-1319,Harappa,TAB:I,2,no,+400-678+
260,260.2,-,Harappa,TAB:I,2,no,+400-740-176+
H-1287,264.1,H-1287,Harappa,TAB:I,1,yes,+400-156-140-032+
H-1273,265.1,H-1273,Harappa,TAB:I,1,yes,+400-740-176+
H-1102,273.1,H-1102,Harappa,TAB:B,1,yes,+400-740-382+
H-874,297.2,H-874,Harappa,TAB:B,2,no,+400-740-455+
H-1192,311.1,H-1192,Harappa,TAB:I,1,yes,+400-740-767-220-416+
H-1321,317.1,H-1321,Harappa,TAB:B,1,yes,+400-226-032+
H-1894,382.2,H-1894,Harappa,TAB:B,2,no,+400-740-061-140+
H-1853,386.2,H-1853,Harappa,TAB:B,2,no,+400-617-829+
H-2063,390.2,H-2063,Harappa,TAB:I,2,no,+400-156-435-255+
H-1858,392.2,H-1858,Harappa,TAB:B,2,no,+400-137+
H-1877,396.2,H-1877,Harappa,TAB:B,2,no,+400-775-516+
H-1895,406.2,H-1895,Harappa,TAB:B,2,no,+400-740-100-240+
H-1897,410.2,H-1897,Harappa,TAB:B,2,no,+400-740-904-240+
H-1832,415.2,H-1832,Harappa,TAB:B,2,no,+400-297-352-892-590-740-176+
H-1898,419.2,H-1898,Harappa,TAB:B,2,no,+400-368-741+
H-1854,427.2,H-1854,Harappa,TAB:B,2,no,+400-740-717+
H-1940,458.2,H-1940,Harappa,TAB:B,2,no,+400-740-067-100+
H-1827,463.2,H-1827,Harappa,TAB:B,2,no,+400-740-176+
H-1876,468.2,H-1876,Harappa,TAB:B,2,no,+400-775-516+
H-1850,480.2,H-1850,Harappa,TAB:B,2,no,+400-740-760-382+
H-2184,490.2,H-2184,Harappa,TAB:I,2,no,+400-740-032-015+
H-1862,499.2,H-1862,Harappa,TAB:B,2,no,+700-033-400-740-388+
H-2069,532.2,H-2069,Harappa,TAB:I,2,no,+700-034-400-525-550+
H-2115,544.2,H-2115,Harappa,TAB:I,2,no,+400-740-032-028+
H-1931,548.2,H-1931,Harappa,TAB:B,2,no,+400-740-176-791+
H-2208,549.2,H-2208,Harappa,TAB:I,2,no,+400-740-032-027+
H-1822,550.2,H-1822,Harappa,TAB:B,2,no,+400-740-176-519+
H-1906,554.2,H-1906,Harappa,TAB:B,2,no,+400-090-740-400-090+
H-1939,556.2,H-1939,Harappa,TAB:B,2,no,+400-740-141+
H-1855,557.2,H-1855,Harappa,TAB:B,2,no,+400-153-118+
H-1873,560.2,H-1873,Harappa,TAB:B,2,no,+400-236-233+
H-1923,567.2,H-1923,Harappa,TAB:B,2,no,+400-740-032-840+
H-1922,569.2,H-1922,Harappa,TAB:B,2,no,+400-740-920-320-233-240-798+
H-2197,578.2,H-2197,Harappa,TAB:I,2,no,+400-090-740-100-390-231+
H-1859,598.2,H-1859,Harappa,TAB:B,2,no,+400-137+
H-1817,624.2,H-1817,Harappa,TAB:B,2,no,+400-525-554+
H-1917,627.2,H-1917,Harappa,TAB:B,2,no,+400-151-097+
H-2207,630.2,H-2207,Harappa,TAB:I,2,no,+400-740-032-027+
H-1814,635.1,H-1814,Harappa,TAB:B,1,yes,+400-525-550-033-705-240+
H-1860,637.2,H-1860,Harappa,TAB:B,2,no,+400-097+
H-2209,638.2,H-2209,Harappa,TAB:I,2,no,+400-740-032-025+
H-2108,640.2,H-2108,Harappa,TAB:I,2,no,+400-740-032-014+
H-2062,647.1,H-2062,Harappa,TAB:I,1,yes,+400-156-435-255+
H-1823,649.2,H-1823,Harappa,TAB:B,2,no,+400-740-798-365-415-001+
H-1813,653.1,H-1813,Harappa,TAB:B,1,yes,+400-525-550-033-705-220+
H-1863,654.1,H-1863,Harappa,TAB:B,1,yes,+400-740-388+
H-2204,659.2,H-2204,Harappa,TAB:I,2,no,+400-740-032-027+
H-2066,671.2,H-2066,Harappa,TAB:I,2,no,+400-156-435-255+
H-2217,679.2,H-2217,Harappa,TAB:I,2,no,+400-854-032+
H-2090,681.1,H-2090,Harappa,TAB:I,1,yes,+400-740-892-617+
H-2183,749.2,H-2183,Harappa,TAB:I,2,no,+400-740-575-017-798+
H-1872,751.2,H-1872,Harappa,TAB:B,2,no,+400-236-220+
H-2201,753.2,H-2201,Harappa,TAB:I,2,no,+400-740-176-240+
H-1844,780.2,H-1844,Harappa,TAB:B,2,no,+400-154-690+
H-2173,801.2,H-2173,Harappa,TAB:I,2,no,+400-740-817-491+
H-2189,806.2,H-2189,Harappa,TAB:B,2,no,+400-740-152-240+
H-2155,812.2,H-2155,Harappa,TAB:I,2,no,+400-236+
H-2154,815.2,H-2154,Harappa,TAB:I,2,no,+400-226+
H-2104,830.2,H-2104,Harappa,TAB:I,2,no,+400-137+
H-2185,834.2,H-2185,Harappa,TAB:I,2,no,+400-158-690+
H-2109,843.2,H-2109,Harappa,TAB:I,2,no,+400-740-681+
H-2070,862.2,H-2070,Harappa,TAB:I,2,no,+400-740-817-276+
