object,site,region,type,material,shape,symbol,condition,complete,tablet_account_context,first_sign,target_initial,text
C-15,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,740,false,+740-400-920-031+
C-32,Chanhu-daro,Lower Indus,SEAL:C,Steatite,circular,Bull1:W,Poor,Y,false,375,false,+375-400-390-632+
-:143.1,Dholavira,Gujarat/Kutch,TAB:B,Clay,rectangular,Gavi,Fair,N,true,000,false,+000-400-350-031-002-817+
-:156.1,Ganweriwala,Inter-Riverine,TAB:B,NA,rectangular,Scene,Poor,?,true,400,true,+400-740-900[
H-1169,Harappa,Inter-Riverine,TAB:I,NA,NA,NA,Poor,?,true,400,true,]400[
H-947,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-236+
K-411,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,false,400,true,+400-740-000[
H-740,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Poor,N,true,400,true,+400-740-100-176-000+
H-761,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,true,400,true,+400-154-440-220+
H-1119,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,NA,Poor,N,true,400,true,+400-032-000+
H-1809,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,true,400,true,+400-158[
H-897,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,true,400,true,+400-156-435-255+
H-1056,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Fair,Y,false,400,true,+400-090-740-220-003+
H-1339,Harappa,Inter-Riverine,TAB:B,Steatite,NA,NA,Poor,N,true,400,true,]400-090-000[
H-1173,Harappa,Inter-Riverine,TAB:I,Steatite,NA,NA,Poor,N,true,400,true,+400-575-000[
-:244.1,Harappa,Inter-Riverine,MISC,Steatite,semi-circular,NA,Fair,Y,false,156,false,+156-384-031-400+
H-1147,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,?,true,400,true,+400-142[
H-1896,Harappa,Inter-Riverine,TAB:B,Faience,oval,NA,Fair,Y,true,400,true,+400-892-831+
H-1165,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Fish,Poor,N,true,520,false,+520-400-000+
H-1320,Harappa,Inter-Riverine,TAB:I,NA,notched oval,NA,Poor,Y,true,400,true,+400-678+
H-789,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-520-220-016+
H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,false,400,true,+400-740-575-017-920-320-798-002-861+
H-1304,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Poor,Y,true,400,true,+400-740-176+
H-1287,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,true,400,true,+400-156-140-032+
H-882,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Gavi,Poor,Y,true,400,true,+400-740-760-605+
H-1102,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,true,400,true,+400-740-382+
H-1332,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,true,400,true,+400-098+
H-874,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Good,Y,true,400,true,+400-740-455+
-:298.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,N,true,400,true,+400-740-000-000+
H-1192,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,true,400,true,+400-740-767-220-416+
H-1321,Harappa,Inter-Riverine,TAB:B,Steatite,notched oval,NA,Poor,Y,true,400,true,+400-226-032+
H-1077,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,400,true,+400-255-400-165-900-001+
-:338.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,false,740,false,+740-066-090-400[
-:5561.1,Rakhigarhi,Eastern Headwaters,TAB:I,NA,NA,NA,Poor,N,true,400,true,+400-520-000[
H-1800,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,true,400,true,+400-740-390-000[
H-1929,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bull2,Fair,Y,true,400,true,+400-740-061-140+
H-1853,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,true,400,true,+400-617-829+
-:5396.1,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Mult,Poor,Y,true,400,true,+400-137+
H-1876,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-775-516+
H-251,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gaur,Fair,Y,true,400,true,+400-740-100-240+
H-1897,Harappa,Inter-Riverine,TAB:B,Faience,isosceles trapezoid,NA,Good,Y,true,400,true,+400-740-904-240+
H-1832,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-297-352-892-590-740-176+
H-1101,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Mult,Poor,Y,true,400,true,+400-090+
H-1898,Harappa,Inter-Riverine,TAB:B,Faience,isosceles trapezoid,NA,Poor,Y,true,400,true,+400-368-741+
H-1984,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,?,true,400,true,+400-740-798-463[
H-1997,Harappa,Inter-Riverine,TAB:B,Faience,unusual,Mult,Good,Y,true,400,true,+400-740-176-235+
H-178,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Anth,Fair,Y,true,400,true,+400-740-717+
H-1940,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,true,400,true,+400-740-067-100+
H-1850,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,true,400,true,+400-740-760-382+
