pool,sign,pool_rows,context_rows,a,b,c,d,total,context_share,fisher_p,bonferroni_p
all_canonical,400,3503,765,187,578,100,2638,287,0.6515679442508711,5.086502588836424e-62,3.631762848429207e-59
all_canonical,700,3503,765,54,711,37,2701,91,0.5934065934065934,4.419057775576647e-15,3.155207251761726e-12
all_canonical,158,3503,765,18,747,11,2727,29,0.6206896551724138,0.000003127138972749117,0.0022327772265428696
all_canonical,167,3503,765,8,757,0,2738,8,1,0.000005026854275102635,0.0035891739524232815
all_canonical,711,3503,765,8,757,0,2738,8,1,0.000005026854275102635,0.0035891739524232815
all_canonical,525,3503,765,7,758,0,2738,7,1,0.000023184541617172024,0.016553762714660827
all_canonical,690,3503,765,30,735,44,2694,74,0.40540540540540543,0.00019060312824181026,0.13609063356465254
all_canonical,868,3503,765,5,760,0,2738,5,1,0.0004916528750413696,0.35104015277953793
all_canonical,176,3503,765,42,723,80,2658,122,0.3442622950819672,0.000781354468087046,0.5578870902141508
all_canonical,335,3503,765,13,752,13,2725,26,0.5,0.0013855467596860886,0.9892803864158672
all_canonical,336,3503,765,7,758,3,2735,10,0.7,0.0014837587398209406,1
all_canonical,436,3503,765,5,760,1,2737,6,0.8333333333333334,0.0024158175003434782,1
all_canonical,642,3503,765,5,760,1,2737,6,0.8333333333333334,0.0024158175003434782,1
all_canonical,869,3503,765,5,760,1,2737,6,0.8333333333333334,0.0024158175003434782,1
all_canonical,413,3503,765,13,752,16,2722,29,0.4482758620689655,0.004691393043103,1
all_canonical,382,3503,765,9,756,9,2729,18,0.5,0.007696705499678426,1
all_canonical,792,3503,765,6,759,4,2734,10,0.6,0.00990965665204536,1
all_canonical,025,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,318,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,681,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,687,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,775,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,851,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,942,3503,765,3,762,0,2738,3,1,0.010383193363797743,1
all_canonical,636,3503,765,7,758,6,2732,13,0.5384615384615384,0.011405950818450193,1
