object,site,region,type,material,shape,symbol,condition,complete,has_405,has_806,text
M-673,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,false,+405-017+
H-1047,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,false,+405-004-745-905+
H-1673,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,true,false,+405-004-104+
H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,true,true,+740-405-590-032-900-003-806-235-220-032-002-690-921+
H-8,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,false,+354-001-740-405-590-033-706-002-690-921+
H-20,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,false,true,+740-176-690-435-255-220-032-806-060-550+
H-21,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,true,true,+405-061-527-555-233-235-806-002-817+
H-22,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,true,true,+740-920-320-233-806-002-405-321+
H-23,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,true,false,+740-100-176-405-019+
H-25,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+740-900-003-806-033-705-235-055+
H-27,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,true,+154-806-468-001-740-877-032+
H-43,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,true,false,+405-690-032+
H-58,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+158-806-468-740-752-231-235+
H-388,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,false,true,+520-033-706-231-806-002-817+
H-389,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,true,false,+740-405-590-235-002-031-480-625+
H-396,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,false,true,+832-904-220-415-806-000[
H-405,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,false,true,+236-806-002-863+
H-479,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,false,+740-405-590-790+
L-19,Lothal,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Poor,N,false,true,+000-000-000-798-806-000[
M-1683,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+155-806-467-001-692+
M-1684,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,false,+405-371-031+
M-1784,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+740-923-806+
M-10,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,true,+405-061-070-032-033-706-235-806-002-267-455+
M-29,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+740-055-240-235-806-002-220-455-503+
M-30,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+740-752-017-503-240-235-806+
M-34,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,true,false,+740-336-176-002-405-372-374+
M-41,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,true,false,+740-636-240-233-235-002-405-125-820+
M-171,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,false,true,+407-061-740-923-233-806-060-692+
M-172,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,true,false,+405-018-001-220-786-850+
M-173,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fine,Y,false,true,+740-388-900-320-806+
M-672,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,true,false,+740-405-590-235+
M-678,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+740-752-006-503-236-806-002-031-502+
M-753,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,false,true,+520-033-706-806+
H-1049,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Fair,Y,true,false,+405-004-002-933+
-:5236.1,Lakhanjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,true,false,+740-405-590-060-146+
