source,pair,a,c,total,fisher_p
all,002/240,161,740,901,2.4782582529379902e-14
all,002/060,161,765,926,3.644593920855598e-13
all,240/706,79,252,331,4.5268165006917973e-13
all,002/920,149,689,838,7.98643571090191e-13
all,002/520,154,724,878,8.379021027951752e-13
all,001/002,156,738,894,8.433918706837044e-13
all,002/706,142,642,784,8.58069978513783e-13
all,002/125,138,616,754,9.451661320294924e-13
all,002/595,138,621,759,1.6487731549964484e-12
all,240/405,77,249,326,1.7362550505819035e-12
all,002/803,143,656,799,1.8852563068160602e-12
all,002/798,145,671,816,2.1805112506173307e-12
all,002/220,165,812,977,2.3875523928180516e-12
all,240/803,82,280,362,3.150226790479179e-12
all,002/745,136,617,753,4.626720824788936e-12
all,002/368,143,666,809,5.4459453265628576e-12
all,002/405,138,632,770,5.450952878119324e-12
all,002/820,146,687,833,5.672133649632615e-12
all,002/617,138,636,774,8.340319855388905e-12
all,002/371,132,600,732,1.3360209589057345e-11
seal_s_only,405/806,35,9,44,6.020420199833131e-15
seal_s_only,745/806,28,9,37,3.3771607150155215e-11
seal_s_only,036/806,22,4,26,9.528443046387108e-11
seal_s_only,049/806,22,4,26,9.528443046387108e-11
seal_s_only,137/806,22,4,26,9.528443046387108e-11
seal_s_only,160/806,22,4,26,9.528443046387108e-11
seal_s_only,223/806,22,4,26,9.528443046387108e-11
seal_s_only,302/806,22,4,26,9.528443046387108e-11
seal_s_only,311/806,22,4,26,9.528443046387108e-11
seal_s_only,443/806,22,4,26,9.528443046387108e-11
seal_s_only,611/806,22,4,26,9.528443046387108e-11
seal_s_only,776/806,22,4,26,9.528443046387108e-11
seal_s_only,786/806,22,4,26,9.528443046387108e-11
seal_s_only,806/845,22,4,26,9.528443046387108e-11
seal_s_only,798/806,49,40,89,1.0787327998171995e-10
seal_s_only,018/806,23,5,28,1.1279171152139954e-10
seal_s_only,317/806,23,5,28,1.1279171152139954e-10
seal_s_only,706/806,38,23,61,1.1440785031741591e-10
seal_s_only,405/752,24,6,30,1.2247681729158472e-10
seal_s_only,773/806,24,6,30,1.2247681729158472e-10
square_only,405/806,35,14,49,7.228146492803221e-13
square_only,745/806,28,11,39,1.4215679367887337e-10
square_only,405/706,38,26,64,3.821431758016064e-10
square_only,706/806,38,26,64,3.821431758016064e-10
square_only,240/405,77,101,178,4.830225838400231e-10
square_only,240/806,77,101,178,4.830225838400231e-10
square_only,405/798,49,45,94,5.298787788083075e-10
square_only,798/806,49,45,94,5.298787788083075e-10
square_only,405/745,26,11,37,1.4553180355563506e-9
square_only,371/806,25,10,35,1.7787291439958233e-9
square_only,405/752,24,9,33,2.1235425943951134e-9
square_only,806/812,24,9,33,2.1235425943951134e-9
square_only,018/806,23,8,31,2.4640667554350183e-9
square_only,317/806,23,8,31,2.4640667554350183e-9
square_only,036/806,22,7,29,2.7606023524243515e-9
square_only,049/806,22,7,29,2.7606023524243515e-9
square_only,137/806,22,7,29,2.7606023524243515e-9
square_only,160/806,22,7,29,2.7606023524243515e-9
square_only,223/806,22,7,29,2.7606023524243515e-9
square_only,296/806,22,7,29,2.7606023524243515e-9
complete_only,240/405,72,170,242,3.443178796309386e-11
complete_only,240/706,70,174,244,4.526971016835292e-10
complete_only,002/240,140,503,643,4.980666162994946e-10
complete_only,240/806,70,183,253,2.7091715239701685e-9
complete_only,240/803,73,197,270,3.5170145963869833e-9
complete_only,220/240,96,304,400,6.7968139511116015e-9
complete_only,002/520,134,494,628,7.881251110712029e-9
complete_only,072/240,59,144,203,8.601227861792718e-9
complete_only,240/371,58,141,199,1.053577079799934e-8
complete_only,240/745,59,145,204,1.058536842251162e-8
complete_only,240/632,59,146,205,1.3000682741465371e-8
complete_only,240/798,71,196,267,1.361228387922507e-8
complete_only,240/320,58,143,201,1.5952255031652958e-8
complete_only,235/240,77,223,300,1.5960639804553613e-8
complete_only,002/405,119,424,543,1.8930078866148565e-8
complete_only,240/482,59,148,207,1.94926373490497e-8
complete_only,018/240,57,140,197,1.9543857476439172e-8
complete_only,240/812,57,140,197,1.9543857476439172e-8
complete_only,002/706,121,435,556,2.0970859040819528e-8
complete_only,240/923,60,153,213,2.3531010981932143e-8
non_poor_only,240/706,62,147,209,1.9945508127110063e-8
non_poor_only,240/405,62,148,210,2.4559939873830552e-8
non_poor_only,240/920,66,167,233,4.8878703484691025e-8
non_poor_only,233/240,68,180,248,1.2318180073661584e-7
non_poor_only,240/320,52,120,172,1.8709958648304765e-7
non_poor_only,240/803,63,163,226,2.1387525819715233e-7
non_poor_only,235/240,68,184,252,2.483750441563506e-7
non_poor_only,240/806,61,156,217,2.534896062129752e-7
non_poor_only,240/798,63,166,229,3.678647650628505e-7
non_poor_only,002/240,118,413,531,4.1480753202499286e-7
non_poor_only,072/240,52,124,176,4.317286252619643e-7
non_poor_only,240/692,56,141,197,5.994808490221795e-7
non_poor_only,001/240,72,206,278,6.044990292974603e-7
non_poor_only,240/632,52,127,179,7.877452568804747e-7
non_poor_only,240/923,53,131,184,8.144309213066396e-7
