source,pool,sign,context_rows,background_rows,a,b,c,d,total,fisher_p
all:405,all,002,378,3125,128,250,595,2530,723,1.319459268799184e-10
all:405,all,240,378,3125,59,319,199,2926,258,4.279390246187295e-9
all:405,all,220,378,3125,65,313,291,2834,356,0.000005514249245523653
all:405,all,235,378,3125,41,337,154,2971,195,0.000012350353656806672
all:405,all,798,378,3125,30,348,100,3025,130,0.000030823967249813426
all:405,all,706,378,3125,21,357,58,3067,79,0.00005652648793799916
all:405,all,803,378,3125,27,351,91,3034,118,0.00009083206836858122
all:405,all,405,378,3125,19,359,52,3073,71,0.00011599196386446251
all:405,all,861,378,3125,40,338,169,2956,209,0.00015135896662164138
all:405,all,820,378,3125,39,339,171,2954,210,0.0003537230891861778
all:405,all,233,378,3125,33,345,139,2986,172,0.0005588027637379616
all:405,all,920,378,3125,27,351,105,3020,132,0.0006401761790131182
all:405,all,520,378,3125,39,339,185,2940,224,0.0013267237255633415
all:405,all,371,378,3125,5,373,5,3120,10,0.002266684079352277
all:405,all,806,378,3125,20,358,77,3048,97,0.0028854923981572506
all:405,all,001,378,3125,32,346,155,2970,187,0.004720209061028149
all:405,all,740,378,3125,164,214,1138,1987,1302,0.0050297509583835665
all:405,all,679,378,3125,6,372,11,3114,17,0.006658985697142269
all:405,all,032,378,3125,51,327,288,2837,339,0.0067148852206785434
all:405,all,595,378,3125,11,367,34,3091,45,0.006814373452223458
all:806,all,002,378,3125,128,250,595,2530,723,1.319459268799184e-10
all:806,all,240,378,3125,59,319,199,2926,258,4.279390246187295e-9
all:806,all,220,378,3125,65,313,291,2834,356,0.000005514249245523653
all:806,all,235,378,3125,41,337,154,2971,195,0.000012350353656806672
all:806,all,798,378,3125,30,348,100,3025,130,0.000030823967249813426
all:806,all,706,378,3125,21,357,58,3067,79,0.00005652648793799916
all:806,all,803,378,3125,27,351,91,3034,118,0.00009083206836858122
all:806,all,405,378,3125,19,359,52,3073,71,0.00011599196386446251
all:806,all,861,378,3125,40,338,169,2956,209,0.00015135896662164138
all:806,all,820,378,3125,39,339,171,2954,210,0.0003537230891861778
all:806,all,233,378,3125,33,345,139,2986,172,0.0005588027637379616
all:806,all,920,378,3125,27,351,105,3020,132,0.0006401761790131182
all:806,all,520,378,3125,39,339,185,2940,224,0.0013267237255633415
all:806,all,371,378,3125,5,373,5,3120,10,0.002266684079352277
all:806,all,806,378,3125,20,358,77,3048,97,0.0028854923981572506
all:806,all,001,378,3125,32,346,155,2970,187,0.004720209061028149
all:806,all,740,378,3125,164,214,1138,1987,1302,0.0050297509583835665
all:806,all,679,378,3125,6,372,11,3114,17,0.006658985697142269
all:806,all,032,378,3125,51,327,288,2837,339,0.0067148852206785434
all:806,all,595,378,3125,11,367,34,3091,45,0.006814373452223458
seal_s_only:405,seal_s_only,806,374,1171,20,354,4,1167,24,1.2598082828130407e-9
seal_s_only:405,seal_s_only,405,374,1171,19,355,5,1166,24,1.6885217929981426e-8
seal_s_only:405,seal_s_only,240,374,1171,59,315,95,1076,154,0.00002739895681760808
seal_s_only:405,seal_s_only,706,374,1171,21,353,19,1152,40,0.0000853884994985775
seal_s_only:405,seal_s_only,798,374,1171,30,344,36,1135,66,0.00009214590758843834
seal_s_only:405,seal_s_only,220,374,1171,65,309,132,1039,197,0.0017608763893840911
seal_s_only:405,seal_s_only,752,374,1171,5,369,1,1170,6,0.003910999377359047
seal_s_only:405,seal_s_only,745,374,1171,8,366,5,1166,13,0.004397914254916981
seal_s_only:405,seal_s_only,235,374,1171,41,333,80,1091,121,0.00796890251506093
seal_s_only:405,seal_s_only,032,374,1171,51,323,107,1064,158,0.009441737007024666
