iteration,best_all_composite_score,best_frequency_matched_composite_score,all_ge_target,frequency_ge_target
0,3.518994572672356,2.943156176927044,false,false
1,3.6093048287227094,2.6686269019619084,false,false
2,3.886608953946163,3.886608953946163,false,false
3,4.654440797562551,2.9371991623353146,false,false
4,3.9853144380151204,2.301852913212173,false,false
5,4.561712070429556,3.732345893271004,false,false
6,3.7356304818345847,2.990788666092616,false,false
7,3.364642575024816,1.9290970696187588,false,false
8,4.28406429238121,2.941263280367445,false,false
9,3.6070322348132975,2.304880816649642,false,false
10,3.3748240298542163,3.2396665503212785,false,false
11,3.352158353386716,2.562520354900838,false,false
12,4.546574940079688,2.9003574225589235,false,false
13,3.23275059935301,1.8405242816310436,false,false
14,3.836452709987274,3.836452709987274,false,false
15,4.283219651591905,4.202790593215663,false,false
16,3.8536526561552766,3.8536526561552766,false,false
17,3.5345761169703573,3.5345761169703573,false,false
18,3.4532534037251708,3.3668179284820927,false,false
19,3.8225232261132582,3.341895216648753,false,false
20,3.2846593359782106,2.3756739753139557,false,false
21,3.986259199377472,2.4647492571461185,false,false
22,3.4247921352610056,2.9128127727400863,false,false
23,3.144684122914878,1.8619812352742322,false,false
24,2.9740877146958913,2.9737709145587847,false,false
25,4.464572232348248,4.464572232348248,false,false
26,2.653559459754497,2.252075327308488,false,false
27,3.307367454338799,2.701767703165878,false,false
28,3.9283935360336057,3.6727015072445828,false,false
29,2.9832816522596692,2.2748949059673067,false,false
30,5.934249775233637,5.934249775233637,false,false
31,3.1256233344254447,2.8231958559336015,false,false
32,3.7080273860855026,3.7080273860855026,false,false
33,3.6813512592384483,2.660632469155911,false,false
34,3.944158807307318,2.738675845503743,false,false
35,5.182438138894891,5.182438138894891,false,false
36,3.702980405540891,3.050345155429228,false,false
37,3.1687926077096944,2.5455306438519045,false,false
38,2.4502466889805685,2.4502466889805685,false,false
39,3.889856262994082,3.889856262994082,false,false
40,4.830596613289284,3.3931229796930067,false,false
41,3.8977709011110324,3.3160713690757206,false,false
42,3.896600640649886,3.6732859755230365,false,false
43,3.333448975179393,3.239825506243138,false,false
44,2.980078419618191,2.980078419618191,false,false
45,3.614967612006217,3.614967612006217,false,false
46,4.360621201846484,4.360621201846484,false,false
47,3.9523354606224785,2.8732906273959133,false,false
48,3.533146263289696,2.8007133460003995,false,false
49,3.43889896946469,3.01727923724769,false,false
