id,cisi,site,type,symbol,text,prev,succ,after,is465,terminal
592.1,H-1999,Harappa,TAB:B,Mult,+400-154-806-467+,154,467,<END>,no,yes
745.1,H-1980,Harappa,TAB:B,Phyt,+400-158-806-475+,158,475,<END>,no,yes
805.1,H-1788,Harappa,TAB:B,None,+154-806-470-002-861+,154,470,002,no,no
1034.1,H-1979,Harappa,TAB:B,Phyt,+740-158-806-467+,158,467,<END>,no,yes
1087.1,H-27,Harappa,SEAL:S,Bull1:W,+154-806-468-001-740-877-032+,154,468,001,no,no
1117.1,H-58,Harappa,SEAL:S,Bull1:W,+158-806-468-740-752-231-235+,158,468,740,no,no
1173.1,H-132,Harappa,SEAL:R,None,+154-806-471-407-845-740-233-231-798+,154,471,407,no,no
1184.1,H-143,Harappa,SEAL:R,None,+154-806-469-001-740-877-032+,154,469,001,no,no
1187.1,H-146,Harappa,SEAL:R,None,+154-806-467-031+,154,467,031,no,no
1193.1,H-152,Harappa,SEAL:R,None,+154-806-468+,154,468,<END>,no,yes
1195.1,H-154,Harappa,SEAL:R,None,+154-806-467-013-817+,154,467,013,no,no
1199.1,H-158,Harappa,SEAL:R,None,+154-806-472-001-740-405-590+,154,472,001,no,no
1201.1,H-160,Harappa,SEAL:R,None,+400-154-806-468+,154,468,<END>,no,yes
1222.1,H-189,Harappa,TAB:B,Othr,+400-158-806-470+,158,470,<END>,no,yes
1223.1,H-190,Harappa,TAB:B,Phyt,+158-806-465+,158,465,<END>,yes,yes
1239.1,H-208,Harappa,TAB:B,-,+400-158-806-472+,158,472,<END>,no,yes
1585.1,H-670,Harappa,SEAL:R,None,+154-806-468+,154,468,<END>,no,yes
1588.1,H-681,Harappa,SEAL:R,None,+154-806-468+,154,468,<END>,no,yes
1626.1,H-724,Harappa,TAB:B,Phyt,+158-806-465+,158,465,<END>,yes,yes
1628.1,H-726,Harappa,TAB:B,Phyt,+158-806-465+,158,465,<END>,yes,yes
2218.1,M-1683,Mohenjo-daro,SEAL:S,Bull1:W,+155-806-467-001-692+,155,467,001,no,no
2223.1,M-1986,Mohenjo-daro,SEAL:R,None,+154-806-468+,154,468,<END>,no,yes
2443.1,M-1957,Mohenjo-daro,SEAL:R,None,+154-806-474-013-820+,154,474,013,no,no
2853.1,M-357,Mohenjo-daro,SEAL:R,None,+740-100-806-472-240-806-001-820+,100,472,240,no,no
2867.1,M-371,Mohenjo-daro,SEAL:R,None,+617-142-384-032-154-806-467+,154,467,<END>,no,yes
2955.2,M-470,Mohenjo-daro,TAB:B,None,+400-158-806-473+,158,473,<END>,no,yes
3706.2,M-1419,Mohenjo-daro,TAB:B,None,+400-158-806-467+,158,467,<END>,no,yes
3965.1,H-1104,Harappa,TAB:B,Phyt,+158-806-465+,158,465,<END>,yes,yes
3966.1,H-1105,Harappa,TAB:B,Phyt,+158-806-465+,158,465,<END>,yes,yes
4007.1,M-1962,Mohenjo-daro,SEAL:R,None,+155-806-468+,155,468,<END>,no,yes
4194.1,-,Dholavira,SEAL:R,None,+154-806-472-013-220-455-806+,154,472,013,no,no
5462.1,H-775,Harappa,TAB:B,None,+400-158-806-472+,158,472,<END>,no,yes
