object,site,type,condition,complete,text
Ad-8,Allahdino,MISC,Fair,N,+740-440-503-002-861-000+
H-93,Harappa,SEAL:S,Good,Y,+892-700+
C-75,Chanhu-daro,SEAL:S,Poor,Y,+740-531-060-692+
H-1776,Harappa,TAB:B,Fair,Y,+740-390-590-060-550+
M-1914,Mohenjo-daro,SEAL:S,Poor,N,]000-832-002-817+
H-89,Harappa,SEAL:S,Good,Y,+232-240-741-060-920+
H-90,Harappa,SEAL:S,Good,Y,+521-368-280-192-440+
H-92,Harappa,SEAL:S,Fair,Y,+156-176-518-220-416-002-615+
H-591,Harappa,SEAL:S,Poor,Y,+400-221-031-741+
K-40,Kalibangan,SEAL:S,Fine,Y,+760-031-002-861-791-440-717+
M-1913,Mohenjo-daro,SEAL:S,Poor,?,]416-002-817+
M-278,Mohenjo-daro,SEAL:S,Good,Y,+621-390-004-002-817+
M-280,Mohenjo-daro,SEAL:S,Fair,Y,+740-482-240-002-944-920-140+
M-281,Mohenjo-daro,SEAL:S,Poor,Y,+740-460-510-250-853+
M-282,Mohenjo-daro,SEAL:S,Good,Y,+156-142-368-817+
M-283,Mohenjo-daro,SEAL:S,Good,Y,+390-018+
M-284,Mohenjo-daro,SEAL:S,Fair,N,+740-760-335-000[
M-285,Mohenjo-daro,SEAL:S,Fine,Y,+504-350-240-002-861+
M-286,Mohenjo-daro,SEAL:S,Fair,Y,+740-255-705+
M-530,Mohenjo-daro,TAB:C,Poor,Y,+001-740-923-033-706+
M-1146,Mohenjo-daro,SEAL:S,Poor,Y,+740-772-235+
M-1149,Mohenjo-daro,SEAL:S,Poor,N,+679-000-000[
M-1151,Mohenjo-daro,SEAL:S,Fair,Y,+241-742-041+
M-1152,Mohenjo-daro,SEAL:S,Good,Y,+740-032-840-235-002-861+
M-1153,Mohenjo-daro,SEAL:S,Fair,N,+740-923-877-032-803-000-000+
M-1155,Mohenjo-daro,SEAL:S,Good,Y,+740-760-335-002-033-705+
M-1156,Mohenjo-daro,SEAL:S,Good,Y,+740-690-435-255-233+
M-1159,Mohenjo-daro,SEAL:S,Good,Y,+232-220-032-002-168-032+
M-1160,Mohenjo-daro,SEAL:S,Fair,N,+000-136-031-002-861+
M-2042,Mohenjo-daro,TAB:C,Good,Y,+740-923-033-706+
-:4155.1,Gonur Depe,SEAL:S,Good,Y,+740-390-590-125-220-235-002-285+
-:4174.1,Salut,TAG,Poor,N,+921-000[
-:4205.1,Dholavira,SEAL:S,Poor,N,+740-740-000-742+
-:4223.1,Dholavira,SEAL:S,Poor,Y,+031-151+
-:5464.1,Unknown,SEAL:S,Fair,N,+000-840-140-002-817+
-:5560.1,Rakhigarhi,TAG,Fair,N,]000-100-415-240-741-060-920+
