source_pool,source_hit,pool,sign,context_rows,background_rows,a,b,c,d,total,fisher_p
all,any_520,all,520,46,3457,10,36,214,3243,224,0.0004944211765318167
all,any_520,all,002,46,3457,19,27,704,2753,723,0.0010776286028015938
all,any_520,all,440,46,3457,4,42,38,3419,42,0.002023561997980589
all,any_520,all,621,46,3457,3,43,19,3438,22,0.002740870514081367
all,any_520,all,861,46,3457,8,38,201,3256,209,0.005117622477673606
all,any_520,all,232,46,3457,2,44,8,3449,10,0.007100370460476225
all,any_520,all,923,46,3457,3,43,32,3425,35,0.010340923546947179
all,any_520,all,253,46,3457,1,45,0,3457,1,0.013131601484421225
all,any_520,all,280,46,3457,1,45,0,3457,1,0.013131601484421225
all,any_520,all,860,46,3457,1,45,0,3457,1,0.013131601484421225
all,any_520,all,944,46,3457,1,45,0,3457,1,0.013131601484421225
all,any_520,all,921,46,3457,2,44,14,3443,16,0.018010390518441707
all,any_520,all,041,46,3457,1,45,1,3456,2,0.026094464514521357
all,any_520,all,168,46,3457,1,45,2,3455,3,0.038890709768130305
all,any_520,all,335,46,3457,2,44,24,3433,26,0.04490276973558511
all,any_520,all,192,46,3457,1,45,3,3454,4,0.051522431868041015
all,any_520,all,531,46,3457,1,45,3,3454,4,0.051522431868041015
all,any_520,all,285,46,3457,1,45,4,3453,5,0.06399169969765627
all,any_520,all,521,46,3457,1,45,4,3453,5,0.06399169969765627
all,any_520,all,817,46,3457,5,41,168,3289,173,0.0741315404468673
seal_s_only,any_520,seal_s_only,520,39,1506,9,30,142,1364,151,0.010416253972437355
seal_s_only,any_520,seal_s_only,621,39,1506,3,36,18,1488,21,0.01444476606281365
seal_s_only,any_520,seal_s_only,232,39,1506,2,37,7,1499,9,0.019990118525045137
seal_s_only,any_520,seal_s_only,335,39,1506,2,37,7,1499,9,0.019990118525045137
seal_s_only,any_520,seal_s_only,700,39,1506,2,37,8,1498,10,0.024592610510798852
seal_s_only,any_520,seal_s_only,041,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_only,any_520,seal_s_only,253,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_only,any_520,seal_s_only,280,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_only,any_520,seal_s_only,860,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_only,any_520,seal_s_only,944,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_only,any_520,seal_s_only,440,39,1506,3,36,25,1481,28,0.03150285439342697
seal_s_only,any_520,seal_s_only,221,39,1506,1,38,1,1505,2,0.04986417827852879
seal_s_only,any_520,seal_s_only,002,39,1506,17,22,468,1038,485,0.07098276766535808
seal_s_only,any_520,seal_s_only,168,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_only,any_520,seal_s_only,192,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_only,any_520,seal_s_only,285,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_only,any_520,seal_s_only,456,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_only,any_520,seal_s_only,018,39,1506,1,38,3,1503,4,0.09730256359149908
seal_s_only,any_520,seal_s_only,521,39,1506,1,38,3,1503,4,0.09730256359149908
seal_s_only,any_520,seal_s_only,531,39,1506,1,38,3,1503,4,0.09730256359149908
square_only,any_520,square_only,440,39,1530,4,35,26,1504,30,0.005612843574836293
square_only,any_520,square_only,520,39,1530,9,30,142,1388,151,0.009443761963646534
square_only,any_520,square_only,621,39,1530,3,36,18,1512,21,0.013858687655037547
square_only,any_520,square_only,335,39,1530,2,37,6,1524,8,0.015340974326889332
square_only,any_520,square_only,232,39,1530,2,37,7,1523,9,0.019416513624648024
square_only,any_520,square_only,041,39,1530,1,38,0,1530,1,0.02485659655833312
square_only,any_520,square_only,253,39,1530,1,38,0,1530,1,0.02485659655833312
square_only,any_520,square_only,280,39,1530,1,38,0,1530,1,0.02485659655833312
square_only,any_520,square_only,860,39,1530,1,38,0,1530,1,0.02485659655833312
square_only,any_520,square_only,944,39,1530,1,38,0,1530,1,0.02485659655833312
square_only,any_520,square_only,700,39,1530,2,37,9,1521,11,0.02874830467238796
square_only,any_520,square_only,002,39,1530,18,21,468,1062,486,0.03147593514761916
square_only,any_520,square_only,221,39,1530,1,38,1,1529,2,0.0491108011082192
square_only,any_520,square_only,861,39,1530,7,32,132,1398,139,0.050860053282185125
square_only,any_520,square_only,168,39,1530,1,38,2,1528,3,0.07277683732823396
square_only,any_520,square_only,192,39,1530,1,38,2,1528,3,0.07277683732823396
square_only,any_520,square_only,285,39,1530,1,38,2,1528,3,0.07277683732823396
square_only,any_520,square_only,456,39,1530,1,38,2,1528,3,0.07277683732823396
square_only,any_520,square_only,018,39,1530,1,38,3,1527,4,0.09586860191594028
square_only,any_520,square_only,136,39,1530,1,38,3,1527,4,0.09586860191594028
complete_only,any_520,complete_only,232,31,2153,2,29,6,2147,8,0.005178322184713486
complete_only,any_520,complete_only,253,31,2153,1,30,0,2153,1,0.014194139194149654
complete_only,any_520,complete_only,280,31,2153,1,30,0,2153,1,0.014194139194149654
complete_only,any_520,complete_only,944,31,2153,1,30,0,2153,1,0.014194139194149654
complete_only,any_520,complete_only,002,31,2153,13,18,499,1654,512,0.016570767884321203
complete_only,any_520,complete_only,861,31,2153,6,25,160,1993,166,0.02627591217889298
complete_only,any_520,complete_only,041,31,2153,1,30,1,2152,2,0.02819321463391998
complete_only,any_520,complete_only,192,31,2153,1,30,1,2152,2,0.02819321463391998
complete_only,any_520,complete_only,621,31,2153,2,29,17,2136,19,0.028700116483571472
complete_only,any_520,complete_only,520,31,2153,6,25,164,1989,170,0.029172797916983427
complete_only,any_520,complete_only,168,31,2153,1,30,2,2151,3,0.041999818825635395
complete_only,any_520,complete_only,923,31,2153,2,29,24,2129,26,0.051304411217530266
complete_only,any_520,complete_only,285,31,2153,1,30,3,2150,4,0.055616510992696766
complete_only,any_520,complete_only,531,31,2153,1,30,3,2150,4,0.055616510992696766
complete_only,any_520,complete_only,456,31,2153,1,30,4,2149,5,0.06904581748760012
complete_only,any_520,complete_only,521,31,2153,1,30,4,2149,5,0.06904581748760012
complete_only,any_520,complete_only,440,31,2153,2,29,30,2123,32,0.07431367212807487
complete_only,any_520,complete_only,018,31,2153,1,30,5,2148,6,0.0822902321998351
complete_only,any_520,complete_only,221,31,2153,1,30,5,2148,6,0.0822902321998351
complete_only,any_520,complete_only,518,31,2153,1,30,5,2148,6,0.0822902321998351
non_poor_only,any_520,non_poor_only,861,31,1702,8,23,125,1577,133,0.0016960744246896254
non_poor_only,any_520,non_poor_only,002,31,1702,15,16,403,1299,418,0.0025997350984921187
non_poor_only,any_520,non_poor_only,232,31,1702,2,29,4,1698,6,0.004443705174544627
non_poor_only,any_520,non_poor_only,440,31,1702,3,28,24,1678,27,0.011340564916299098
non_poor_only,any_520,non_poor_only,041,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,253,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,280,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,944,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,335,31,1702,2,29,11,1691,13,0.02137192773139771
non_poor_only,any_520,non_poor_only,000,31,1702,7,24,159,1543,166,0.023659438109168145
non_poor_only,any_520,non_poor_only,520,31,1702,6,25,127,1575,133,0.02716124824167651
non_poor_only,any_520,non_poor_only,192,31,1702,1,30,1,1701,2,0.035466271493927844
non_poor_only,any_520,non_poor_only,168,31,1702,1,30,2,1700,3,0.05273983913323404
non_poor_only,any_520,non_poor_only,285,31,1702,1,30,2,1700,3,0.05273983913323404
non_poor_only,any_520,non_poor_only,791,31,1702,1,30,2,1700,3,0.05273983913323404
non_poor_only,any_520,non_poor_only,923,31,1702,2,29,21,1681,23,0.062068188802467075
non_poor_only,any_520,non_poor_only,521,31,1702,1,30,3,1699,4,0.0697138651372582
non_poor_only,any_520,non_poor_only,504,31,1702,1,30,4,1698,5,0.08639337362805467
non_poor_only,any_520,non_poor_only,760,31,1702,3,28,60,1642,63,0.09999872054751797
non_poor_only,any_520,non_poor_only,018,31,1702,1,30,5,1697,6,0.10278330731871478
without_mohenjo,any_520,without_mohenjo,440,17,1954,3,14,19,1935,22,0.0007423722898156648
without_mohenjo,any_520,without_mohenjo,060,17,1954,5,12,93,1861,98,0.0010538097655122785
without_mohenjo,any_520,without_mohenjo,253,17,1954,1,16,0,1954,1,0.008625063419588236
without_mohenjo,any_520,without_mohenjo,280,17,1954,1,16,0,1954,1,0.008625063419588236
without_mohenjo,any_520,without_mohenjo,518,17,1954,1,16,0,1954,1,0.008625063419588236
without_mohenjo,any_520,without_mohenjo,192,17,1954,1,16,1,1953,2,0.017180075562676055
without_mohenjo,any_520,without_mohenjo,521,17,1954,1,16,1,1953,2,0.017180075562676055
without_mohenjo,any_520,without_mohenjo,531,17,1954,1,16,1,1953,2,0.017180075562676055
without_mohenjo,any_520,without_mohenjo,285,17,1954,1,16,2,1952,3,0.0256655700855306
without_mohenjo,any_520,without_mohenjo,692,17,1954,2,15,31,1923,33,0.0316068624715545
without_mohenjo,any_520,without_mohenjo,791,17,1954,1,16,3,1951,4,0.03408207684806431
without_mohenjo,any_520,without_mohenjo,741,17,1954,3,14,84,1870,87,0.03607334322643109
without_mohenjo,any_520,without_mohenjo,221,17,1954,1,16,4,1950,5,0.04243012193880612
