iteration,best_sign,best_initial,best_occurrences,best_fisher_p,ge_target
0,838,4,4,0.002114608225860306,false
1,415,8,18,0.024273560942447467,false
2,007,2,2,0.046148431781154714,false
3,005,6,7,0.0005506493642017325,false
4,100,8,19,0.03426690923915929,false
5,520,10,22,0.010037320206167823,false
6,255,6,12,0.026968186027263474,false
7,705,11,26,0.013181573699647803,false
8,690,6,10,0.009083565959152617,false
9,455,4,4,0.002114608225860306,false
10,745,5,8,0.014115820338465706,false
11,840,5,7,0.006420112227408486,false
12,233,15,39,0.0112423149980569,false
13,233,14,39,0.026755269181922208,false
14,408,3,3,0.009887351840656564,false
15,235,13,31,0.007875426415305618,false
16,064,4,5,0.008767262149434489,false
17,706,10,22,0.010037320206167823,false
18,832,6,9,0.004430526630197973,false
19,002,24,80,0.043884163473654036,false
20,575,6,11,0.01640615923886318,false
21,472,3,3,0.009887351840656564,false
22,031,8,18,0.024273560942447467,false
23,467,3,3,0.009887351840656564,false
24,892,4,4,0.002114608225860306,false
25,140,8,16,0.010714488855771373,false
26,154,12,19,0.0000969318096131616,false
27,555,5,8,0.014115820338465706,false
28,415,8,18,0.024273560942447467,false
29,353,3,4,0.033205582685037136,false
30,004,7,12,0.005844132450455533,false
31,033,18,40,0.0006761547401009214,false
32,002,27,80,0.006682784305513765,false
33,231,10,20,0.004351039076572829,false
34,520,9,22,0.03066584054791217,false
35,861,10,21,0.006741815303860423,false
36,820,14,33,0.005191153808661489,false
37,605,3,3,0.009887351840656564,false
38,255,6,12,0.026968186027263474,false
39,423,4,6,0.0218465089409302,false
40,142,9,19,0.010532707034349305,false
41,354,5,7,0.006420112227408486,false
42,031,8,18,0.024273560942447467,false
43,794,3,3,0.009887351840656564,false
44,752,6,8,0.001802687360776415,false
45,233,14,39,0.026755269181922208,false
46,002,28,80,0.003209600235497635,false
47,360,3,3,0.009887351840656564,false
48,407,20,55,0.007548972157603014,false
49,400,9,16,0.0024268729872298717,false
