object,site,region,type,material,shape,symbol,condition,complete,has_740,has_407,first_sign,first_740_position,first_407_position,text
K-158,Kalibangan,Inter-Riverine,TAB:C,Copper,square,NA,Poor,Y,true,false,740,0,,+740-798+
Dlp-1,Desalpur,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-920-324-233-240-013-817+
Dlp-2,Desalpur,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Fair,Y,false,true,590,,1,+590-407-790-440+
-:135.1,Dholavira,Gujarat/Kutch,SEAL:R,Clay,rectangular,NA,Fair,Y,false,true,590,,1,+590-407-790-032+
-:139.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Good,Y,true,true,740,0,2,+740-100-407-590+
Grb-1,Gharo Bhiro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,740,0,,+740-923-838+
M-584,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Anth,Poor,N,true,true,740,0,3,+740-900-000-407-000-000-000+
H-661,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-055-806+
H-161,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Good,Y,true,false,740,0,,+740-760-070-921-315-233+
H-1714,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,false,true,407,,0,+407-790-032+
M-1294,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,?,true,false,740,0,,+740-176-220[
H-982,Harappa,Inter-Riverine,SEAL:R,Steatite,prism,Bult,Fair,Y,true,false,740,0,,+740-388-031+
H-1711,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-840-013-745-031-370+
H-1707,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Poor,N,true,false,740,0,,+740-760-838-240-000[
H-1705,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,740,0,,+740-904-231-240-798-060-692+
H-129,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,409,2,,+409-061-740-235-220-031-002-861-244-165+
H-131,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,740,0,,+740-032-840-233-240-033-706-055-002-595-575-794-000+
H-132,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fine,Y,true,true,154,5,3,+154-806-471-407-845-740-233-231-798+
H-133,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,740,0,,+740-554-220-415-798-060-692+
H-134,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,740,0,,+740-405-590-220-003-002-861+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-773-231-806-002-861+
H-137,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,true,false,740,0,,+740-443-388-033-705-233-002-817+
M-1321,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,true,false,740,0,,+740-388[
H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,true,false,740,0,,+740-384-032-002-817+
