object,site,region,type,material,shape,symbol,condition,complete,first_sign,target_position,text
-:5.1,Allahdino,Lower Indus,TAG,Clay,NA,Bull,Poor,Y,740,0,+740-235+
M-1592,Mohenjo-daro,Lower Indus,POT:T:g,Clay,NA,NA,Poor,?,740,0,+740-390-590[
Ad-3,Allahdino,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,Y,740,0,+740-904-033-705-235+
Ad-4,Allahdino,Lower Indus,SEAL:S,Steatite,square,Bull1:II,Fair,Y,740,0,+740-017-495-235-741-066+
Ad-6,Allahdino,Lower Indus,SEAL:S,Steatite,square,Rhin,Fair,Y,072,2,+072-170-740-840-013+
Ad-7,Allahdino,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,740,0,+740-142-000/000-388-000+
Ad-8,Allahdino,Lower Indus,MISC,Clay,square,Elep,Fair,N,740,0,+740-440-503-002-861-000+
K-158,Kalibangan,Inter-Riverine,TAB:C,Copper,square,NA,Poor,Y,740,0,+740-798+
B-1,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Bull1:O,Fair,Y,090,1,+090-740-220-002-368-550-821+
B-4,Banawali,Eastern Headwaters,SEAL:S,NA,square,Bull3,Poor,Y,740,0,+740-797+
-:5234.1,Lakhanjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,740,0,+740-061+
M-977,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:X,Poor,Y,740,0,+740-803+
-:5555.1,Shikarpur,Gujarat/Kutch,POT:T:g,Clay,NA,NA,Poor,N,740,0,+740-000[
Ch-1,Chandigarh,Eastern Headwaters,POT:T:g,Clay,NA,NA,Fair,N,220,2,+220-000-740-550-705+
Ch-2,Chandigarh,Eastern Headwaters,POT:T:g,Clay,NA,NA,Good,Y,740,0,+740-050-705+
C-87,Chanhu-daro,Lower Indus,TAG:P,Clay,circular,NA,Fair,Y,740,0,+740-405+
C-72,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull3,Fair,Y,740,0,+740-386+
