object,site,symbol,type,text
C-16,Chanhu-daro,Bull1:L,SEAL:S,+429-003-741-060-920+
H-1309,Harappa,NA,TAB:I,+156-176-741-060-920+
H-2128,Harappa,NA,TAB:I,+504-350-741-060-920+
H-89,Harappa,Elep,SEAL:S,+232-240-741-060-920+
H-175,Harappa,Anth,TAB:B,+167-705-368-005-741-060-920+
H-735,Harappa,Phyt,TAB:B,+000-003-741-060-920+
K-4,Kalibangan,Bull1:W,SEAL:S,+036-269-140-002-741-060-920+
L-28,Lothal,Bull1:S,SEAL:S,+740-406-590-741-060-920+
L-217,Lothal,Mult,TAB:B,+740-821-741-060-920+
M-1805,Mohenjo-daro,Bull1:S,SEAL:S,+740-440-741-060-920+
M-966,Mohenjo-daro,Bull1:J,SEAL:S,+740-042-741-060-920+
M-1757,Mohenjo-daro,Bull1:S,SEAL:S,+504-350-240-741-060-920+
M-854,Mohenjo-daro,Bull1,SEAL:S,+592-741-060-920+
M-1902,Mohenjo-daro,Zebu,SEAL:S,+151-390-590-741-060-920+
M-1672,Mohenjo-daro,Bull1:W,SEAL:S,+520-220-003-741-060-920+
M-113,Mohenjo-daro,Bull1:J,SEAL:S,+740-032-840-741-060-920+
M-247,Mohenjo-daro,Gaur,SEAL:S,+390-017-741-060-920+
M-326,Mohenjo-daro,Bull1:S,SEAL:S,+740-904-235-741-060-920+
M-427,Mohenjo-daro,Bull1,TAG:P,+740-100-415-741-060-920+
M-647,Mohenjo-daro,Bull1:S,SEAL:S,+740-100-235-233-741-060-920+
M-755,Mohenjo-daro,Bull1,SEAL:S,+740-337-484-741-060-920+
M-820,Mohenjo-daro,Bull1,SEAL:S,]000-741-060-920+
M-841,Mohenjo-daro,Bull1,SEAL:S,]741-060-920+
M-870,Mohenjo-daro,Bull1:L,SEAL:S,+740-460-741-060-920+
M-964,Mohenjo-daro,Bull1:J,SEAL:S,+527-550-741-060-920+
M-971,Mohenjo-daro,Bull1:J,SEAL:S,+740-416-741-060-920+
M-974,Mohenjo-daro,Bull1:I,SEAL:S,+740-927-741-060-920+
M-1078,Mohenjo-daro,Unknown,SEAL:S,+000-000-388-028-741-060-920+
M-1114,Mohenjo-daro,Zebu,SEAL:S,+740-140-002-741-060-920+
M-1190,Mohenjo-daro,NA,SEAL:S,]000-000-741-000/740-231-235-741-060-920+
M-1360,Mohenjo-daro,NA,SEAL:R,]000-017-741-060-920+
M-1383,Mohenjo-daro,Bull1,TAG:R,+740-575-017-031-741-060-920+
Rgr-1,Rakhigarhi,Bull1:J,SEAL:S,+740-760-335-741-060-920+
-:4159.1,Dholavira,Bull1:J,SEAL:S,+368-005-741-060-920+
-:4175.1,Dholavira,Bull1:W,SEAL:S,+156-142-741-060-920+
-:5560.1,Rakhigarhi,Elep,TAG,]000-100-415-240-741-060-920+
