object,site,region,type,material,shape,symbol,condition,complete,has_741_060_920,text
C-8,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fine,Y,false,+740-803-233-741-250-579+
C-16,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fine,Y,true,+429-003-741-060-920+
-:321.1,Unknown,Other,SEAL:S,NA,square,Bull1:J,Fair,Y,false,+090-740-103-741-066+
H-52,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,N,false,+740-390-590-125-741-000-000+
H-450,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,+740-100-240-741-702-900-003+
H-466,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,N,false,+740-390-590-233-231-741-000+
H-467,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,?,false,]741-390-125+
H-519,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:L,Poor,Y,false,+740-904-033-741-700+
K-13,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Fine,Y,false,+740-585-017-741-630+
M-966,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,true,+740-042-741-060-920+
M-1756,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,+151-240-235-741-892+
M-1712,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,false,+240-741-390-458+
M-1691,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,false,+740-690-435-255-240-741-906+
M-1731,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,+390-004-741-617+
M-1771,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,false,+740-384-741-859+
M-1801,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,Y,false,+520-400-350-031-741-759+
M-1834,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,false,+450-617-033/740-463-510-741-252-791+
M-51,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,+740-798-460-350-235-741-390-140+
M-93,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,+156-003-240-741-345+
M-112,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,+740-760-220-016-382-741-572-684+
M-113,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,true,+740-032-840-741-060-920+
M-127,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,false,+565-740-220-741-176+
M-128,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,+740-923-803-741-500-705+
M-139,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,+033-832-236-741-361+
M-203,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,+740-390-590-741-081-220+
M-220,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,N,false,+000-590-165-741-545+
M-648,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,false,+090-740-100-220-032-741-361+
M-725,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,+090-740-220-003-741-252-530+
M-730,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Good,Y,false,+740-384-090-351-741-033-272+
M-863,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,false,+740-255-705-741-412+
M-870,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Poor,Y,true,+740-460-741-060-920+
M-878,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,false,+740-900-005-741-390-125+
M-933,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,false,+740-390-590-741-821+
M-964,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,true,+527-550-741-060-920+
M-968,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,false,+740-923-741-390-590+
M-971,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,true,+740-416-741-060-920+
Pbm-1,Pabumath,Gujarat/Kutch,SEAL:S,NA,square,Bull1:J,Poor,N,false,]220-416-220-415-741-000[
Pk-1,Pirak,Lower Indus,SEAL:S,NA,square,Bull1:L,Poor,?,false,+740-176-741-440-405[
Rgr-1,Rakhigarhi,Eastern Headwaters,SEAL:S,NA,square,Bull1:J,Fair,Y,true,+740-760-335-741-060-920+
-:4159.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:J,Good,Y,true,+368-005-741-060-920+
