pool,sign,pool_rows,context_rows,a,b,c,d,total,fisher_p,bonferroni_p
bull1_jl_all,741,3503,232,40,192,158,3113,198,4.108758655928567e-11,2.933653680332997e-8
bull1_jl_all,740,3503,232,127,105,1175,2096,1302,1.3543563031383163e-8,0.000009670104004407578
bull1_jl_all,060,3503,232,33,199,175,3096,208,0.0000011930343061109437,0.0008518264945632138
bull1_jl_all,390,3503,232,32,200,186,3085,218,0.000009865912447389268,0.0070442614874359375
bull1_jl_all,002,3503,232,73,159,650,2621,723,0.000039083789548941714,0.027905825737944385
bull1_jl_all,205,3503,232,2,230,0,3271,2,0.004368614125786478,1
bull1_jl_all,891,3503,232,2,230,0,3271,2,0.004368614125786478,1
bull1_jl_all,817,3503,232,21,211,152,3119,173,0.004376420090768088,1
bull1_jl_all,760,3503,232,15,217,93,3178,108,0.0044476328847835485,1
bull1_jl_all,222,3503,232,4,228,8,3263,12,0.006076585905965536,1
bull1_jl_all,900,3503,232,12,220,71,3200,83,0.00769155723081177,1
bull1_jl_all,252,3503,232,3,229,4,3267,7,0.008221955458775692,1
bull1_jl_all,460,3503,232,7,225,30,3241,37,0.00947948236014496,1
bull1_jl_all,125,3503,232,9,223,47,3224,56,0.010253846714044874,1
bull1_jl_all,350,3503,232,8,224,39,3232,47,0.010834301134638805,1
bull1_jl_all,491,3503,232,4,228,10,3261,14,0.011062843843925606,1
bull1_jl_all,920,3503,232,16,216,116,3155,132,0.012504817612537295,1
bull1_jl_all,361,3503,232,2,230,1,3270,3,0.012531845662792331,1
bull1_jl_all,066,3503,232,4,228,13,3258,17,0.022490300854458533,1
bull1_jl_all,081,3503,232,2,230,2,3269,4,0.02397203157386722,1
