id,cisi,site,type,symbol,text,prev,next,lane,is_seal,is_tablet_b,is_no_icon,is_phyt
592.1,H-1999,Harappa,TAB:B,Mult,+400-154-806-467+,154,467,seal_lane_candidate,no,yes,no,no
745.1,H-1980,Harappa,TAB:B,Phyt,+400-158-806-475+,158,475,tablet_phyt_lane_candidate,no,yes,no,yes
805.1,H-1788,Harappa,TAB:B,None,+154-806-470-002-861+,154,470,seal_lane_candidate,no,yes,yes,no
1034.1,H-1979,Harappa,TAB:B,Phyt,+740-158-806-467+,158,467,tablet_phyt_lane_candidate,no,yes,no,yes
1087.1,H-27,Harappa,SEAL:S,Bull1:W,+154-806-468-001-740-877-032+,154,468,seal_lane_candidate,yes,no,no,no
1117.1,H-58,Harappa,SEAL:S,Bull1:W,+158-806-468-740-752-231-235+,158,468,tablet_phyt_lane_candidate,yes,no,no,no
1173.1,H-132,Harappa,SEAL:R,None,+154-806-471-407-845-740-233-231-798+,154,471,seal_lane_candidate,yes,no,yes,no
1184.1,H-143,Harappa,SEAL:R,None,+154-806-469-001-740-877-032+,154,469,seal_lane_candidate,yes,no,yes,no
1187.1,H-146,Harappa,SEAL:R,None,+154-806-467-031+,154,467,seal_lane_candidate,yes,no,yes,no
1193.1,H-152,Harappa,SEAL:R,None,+154-806-468+,154,468,seal_lane_candidate,yes,no,yes,no
1195.1,H-154,Harappa,SEAL:R,None,+154-806-467-013-817+,154,467,seal_lane_candidate,yes,no,yes,no
1199.1,H-158,Harappa,SEAL:R,None,+154-806-472-001-740-405-590+,154,472,seal_lane_candidate,yes,no,yes,no
1201.1,H-160,Harappa,SEAL:R,None,+400-154-806-468+,154,468,seal_lane_candidate,yes,no,yes,no
1222.1,H-189,Harappa,TAB:B,Othr,+400-158-806-470+,158,470,tablet_phyt_lane_candidate,no,yes,no,no
1223.1,H-190,Harappa,TAB:B,Phyt,+158-806-465+,158,465,tablet_phyt_lane_candidate,no,yes,no,yes
1239.1,H-208,Harappa,TAB:B,-,+400-158-806-472+,158,472,tablet_phyt_lane_candidate,no,yes,no,no
1585.1,H-670,Harappa,SEAL:R,None,+154-806-468+,154,468,seal_lane_candidate,yes,no,yes,no
1588.1,H-681,Harappa,SEAL:R,None,+154-806-468+,154,468,seal_lane_candidate,yes,no,yes,no
1626.1,H-724,Harappa,TAB:B,Phyt,+158-806-465+,158,465,tablet_phyt_lane_candidate,no,yes,no,yes
1628.1,H-726,Harappa,TAB:B,Phyt,+158-806-465+,158,465,tablet_phyt_lane_candidate,no,yes,no,yes
2218.1,M-1683,Mohenjo-daro,SEAL:S,Bull1:W,+155-806-467-001-692+,155,467,seal_lane_candidate,yes,no,no,no
2223.1,M-1986,Mohenjo-daro,SEAL:R,None,+154-806-468+,154,468,seal_lane_candidate,yes,no,yes,no
2443.1,M-1957,Mohenjo-daro,SEAL:R,None,+154-806-474-013-820+,154,474,seal_lane_candidate,yes,no,yes,no
2853.1,M-357,Mohenjo-daro,SEAL:R,None,+740-100-806-472-240-806-001-820+,100,472,seal_lane_candidate,yes,no,yes,no
2867.1,M-371,Mohenjo-daro,SEAL:R,None,+617-142-384-032-154-806-467+,154,467,seal_lane_candidate,yes,no,yes,no
2955.2,M-470,Mohenjo-daro,TAB:B,None,+400-158-806-473+,158,473,tablet_phyt_lane_candidate,no,yes,yes,no
3706.2,M-1419,Mohenjo-daro,TAB:B,None,+400-158-806-467+,158,467,tablet_phyt_lane_candidate,no,yes,yes,no
3965.1,H-1104,Harappa,TAB:B,Phyt,+158-806-465+,158,465,tablet_phyt_lane_candidate,no,yes,no,yes
3966.1,H-1105,Harappa,TAB:B,Phyt,+158-806-465+,158,465,tablet_phyt_lane_candidate,no,yes,no,yes
4007.1,M-1962,Mohenjo-daro,SEAL:R,None,+155-806-468+,155,468,seal_lane_candidate,yes,no,yes,no
4194.1,-,Dholavira,SEAL:R,None,+154-806-472-013-220-455-806+,154,472,seal_lane_candidate,yes,no,yes,no
5462.1,H-775,Harappa,TAB:B,None,+400-158-806-472+,158,472,tablet_phyt_lane_candidate,no,yes,yes,no
