object,site,region,type,material,shape,condition,complete,text
H-1999,Harappa,Inter-Riverine,TAB:B,Clay,twisted cuboid,Fair,Y,+400-154-806-467+
H-1980,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Poor,Y,+400-158-806-475+
H-1788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Poor,Y,+154-806-470-002-861+
H-1979,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Poor,Y,+740-158-806-467+
H-27,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Fair,Y,+154-806-468-001-740-877-032+
H-58,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Good,Y,+158-806-468-740-752-231-235+
H-132,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,Fine,Y,+154-806-471-407-845-740-233-231-798+
H-143,Harappa,Inter-Riverine,SEAL:R,Terracotta,rectangular,Good,Y,+154-806-469-001-740-877-032+
H-146,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,Poor,Y,+154-806-467-031+
M-1986,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,Good,Y,+154-806-468+
H-154,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,Good,Y,+154-806-467-013-817+
H-158,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,Fair,Y,+154-806-472-001-740-405-590+
H-160,Harappa,Inter-Riverine,SEAL:R,Steatite,plano-convex,Good,Y,+400-154-806-468+
H-189,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Good,Y,+400-158-806-470+
H-1105,Harappa,Inter-Riverine,TAB:B,Steatite,cylindrical,Fair,Y,+158-806-465+
H-775,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Good,Y,+400-158-806-472+
M-1957,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,Good,Y,+154-806-474-013-820+
M-371,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,Good,Y,+617-142-384-032-154-806-467+
M-470,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Fair,Y,+400-158-806-473+
M-1334,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,Fair,N,+154-806-468-001-000[
M-1419,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Good,Y,+400-158-806-467+
-:4194.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,Good,Y,+154-806-472-013-220-455-806+
