target,prev,exact_cells,terminal_cells,terminal_share,sites,types,examples
017,410,1,1,1,1,1,Agr-1:410-017-<END>:+410-017+
017,405,2,2,1,2,2,Agr-3:405-017-<END>:+405-017+ | M-673:405-017-<END>:+405-017+
235,740,8,3,0.375,4,5,-:740-235-<END>:+740-235+ | H-1871:740-235-<END>:+151-740-235+ | H-129:740-235-220:+409-061-740-235-220-031-002-861-244-165+ | H-954:740-235-240:+090-740-235-240+ | M-1751:740-235-<END>:+565-740-235+
390,740,37,1,0.02702702702702703,7,4,Ad-1:740-390-590:+740-390-590+ | C-2:740-390-590:+740-390-590+ | H-1776:740-390-590:+740-390-590-060-550+ | H-1692:740-390-590:+740-390-590-002-861+ | H-733:740-390-590:+740-390-590-240+
590,390,50,8,0.16,8,4,Ad-1:390-590-<END>:+740-390-590+ | C-2:390-590-<END>:+740-390-590+ | C-12:390-590-031:+161-390-590-031-740-060-920+ | H-1776:390-590-060:+740-390-590-060-550+ | H-1692:390-590-002:+740-390-590-002-861+
390,368,4,0,0,2,1,Ad-2:368-390-125:+368-390-125-033+ | M-734:368-390-590:+033-033-368-390-590+ | M-784:368-390-710:+368-390-710+ | M-824:368-390-831:+368-390-831+
125,390,8,2,0.25,3,1,Ad-2:390-125-033:+368-390-125-033+ | M-38:390-125-632:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:390-125-632:+151-337-484-002-390-125-632-032-900-563+ | M-314:390-125-308:+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+ | M-320:390-125-<END>:+740-176-741-390-125+
033,125,1,1,1,1,1,Ad-2:125-033-<END>:+368-390-125-033+
904,740,17,0,0,4,4,Ad-3:740-904-033:+740-904-033-705-235+ | -:740-904-240:+740-904-240-002-817+ | -:740-904-240:+740-904-240+ | H-1897:740-904-240:+400-740-904-240+ | H-1705:740-904-231:+740-904-231-240-798-060-692+
033,904,3,0,0,3,2,Ad-3:904-033-705:+740-904-033-705-235+ | H-519:904-033-741:+740-904-033-741-700+ | M-606:904-033-705:+740-100-904-033-705-231-798+
705,033,64,9,0.140625,6,10,Ad-3:033-705-235:+740-904-033-705-235+ | C-9:033-705-240:+151-233-803-033-705-240+ | H-2015:033-705-235:+520-033-705-235-832-002-817+ | H-1816:033-705-240:+400-525-550-033-705-240+ | H-2139:033-705-235:+740-176-033-705-235+
235,705,8,4,0.5,3,4,Ad-3:705-235-<END>:+740-904-033-705-235+ | H-2015:705-235-832:+520-033-705-235-832-002-817+ | H-2139:705-235-<END>:+740-176-033-705-235+ | H-25:705-235-055:+740-900-003-806-033-705-235-055+ | M-534:705-235-<END>:+407-321-407-845-033-705-235+
017,740,4,0,0,3,2,Ad-4:740-017-495:+740-017-495-235-741-066+ | -:740-017-503:+400-740-017-503+ | M-1891:740-017-503:+400-740-017-503-240+ | M-1813:740-017-503:+740-017-503+
495,017,1,0,0,1,1,Ad-4:017-495-235:+740-017-495-235-741-066+
235,495,1,0,0,1,1,Ad-4:495-235-741:+740-017-495-235-741-066+
741,235,8,0,0,3,1,Ad-4:235-741-066:+740-017-495-235-741-066+ | H-76:235-741-175:+740-100-240-235-741-175-132+ | M-1756:235-741-892:+151-240-235-741-892+ | M-51:235-741-390:+740-798-460-350-235-741-390-140+ | M-129:235-741-360:+520-233-240-235-741-360+
066,741,2,2,1,2,1,Ad-4:741-066-<END>:+740-017-495-235-741-066+ | -:741-066-<END>:+090-740-103-741-066+
460,156,1,0,0,1,1,Ad-5:156-460-510:+156-460-510+
510,460,6,3,0.5,2,1,Ad-5:460-510-<END>:+156-460-510+ | M-1820:460-510-<END>:+740-460-510+ | M-1730:460-510-220:+740-460-510-220-065-393+ | M-281:460-510-250:+740-460-510-250-853+ | M-723:460-510-235:+740-460-510-235-220-032-002-861+
170,072,1,0,0,1,1,Ad-6:072-170-740:+072-170-740-840-013+
740,170,1,0,0,1,1,Ad-6:170-740-840:+072-170-740-840-013+
840,740,13,0,0,6,6,Ad-6:740-840-013:+072-170-740-840-013+ | H-1711:740-840-013:+740-840-013-745-031-370+ | H-147:740-840-013:+740-840-013+ | H-326:740-840-013:+740-840-013+ | H-875:740-840-013:+400-740-840-013+
013,840,13,9,0.6923076923076923,5,6,Ad-6:840-013-<END>:+072-170-740-840-013+ | H-1711:840-013-745:+740-840-013-745-031-370+ | H-147:840-013-<END>:+740-840-013+ | H-326:840-013-<END>:+740-840-013+ | H-469:840-013-<END>:+740-760-840-013+
415,390,2,1,0.5,2,2,Alt-90:390-415-<END>:+390-415+ | L-145:390-415-002:+390-415-002-550+
034,390,3,2,0.6666666666666666,3,3,Ai-7:390-034-<END>:+390-034+ | H-335:390-034-<END>:+390-034+ | M-315:390-034-002:+390-034-002-374-228-741+
844,405,1,0,0,1,1,-:405-844-032:+405-844-032-840-002-861+
032,844,1,0,0,1,1,-:844-032-840:+405-844-032-840-002-861+
