iter,rhin_820,elep_820,exact_ge,pair_max_ge
0,2,2,0,1
1,3,4,0,1
2,1,4,0,1
3,1,2,0,1
4,1,2,0,1
5,1,1,0,1
6,2,2,0,1
7,1,0,0,1
8,1,3,0,1
9,0,3,0,1
10,2,3,0,1
11,0,2,0,1
12,2,1,0,1
13,1,4,0,1
14,1,1,0,1
15,2,1,0,1
16,0,2,0,1
17,0,1,0,1
18,1,3,0,1
19,2,0,0,1
20,3,0,0,1
21,1,0,0,1
22,2,2,0,1
23,2,2,0,1
24,2,1,0,1
25,0,1,0,1
26,0,4,0,1
27,0,1,0,1
28,2,2,0,1
29,0,3,0,1
30,2,1,0,1
31,2,4,0,1
32,0,3,0,1
33,1,2,0,1
34,0,2,0,1
35,2,3,0,1
36,2,2,0,1
37,0,1,0,1
38,0,3,0,1
39,2,3,0,1
40,0,1,0,1
41,2,2,0,1
42,1,2,0,1
43,0,2,0,1
44,0,4,0,1
45,2,4,0,1
46,0,1,0,1
47,1,1,0,1
48,2,0,0,1
49,1,3,0,1
50,2,2,0,1
51,2,0,0,1
52,3,1,0,1
53,0,2,0,1
54,2,2,0,1
55,3,2,0,1
56,2,3,0,1
57,1,2,0,1
58,2,1,0,1
59,0,3,0,1
60,2,6,0,1
61,1,2,0,1
62,0,0,0,1
63,2,3,0,1
64,1,1,0,1
65,2,0,0,1
66,1,0,0,1
67,2,4,0,1
68,1,2,0,1
69,1,2,0,1
70,0,3,0,1
71,0,1,0,1
72,1,3,0,1
73,1,3,0,1
74,2,1,0,1
75,1,2,0,1
76,1,2,0,1
77,1,2,0,1
78,1,2,0,1
79,1,3,0,1
80,2,3,0,1
81,1,1,0,1
82,3,1,0,1
83,2,4,0,1
84,1,4,0,1
85,1,1,0,1
86,1,5,0,1
87,1,3,0,1
88,1,3,0,1
89,1,3,0,1
90,2,1,0,1
91,1,2,0,1
92,1,2,0,1
93,0,0,0,1
94,1,0,0,1
95,0,0,0,1
96,0,1,0,1
97,0,3,0,1
98,0,2,0,1
99,4,1,0,1
100,0,3,0,1
101,1,3,0,1
102,0,1,0,1
103,2,2,0,1
104,2,2,0,1
105,0,2,0,1
106,2,2,0,1
107,1,1,0,1
108,2,3,0,1
109,1,2,0,1
110,0,1,0,1
111,0,1,0,1
112,0,2,0,1
113,1,5,0,1
114,2,3,0,1
115,2,2,0,1
116,3,2,0,1
117,1,1,0,1
118,1,2,0,1
119,0,4,0,1
120,1,1,0,1
121,1,0,0,1
122,0,2,0,1
123,1,3,0,1
124,0,2,0,1
125,1,2,0,1
126,1,3,0,1
127,2,0,0,1
128,2,3,0,1
129,0,0,0,1
130,1,2,0,1
131,1,2,0,1
132,1,3,0,1
133,1,1,0,1
134,0,2,0,1
135,1,0,0,1
136,0,1,0,1
137,1,3,0,1
138,0,2,0,1
139,1,1,0,1
140,1,1,0,1
141,2,0,0,1
142,0,3,0,1
143,2,3,0,1
144,2,0,0,1
145,1,1,0,1
146,1,3,0,1
147,1,3,0,1
148,1,2,0,1
149,3,1,0,1
150,2,2,0,1
151,2,1,0,1
152,1,3,0,1
153,0,3,0,1
154,2,1,0,1
155,2,1,0,1
156,0,2,0,1
157,1,0,0,1
158,1,1,0,1
159,3,3,0,1
160,1,1,0,1
161,0,1,0,1
162,0,3,0,1
163,2,2,0,1
164,1,2,0,1
165,0,4,0,1
166,0,4,0,1
167,1,2,0,1
168,3,1,0,1
169,0,2,0,1
170,2,2,0,1
171,1,1,0,1
172,2,3,0,1
173,0,3,0,1
174,1,2,0,1
175,2,3,0,1
176,2,1,0,1
177,0,4,0,1
178,0,0,0,1
179,3,1,0,1
180,1,3,0,1
181,0,3,0,1
182,0,3,0,1
183,3,0,0,1
184,2,4,0,1
185,1,3,0,1
186,2,3,0,1
187,0,1,0,1
188,0,1,0,1
189,2,3,0,1
190,1,0,0,1
191,1,0,0,1
192,2,1,0,1
193,0,1,0,1
194,1,2,0,1
195,1,2,0,1
196,0,2,0,1
197,0,3,0,1
198,1,2,0,1
199,2,0,0,1
