symbol,total,n817,n820,n861,share820,best_terminal,best_hits
Bull1:W,61,20,16,25,0.26229508196721313,861,25
Bull1,28,14,6,8,0.21428571428571427,817,14
Bull1:J,25,12,3,10,0.12,817,12
Bull1:S,24,10,3,11,0.125,861,11
Bull1:I,12,3,6,3,0.5,820,6
Elep,9,4,0,5,0,861,5
Gaur,9,4,2,3,0.2222222222222222,817,4
Zebu,8,3,2,3,0.25,817,3
Bull1:L,6,3,0,3,0,817,3
Bull1:V,5,2,1,2,0.2,817,2
Rhin,5,0,5,0,1,820,5
Buff,3,1,0,2,0,861,2
Bull1:II,3,0,1,2,0.3333333333333333,861,2
Bull1:T,3,1,2,0,0.6666666666666666,820,2
Tigr,3,2,0,1,0,817,2
Bull,2,1,0,1,0,817,1
Bull1:X,2,1,1,0,0.5,817,1
Bull:i:J,1,0,0,1,0,861,1
Bull1:U,1,0,1,0,1,820,1
Comp,1,0,0,1,0,861,1
CompBull,1,1,0,0,0,817,1
Mult,1,1,0,0,0,817,1
