object,site,region,type,material,shape,symbol,condition,complete,constraint_statuses,text
Ad-8,Allahdino,Lower Indus,MISC,Clay,square,Elep,Fair,N,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-440-503-002-861-000+
-:18.1,Bakkar Buthi,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,002_before_861:pass,+405-844-032-840-002-861+
B-1,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Bull1:O,Fair,Y,740_before_002:pass,+090-740-220-002-368-550-821+
-:4310.1,Dholavira,Gujarat/Kutch,TAG,terracotta,NA,NA,Fair,?,002_before_817:pass,]002-817[
K-416,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,002_before_861:pass,]000-002-861[
-:52.1,Bhirrana,Eastern Headwaters,SEAL:S,NA,square,Bull1,Good,Y,002_before_820:pass,+236-002-820+
M-32,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,002_before_817:pass,+390-003-002-817+
C-65,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,N,002_before_861:pass,+000-100-240-220-032-002-861+
C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-176-032-002-861+
C-58,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+032-031/740-222-235-002-861+
C-74,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,002_before_861:pass,+125-002-861+
C-71,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_861:fail,+000-000-000/000-861-002-906-003+
C-78,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-636-240/002-817+
C-57,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,N,740_before_002:pass,+740-032-840-002-296-530-000+
-:4234.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,NA,Bull1,Poor,N,002_before_820:pass,]000-000-002-820+
H-501,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,002_before_817:pass,+520-233-803-002-817+
C-1,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,740_before_002:pass,+031-840-140-740-101-002-365-287-034+
C-3,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-016-002-920-317+
C-4,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,002_before_817:pass,+520-235-803-002-817+
C-5,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fine,Y,740_before_002:pass,+740-140-717-002-298-741+
C-6,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740_before_002:pass;740_before_817:fail;002_before_817:fail,+817-521-521/090-740-221-002-031-500+
C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-231-220-032-002-817+
C-15,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,400_before_740:fail,+740-400-920-031+
C-18,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_817:pass,]000-031-002-817+
Dlp-1,Desalpur,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Good,Y,740_before_817:pass,+740-920-324-233-240-013-817+
Dlp-3,Desalpur,Gujarat/Kutch,TAG,NA,rectangular,NA,Fair,Y,740_before_002:fail,+394-032-002-892-740+
-:130.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+244-165/740-879-220-416-803-002-861+
-:132.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Tigr,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-416-002-861+
-:4260.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,Y,002_before_861:pass,+390-016-002-861+
-:143.1,Dholavira,Gujarat/Kutch,TAB:B,Clay,rectangular,Gavi,Fair,N,400_before_002:pass;002_before_817:pass,+000-400-350-031-002-817+
Dlv-1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:J,Poor,Y,002_before_861:pass,+151-382-031-002-861+
Dlv-2,Dholavira,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Poor,N,002_before_817:pass,]000-002-817+
-:156.1,Ganweriwala,Inter-Riverine,TAB:B,NA,rectangular,Scene,Poor,?,400_before_740:pass,+400-740-900[
K-411,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,400_before_740:pass,+400-740-000[
H-740,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,NA,Poor,N,400_before_740:pass,+400-740-100-176-000+
H-1042,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-923-000-220-002-817+
H-1056,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Fair,Y,400_before_740:pass,+400-090-740-220-003+
H-1045,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+740-900-005-002-820+
H-1038,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,740_before_002:pass,+740-519-002-297-000[
H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,400_before_740:pass;400_before_002:pass;740_before_002:pass;740_before_861:pass;002_before_861:pass,+400-740-575-017-920-320-798-002-861+
H-1304,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Poor,Y,400_before_740:pass,+400-740-176+
H-882,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,Gavi,Poor,Y,400_before_740:pass,+400-740-760-605+
H-1102,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-382+
H-1100,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Bull2,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-904-240-002-817+
H-1030,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+090-740-103-002-861+
