branch,predicted_class,frame_rows,frame_terminal,frame_continuing,frame_hits,nonframe_pool,nonframe_terminal,nonframe_continuing,objects
072,close_terminal,1,1,0,1,14,4,10,H-68
095,close_terminal,2,2,0,2,28,6,22,H-1993;M-71
125,open_continue,4,0,4,4,55,17,38,M-38;M-119;M-735;Sktd-1
140,close_terminal,1,1,0,1,109,45,64,M-708
346,close_terminal,1,1,0,1,5,3,2,M-213
530,open_continue,1,0,1,1,18,6,12,H-773
590,open_continue,1,0,1,1,227,59,168,-:3335.1
692,close_terminal,1,1,0,1,76,58,18,M-70
705,close_terminal,2,2,0,2,217,57,160,M-1825;-:4237.1
707,close_terminal,1,1,0,1,0,0,0,M-232
