policy,scope,class,model,masked_tokens,top1,top5,mrr_sum,top1_accuracy,top5_accuracy,mrr
raw_lipi_numeric,overall,all,frequency,739,73,208,144.1867519697503,0.098782,0.281461,0.195111
raw_lipi_numeric,overall,all,position,739,117,248,180.93149718818358,0.158322,0.335589,0.244833
raw_lipi_numeric,overall,all,bidirectional_bigram,739,208,360,278.9490766314299,0.281461,0.487145,0.377468
raw_lipi_numeric,position_class,initial,bidirectional_bigram,136,77,101,88.45060492830123,0.566176,0.742647,0.650372
raw_lipi_numeric,position_class,medial,bidirectional_bigram,467,125,217,166.69345804198989,0.267666,0.464668,0.356945
raw_lipi_numeric,position_class,terminal,bidirectional_bigram,136,6,42,23.805013661138847,0.044118,0.308824,0.175037
raw_lipi_numeric,position_class,initial,frequency,136,60,74,66.47063681972902,0.441176,0.544118,0.488755
raw_lipi_numeric,position_class,medial,frequency,467,13,131,72.6496725514448,0.027837,0.280514,0.155567
raw_lipi_numeric,position_class,terminal,frequency,136,0,3,5.066442598576729,0,0.022059,0.037253
raw_lipi_numeric,position_class,initial,position,136,60,100,73.5248740117408,0.441176,0.735294,0.540624
raw_lipi_numeric,position_class,medial,position,467,54,130,96.54507125027054,0.115632,0.278373,0.206735
raw_lipi_numeric,position_class,terminal,position,136,3,18,10.861551926172067,0.022059,0.132353,0.079864
p385_merge_only,overall,all,frequency,739,73,211,145.7083125767527,0.098782,0.285521,0.19717
p385_merge_only,overall,all,position,739,117,255,185.55249550760314,0.158322,0.345061,0.251086
p385_merge_only,overall,all,bidirectional_bigram,739,227,368,291.1084858477429,0.307172,0.49797,0.393922
p385_merge_only,position_class,initial,bidirectional_bigram,136,77,101,88.45085912411238,0.566176,0.742647,0.650374
p385_merge_only,position_class,medial,bidirectional_bigram,467,124,220,167.59141197331036,0.265525,0.471092,0.358868
p385_merge_only,position_class,terminal,bidirectional_bigram,136,26,47,35.06621475032055,0.191176,0.345588,0.25784
p385_merge_only,position_class,initial,frequency,136,60,74,66.29043006859662,0.441176,0.544118,0.48743
p385_merge_only,position_class,medial,frequency,467,13,115,71.73973692317566,0.027837,0.246253,0.153618
