"blind_id","truth_class","cisi","catalog_text","control_class","source_image_original","source_note"
"SBP1_001","positive_source_visible_032_002_y","M-49","+527-550-240-220-032-002-300-350-032-190+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M49_target_300_fullpanel_a.png","target non-core source-visible; 032-002-300 and later 032-190 extension need token boxes"
"SBP1_002","positive_source_visible_032_002_y","H-444","+241-220-032-002-861+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H444_non240_861_page310_full_panel_context.png","row-level source-visible; five-sign top signband visible; detailed token boxes still needed"
"SBP1_003","negative_002_y_prev_not_032","C-3","+740-016-002-920-317+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\C003.png","local_image_hit"
"SBP1_004","positive_source_visible_032_002_y","C-60","+740-176-032-002-861+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_context.png","row-level source-visible low-res; 032-002-861 packet visible enough for branch evidence, not token-level sign mapping"
"SBP1_005","positive_source_visible_032_002_y","M-722","+740-585-240-220-032-002-817+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M722_target_817_page083_label_context.png","row-level source-visible; 032-002-817 packet visually on same signband, detailed sign boxes still needed"
"SBP1_006","negative_002_y_prev_not_032","M-32","+390-003-002-817+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-32_impression_a_390-003-002_control_good_control.png","local_image_hit"
"SBP1_007","negative_002_y_prev_not_032","M-1273","+740-055-002-861-603+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_A_cisi_pakistan_n195.png","local_image_hit"
"SBP1_008","positive_source_visible_032_002_y","M-375","+740-100-233-220-032-002-820+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_hit2_india_0128_label_context.png","non-240 002-820 control source-visible at row level; detailed boxes still needed"
"SBP1_009","negative_002_y_prev_not_032","M-315","+390-034-002-374-228-741+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_cisi1\derived\m315_data_page_row_context_gray_autocontrast.png","local_image_hit"
"SBP1_010","negative_032_next_not_002","M-683","+740-798-231-002-298-460-032+","negative_032_next_not_002","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m685_cisi2\derived\m685_page37_m683_m686_context_gray_autocontrast.png","local_image_hit"
"SBP1_011","negative_002_y_prev_not_032","M-77","+832-390-803-002-861+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_A_panel_from_cisi_india_n68.png","local_image_hit"
"SBP1_012","negative_002_y_prev_not_032","M-376","+740-100-176-002-861-533-717+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_A_cisi_india_n129.png","local_image_hit"
"SBP1_013","positive_source_visible_032_002_y","H-597","+740-390-590-070-032-002-861+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_pakistan_0331_label_context.png","outside 002-861 control source-visible at row level; detailed boxes still needed"
"SBP1_014","negative_002_y_prev_not_032","H-910","+002-861-416+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\h910_component_probe\H910_A_panel.png","local_image_hit"
"SBP1_015","positive_source_visible_032_002_y","M-21","+350-001-740-362-692-032-002-861+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png","outside 002-861 control source-visible at row level; detailed boxes still needed"
"SBP1_016","positive_source_visible_032_002_y","C-10","+740-231-220-032-002-817+","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_context.png","row-level source-visible low-res; 032-002-817 packet visible enough for branch evidence, not token-level sign mapping"
"SBP1_017","negative_032_next_not_002","H-930","+700-032+","negative_032_next_not_002","C:\Users\Acer\OneDrive\Documents\ivc\tmp\independent_direction_controls\derived\H930_B_source_panel_v2.png","local_image_hit"
"SBP1_018","negative_002_y_prev_not_032","C-1","+031-840-140-740-101-002-365-287-034+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_cohesion_gate\derived\C001.png","local_image_hit"
"SBP1_019","negative_002_y_prev_not_032","M-75","+520-220-004-002-817+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\cisi_india_n33_m75_m79_w2000.jpg","local_image_hit"
"SBP1_020","negative_002_y_prev_not_032","M-17","+390-016-002-814-560+","negative_002_y_prev_not_032","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-17_impression_a_390-016-002_control_good_control.png","local_image_hit"
