"cisi","lipi_id","site","type","symbol","material","lipi_complete","direction","text","token_count","control_class","control_position_index0","prev_token","focus_token","next_token","y_after_002","availability_tier","local_image_hit_count","source_panel_graph_count","mayig_overlap_count","same_site_as_source_visible","same_type_as_source_visible","same_symbol_as_source_visible","target_length_bucket_match","match_score","local_image_paths_first5","source_panel_graph_labels","mayig_paths"
"H-930","1810.2","Harappa","TAB:I","None","Steatite","Y","R/L","+700-032+","2","negative_032_next_not_002","1","700","032","","","local_image_hit","2","2","0","yes","no","yes","no","16","C:\Users\Acer\OneDrive\Documents\ivc\tmp\independent_direction_controls\derived\H930_B_source_panel_v2.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\independent_direction_controls\derived\H930_B_source_panel.png","H-930 A;H-930 B",""
"M-77","2604.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+832-390-803-002-861+","5","negative_002_y_prev_not_032","3","803","002","861","861","local_image_hit","32","0","1","yes","yes","yes","yes","15","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_A_panel_from_cisi_india_n68.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_A_signband_from_cisi_india_n68.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_face_A_panel_from_cisi_india_n68.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_face_A_panel_v2_from_cisi_india_n68.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_face_A_panel_v3_from_cisi_india_n68.png","","corpus/m001_m099/m077.json"
"H-910","1792.1","Harappa","TAB:I","None","Steatite","Y","R/L","+002-861-416+","3","negative_002_y_prev_not_032","0","","002","861","861","local_image_hit","12","2","0","yes","no","yes","no","15","C:\Users\Acer\OneDrive\Documents\ivc\tmp\h910_component_probe\H910_A_panel.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\h910_component_probe\H910_B_left_loop_component.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\h910_component_probe\H910_B_left_loop_core.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\h910_component_probe\H910_B_panel.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\h910_component_probe\H910_B_right_vertical_component.png","H-910 A;H-910 B",""
"M-17","2545.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+390-016-002-814-560+","5","negative_002_y_prev_not_032","2","016","002","814","814","local_image_hit","8","0","1","yes","yes","yes","yes","15","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-17_impression_a_390-016-002_control_good_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-17_impression_a_016_control_good_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\M-17_face_A_full_with_label.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\M-17_face_A_signs_close.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\M-17_impression_a_full_with_label.png","","corpus/m001_m099/m017.json"
"M-683","3119.1","Mohenjo-daro","SEAL:S","Bull1","Steatite","Y","R/L","+740-798-231-002-298-460-032+","7","negative_032_next_not_002","6","460","032","","","local_image_hit","2","0","0","yes","yes","yes","yes","15","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m685_cisi2\derived\m685_page37_m683_m686_context_gray_autocontrast.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m685_cisi2\derived\m685_page37_m683_m686_context.png","",""
"M-75","2603.1","Mohenjo-daro","SEAL:S","Bull1:W","Steatite","Y","R/L","+520-220-004-002-817+","5","negative_002_y_prev_not_032","3","004","002","817","817","local_image_hit","1","0","1","yes","yes","yes","yes","15","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\cisi_india_n33_m75_m79_w2000.jpg","","corpus/m001_m099/m075.json"
"M-315","2833.1","Mohenjo-daro","SEAL:S","None","Steatite","Y","R/L","+390-034-002-374-228-741+","6","negative_002_y_prev_not_032","2","034","002","374","374","local_image_hit","27","0","0","yes","yes","yes","yes","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_cisi1\derived\m315_data_page_row_context_gray_autocontrast.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_cisi1\derived\m315_data_page_row_context.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_cisi1\derived\m315_lower_impression_full_with_label_gray_autocontrast.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_cisi1\derived\m315_lower_impression_full_with_label.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_cisi1\derived\m315_lower_impression_right_390_region_gray_autocontrast.png","",""
"M-32","2560.1","Mohenjo-daro","SEAL:S","Bull1:J","Steatite","Y","R/L","+390-003-002-817+","4","negative_002_y_prev_not_032","2","003","002","817","817","local_image_hit","8","0","1","yes","yes","yes","no","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\M-32_impression_a_390-003-002_control_good_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\M-32_impression_a_003_control_good_control.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\M-32_face_A_full_with_label.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\M-32_face_A_signs_close.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\M-32_impression_a_full_with_label.png","","corpus/m001_m099/m032.json"
"M-1273","3580.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-055-002-861-603+","5","negative_002_y_prev_not_032","2","055","002","861","861","local_image_hit","3","0","0","yes","yes","yes","yes","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_A_cisi_pakistan_n195.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_face_A_cisi_pakistan_n195.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M1273_impression_a_cisi_pakistan_n195.png","",""
"M-376","2872.1","Mohenjo-daro","SEAL:R","None","Steatite","Y","R/L","+740-100-176-002-861-533-717+","7","negative_002_y_prev_not_032","3","176","002","861","861","local_image_hit","3","0","0","yes","yes","yes","yes","14","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_A_cisi_india_n129.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_face_A_cisi_india_n129.png;C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_suffix_split\M376_impression_a_cisi_india_n129.png","",""
