"iteration","has_all_three_categories","has_at_least_four_y_values","has_at_least_three_sites","has_target_and_non240_817","has_outside_861_multisite","categories","y_values","sites"
"0","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Kalibangan;Mohenjo-daro"
"1","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"2","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Kalibangan;Mohenjo-daro"
"3","true","false","false","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"4","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"5","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"6","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"7","true","false","false","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;861","Harappa;Mohenjo-daro"
"8","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"9","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"10","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"11","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"12","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"13","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"14","false","false","true","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"15","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Mohenjo-daro"
"16","false","false","false","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Kalibangan;Mohenjo-daro"
"17","false","false","true","false","false","non240_a_220_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"18","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"19","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"20","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"21","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Kalibangan;Mohenjo-daro"
"22","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"23","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"24","true","true","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"25","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Harappa;Mohenjo-daro"
"26","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"27","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"28","true","false","false","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"29","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"30","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"31","true","true","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"32","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"33","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Harappa;Kalibangan;Mohenjo-daro"
"34","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"35","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"36","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;861","Chanhu-daro;Harappa;Mohenjo-daro"
"37","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"38","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Harappa;Mohenjo-daro"
"39","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"40","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"41","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","820;861","Harappa;Mohenjo-daro"
"42","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"43","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"44","false","false","false","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Harappa;Mohenjo-daro"
"45","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"46","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"47","false","false","false","false","false","non240_a_220_032;target_240_220_032","817;820;861","Mohenjo-daro"
"48","false","false","true","true","false","non240_a_220_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"49","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"50","true","false","true","false","true","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"51","true","false","false","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"52","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"53","false","false","false","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"54","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"55","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"56","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Kalibangan;Mohenjo-daro"
"57","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"58","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"59","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"60","false","false","true","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"61","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"62","false","false","false","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Harappa;Mohenjo-daro"
"63","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"64","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"65","false","false","true","false","false","non240_a_220_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"66","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Kalibangan;Mohenjo-daro"
"67","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Kalibangan;Mohenjo-daro"
"68","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"69","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;820;861","Mohenjo-daro"
"70","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Kalibangan;Mohenjo-daro"
"71","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Mohenjo-daro"
"72","true","false","true","true","true","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"73","true","false","true","true","true","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"74","true","false","false","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"75","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"76","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"77","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"78","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","820;861","Harappa;Mohenjo-daro"
"79","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"80","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"81","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Mohenjo-daro"
"82","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Mohenjo-daro"
"83","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"84","true","true","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"85","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"86","true","false","true","false","true","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;861","Chanhu-daro;Harappa;Mohenjo-daro"
"87","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Mohenjo-daro"
"88","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Kalibangan;Mohenjo-daro"
"89","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"90","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"91","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Mohenjo-daro"
"92","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;820;861","Chanhu-daro;Mohenjo-daro"
"93","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Harappa;Mohenjo-daro"
"94","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Mohenjo-daro"
"95","false","false","true","false","false","non240_a_220_032;outside_a_220_x_032","817;820;861","Chanhu-daro;Kalibangan;Mohenjo-daro"
"96","false","false","true","false","false","non240_a_220_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"97","true","false","true","true","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"98","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"99","true","true","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Harappa;Kalibangan;Mohenjo-daro"
"100","true","true","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;817;820;861","Chanhu-daro;Mohenjo-daro"
"101","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Kalibangan;Mohenjo-daro"
"102","true","false","true","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","817;820;861","Chanhu-daro;Harappa;Mohenjo-daro"
"103","true","false","false","false","false","non240_a_220_032;outside_a_220_x_032;target_240_220_032","300;820;861","Harappa;Mohenjo-daro"
