policy,sign,token_count,inscription_count,provisional_class,class_evidence,counterevidence,initial_share,medial_share,terminal_share,mean_normalized_position,top_left_neighbors,top_right_neighbors,example_records
raw_lipi_numeric,L740,73,73,initial_operator_candidate,initial_share=0.822,medial_share=0.178,0.821918,0.178082,0,0.04744,<s>:60;L090:8;L001:1;L061:1;L503:1,L760:5;L923:5;L220:4;L390:4;L798:4,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26
raw_lipi_numeric,L002,60,60,medial_core_candidate,medial_share=1.000,,0,1,0,0.660126,L032:7;L803:6;L235:4;L003:3;L231:3,L817:10;L861:10;L820:6;L220:4;L390:4,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32
raw_lipi_numeric,L220,29,29,medial_core_candidate,medial_share=0.966,edge_share=0.034,0.034483,0.965517,0,0.426108,L520:5;L002:4;L740:4;L923:2;<s>:1,L032:6;L065:4;L415:4;L016:3;L004:2,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64
raw_lipi_numeric,L390,25,24,distributed_recurrent_candidate,max_position_share=0.520,,0.52,0.44,0.04,0.25573,<s>:13;L002:4;L740:4;L741:2;L550:1,L003:4;L590:4;L016:3;L125:2;L844:2,M-12;M-17;M-32;M-35;M-38;M-48;M-51;M-70
raw_lipi_numeric,L032,21,20,medial_core_candidate,medial_share=0.905,edge_share=0.095,0,0.904762,0.095238,0.522109,L220:6;L226:2;L632:2;L740:2;L070:1,L002:7;</s>:2;L235:2;L220:1;L231:1,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57
raw_lipi_numeric,L817,12,12,terminal_operator_candidate,terminal_share=0.917,medial_share=0.083,0,0.083333,0.916667,0.958333,L002:10;L368:1;L740:1,</s>:11;L556:1,M-14;M-32;M-42;M-58;M-75;M-80;M-90;M-101
raw_lipi_numeric,L861,12,12,terminal_operator_candidate,terminal_share=0.833,medial_share=0.167,0,0.166667,0.833333,0.9375,L002:10;L368:1;L741:1,</s>:10;L255:2,M-1;M-15;M-21;M-47;M-77;M-91;M-100;M-118
p385_merge_only,L740,73,73,initial_operator_candidate,initial_share=0.822,medial_share=0.178,0.821918,0.178082,0,0.04744,<s>:60;L090:8;L001:1;L061:1;L503:1,L760:5;L923:5;L220:4;L390:4;L798:4,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26
p385_merge_only,L002,60,60,medial_core_candidate,medial_share=1.000,,0,1,0,0.660126,L032:7;L803:6;L235:4;L003:3;L231:3,P385:20;L820:6;L220:4;L390:4;L368:3,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32
p385_merge_only,L220,29,29,medial_core_candidate,medial_share=0.966,edge_share=0.034,0.034483,0.965517,0,0.426108,L520:5;L002:4;L740:4;L923:2;<s>:1,L032:6;L065:4;L415:4;L016:3;L004:2,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64
p385_merge_only,L390,25,24,distributed_recurrent_candidate,max_position_share=0.520,,0.52,0.44,0.04,0.25573,<s>:13;L002:4;L740:4;L741:2;L550:1,L003:4;L590:4;L016:3;L125:2;L844:2,M-12;M-17;M-32;M-35;M-38;M-48;M-51;M-70
p385_merge_only,P385,24,24,terminal_operator_candidate,terminal_share=0.875,medial_share=0.125,0,0.125,0.875,0.947917,L002:20;L368:2;L740:1;L741:1,</s>:21;L255:2;L556:1,M-1;M-14;M-15;M-21;M-32;M-42;M-47;M-58
p385_merge_only,L032,21,20,medial_core_candidate,medial_share=0.905,edge_share=0.095,0,0.904762,0.095238,0.522109,L220:6;L226:2;L632:2;L740:2;L070:1,L002:7;</s>:2;L235:2;L220:1;L231:1,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57
mayig_observed_parpola,P324,76,73,initial_operator_candidate,initial_share=0.789,medial_share=0.211,0.789474,0.210526,0,0.072729,<s>:60;P013:8;P060:2;P121:1;P204:1,P332:6;P086:5;P175:5;P009:3;P050:3,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26
mayig_observed_parpola,P122,59,59,medial_core_candidate,medial_share=1.000,,0,1,0,0.65945,P364:8;P145:6;P060:4;P056:3;P058:3,P385:21;P378:6;P086:5;P205:4;P050:3,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32
mayig_observed_parpola,P086,29,28,distributed_recurrent_candidate,max_position_share=0.517,,0.517241,0.448276,0.034483,0.253298,<s>:15;P122:5;P324:5;P175:1;P230:1,P123:4;P276:4;P126:3;P035:2;P128:2,M-12;M-17;M-32;M-34;M-35;M-38;M-48;M-51
mayig_observed_parpola,P050,27,27,medial_core_candidate,medial_share=0.963,edge_share=0.037,0.037037,0.962963,0,0.428571,P217:5;P122:3;P324:3;P145:2;P175:2,P145:6;P092:5;P201:4;P124:2;P126:2,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64
mayig_observed_parpola,P385,25,25,terminal_operator_candidate,terminal_share=0.880,medial_share=0.120,0,0.12,0.88,0.95,P122:21;P202:2;P324:1;P325:1,</s>:22;P073:2;P231:1,M-1;M-14;M-15;M-21;M-32;M-42;M-47;M-58
mayig_observed_parpola,P145,22,21,medial_core_candidate,medial_share=0.909,edge_share=0.091,0,0.909091,0.090909,0.522619,P050:6;P051:2;P270:2;P324:2;P043:1,P122:6;</s>:2;P050:2;P060:2;P056:1,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57
