rank,scope,unit_kind,unit,context_field,context_value,n_rows,unit_rows,label_rows,support,expected,precision,recall,lift,log2_lift,z,max_null_ge_observed_share,worst_null_model,non_site_max_null_ge_observed_share,non_site_worst_null_model,field_max_null_ge_observed_share,field_worst_null_model,example_cisis,example_texts
1,context_exact,unigram,407,site_type,Mohenjo-daro|TAB:C,2192,60,75,25,2.05292,0.416667,0.333333,12.177778,3.606179,16.520717,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-2053;M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548,+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
2,context_exact,unigram,407,type,TAB:C,2192,60,76,25,2.080292,0.416667,0.328947,12.017544,3.58707,16.395964,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548,+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
3,context_exact,unigram,407,material_type,Copper|TAB:C,2192,60,76,25,2.080292,0.416667,0.328947,12.017544,3.58707,16.395964,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548,+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
4,context_exact,unigram,407,material,Copper,2192,60,80,25,2.189781,0.416667,0.3125,11.416667,3.51307,15.919522,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548,+407-032-520-095-585-017-220+;+740-900-850-407-061-845-806+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
5,context_exact,first,407,site_type,Mohenjo-daro|TAB:C,2192,44,75,20,1.505474,0.454545,0.266667,13.284848,3.73171,15.490677,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548;M-549,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
6,context_exact,first,407,type,TAB:C,2192,44,76,20,1.525547,0.454545,0.263158,13.110048,3.712601,15.375357,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548;M-549,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
7,context_exact,first,407,material_type,Copper|TAB:C,2192,44,76,20,1.525547,0.454545,0.263158,13.110048,3.712601,15.375357,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548;M-549,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
8,context_exact,bigram,061-845,site_type,Mohenjo-daro|TAB:C,2192,8,75,8,0.273723,1,0.106667,29.226667,4.869213,15.051149,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
9,context_exact,bigram,061-845,type,TAB:C,2192,8,76,8,0.277372,1,0.105263,28.842105,4.850105,14.948269,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
10,context_exact,bigram,061-845,material_type,Copper|TAB:C,2192,8,76,8,0.277372,1,0.105263,28.842105,4.850105,14.948269,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
11,context_exact,first,407,material,Copper,2192,44,80,20,1.605839,0.454545,0.25,12.454545,3.6386,14.935036,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-1456|M-1457|M-507|M-508;M-513|M-514|M-515;M-523|M-524;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-547;M-548;M-549,+407-032-520-095-585-017-220+;+407-845-220-415+;+407-585-233+;+407-071-032+;+407-321-407-845-033-705-235+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+
