scope,null_model,iteration,max_z,max_support,max_unit,max_context_field,max_context_value
context_exact,shuffle_contexts_global,0,4.291296,5,unigram:060,site_type_symbol,Harappa|SEAL:S|Bull1:J
context_exact,shuffle_contexts_global,1,4.875868,5,bigram:220-235,material_type,Faience|TAB:B
context_exact,shuffle_contexts_global,2,5.111091,6,bigram:527-555,material,Clay
context_exact,shuffle_contexts_global,3,5.52071,5,bigram:390-003,site_type,Mohenjo-daro|TAB:B
context_exact,shuffle_contexts_global,4,6.297643,5,bigram:740-482,symbol,Gaur
context_exact,shuffle_contexts_global,5,5.590399,8,last:032,material_type,NA|TAB:I
context_exact,shuffle_contexts_global,6,4.46831,5,bigram:520-240,cult,Trough
context_exact,shuffle_contexts_global,7,5.006959,6,bigram:700-033,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1
context_exact,shuffle_contexts_global,8,7.096933,5,unigram:350,type,POT:T:g
context_exact,shuffle_contexts_global,9,4.881828,5,unigram:741,cult,Mult
context_exact,shuffle_contexts_global,10,5.310835,9,unigram:255,cult,RAN
context_exact,shuffle_contexts_global,11,5.479165,5,last:240,site_type_symbol,Harappa|TAB:I|Bult
context_exact,shuffle_contexts_global,12,5.228426,5,last:415,site_type_symbol,Harappa|SEAL:R|None
context_exact,shuffle_contexts_global,13,6.092577,5,unigram:413,symbol,Bult
context_exact,shuffle_contexts_global,14,5.859597,5,first:226,cult,SAF
context_exact,shuffle_contexts_global,15,5.451693,5,unigram:005,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:I
context_exact,shuffle_contexts_global,16,6.628989,5,unigram:388,type_symbol,TAB:B|Mult
context_exact,shuffle_contexts_global,17,5.479165,5,unigram:617,site_type_symbol,Harappa|TAB:I|Bult
context_exact,shuffle_contexts_global,18,5.401858,5,unigram:176,symbol,Scene
context_exact,shuffle_contexts_global,19,7.105972,5,last:900,type_symbol,SEAL:S|Bull1
context_exact,shuffle_contexts_global,20,5.122661,6,unigram:760,site_type,Chanhu-daro|SEAL:S
context_exact,shuffle_contexts_global,21,4.492579,5,unigram:520,type,SEAL
context_exact,shuffle_contexts_global,22,5.192112,8,last:798,symbol,Bull1:J
context_exact,shuffle_contexts_global,23,5.428868,9,bigram:220-032,material_type,Clay|TAB:B
context_exact,shuffle_contexts_global,24,5.829408,7,first:820,site_type,Harappa|TAB:I
context_exact,shuffle_contexts_global,25,5.575114,10,unigram:156,material_type,Clay|TAB:B
context_exact,shuffle_contexts_global,26,6.297085,6,unigram:590,site_type_symbol,Harappa|SEAL:S|Bull1:J
context_exact,shuffle_contexts_global,27,4.952134,8,unigram:440,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:J
context_exact,shuffle_contexts_global,28,4.684048,5,unigram:700,symbol,Scene
context_exact,shuffle_contexts_global,29,5.377814,5,unigram:850,symbol,Bull1:I
context_exact,shuffle_contexts_global,30,5.774492,6,first:002,material_type,NA|SEAL:S
context_exact,shuffle_contexts_global,31,4.98834,5,bigram:740-176,symbol,Fish
context_exact,shuffle_contexts_global,32,4.702525,9,unigram:001,cult,RAF
context_exact,shuffle_contexts_global,33,6.115601,7,last:861,site_type_symbol,Mohenjo-daro|TAB:C|None
context_exact,shuffle_contexts_global,34,5.447638,5,last:032,site_type_symbol,Harappa|TAB:B|Gavi
context_exact,shuffle_contexts_global,35,4.945331,5,bigram:235-002,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1
context_exact,shuffle_contexts_global,36,5.509323,18,last:861,material_type,NA|SEAL:S
context_exact,shuffle_contexts_global,37,5.153928,8,first:390,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:I
context_exact,shuffle_contexts_global,38,6.728667,5,unigram:440,site_type,Lothal|SEAL:S
context_exact,shuffle_contexts_global,39,5.099721,5,last:142,material_type,NA|SEAL:S
context_exact,shuffle_contexts_global,40,6.070417,5,last:003,site_type_symbol,Harappa|TAB:B|Gavi
context_exact,shuffle_contexts_global,41,5.988161,5,unigram:692,site_type_symbol,Harappa|TAB:I|Bult
context_exact,shuffle_contexts_global,42,8.440413,5,bigram:740-407,material_type,Clay|TAB:B
context_exact,shuffle_contexts_global,43,7.122629,6,last:231,material_type,Clay|TAB:B
context_exact,shuffle_contexts_global,44,5.168083,11,unigram:435,symbol,Bull1
context_exact,shuffle_contexts_global,45,5.653181,6,bigram:740-255,symbol,Bull1:J
context_exact,shuffle_contexts_global,46,5.583113,5,bigram:176-233,material_type,Steatite|TAB:I
context_exact,shuffle_contexts_global,47,6.667811,5,unigram:741,material_type,Steatite|SEAL
context_exact,shuffle_contexts_global,48,5.521094,5,bigram:617-142,type_symbol,SEAL:S|Bull1:I
context_exact,shuffle_contexts_global,49,5.842515,9,unigram:798,symbol,Zebu
context_exact,shuffle_contexts_global,50,8.198949,5,bigram:740-923,site_type_symbol,Mohenjo-daro|SEAL:S|Zebu
context_exact,shuffle_contexts_global,51,6.294294,5,first:820,type_symbol,SEAL:S|Bull1
context_exact,shuffle_contexts_global,52,5.711879,6,bigram:740-405,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:J
context_exact,shuffle_contexts_global,53,4.961159,33,unigram:001,type_symbol,SEAL:S|Bull1:W
context_exact,shuffle_contexts_global,54,5.161499,5,last:125,material_type,NA|TAB:B
context_exact,shuffle_contexts_global,55,7.513649,5,bigram:705-233,site_type,Harappa|SEAL:R
context_exact,shuffle_contexts_global,56,5.739836,6,bigram:617-142,cult,SAF
context_exact,shuffle_contexts_global,57,5.965537,5,bigram:740-100,site_type_symbol,Mohenjo-daro|SEAL:S|None
context_exact,shuffle_contexts_global,58,5.219988,5,bigram:740-220,cult,RAF
context_exact,shuffle_contexts_global,59,5.778004,5,unigram:390,site_type_symbol,Harappa|SEAL:S|Gaur
context_exact,shuffle_contexts_global,60,5.64262,5,bigram:740-840,material_type,NA|SEAL:S
context_exact,shuffle_contexts_global,61,5.3249,6,bigram:740-585,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S
context_exact,shuffle_contexts_global,62,5.025344,5,bigram:741-390,site_type,Harappa|SEAL:S
context_exact,shuffle_contexts_global,63,5.754564,5,last:061,symbol,Bull1:I
context_exact,shuffle_contexts_global,64,6.617162,5,first:700,site_type,Mohenjo-daro|ROD
context_exact,shuffle_contexts_global,65,6.294294,5,first:892,type_symbol,SEAL:S|Bull1
context_exact,shuffle_contexts_global,66,7.704895,5,last:700,symbol,Phyt
context_exact,shuffle_contexts_global,67,5.945828,5,bigram:001-368,material_type,Steatite|SEAL:R
context_exact,shuffle_contexts_global,68,5.57504,8,last:503,site_type_symbol,Harappa|TAB:I|None
context_exact,shuffle_contexts_global,69,5.783847,8,bigram:740-585,site_type_symbol,Harappa|TAB:I|None
context_exact,shuffle_contexts_global,70,5.111983,5,unigram:416,type_symbol,SEAL:S|Gaur
context_exact,shuffle_contexts_global,71,4.789876,5,unigram:060,site_type,Mohenjo-daro|ROD
context_exact,shuffle_contexts_global,72,4.787091,6,first:032,material_type,NA|SEAL:S
context_exact,shuffle_contexts_global,73,4.493147,7,unigram:705,material_type,Clay|POT:T:g
context_exact,shuffle_contexts_global,74,6.454939,5,unigram:405,site_type_symbol,Mohenjo-daro|TAB:B|None
context_exact,shuffle_contexts_global,75,6.374337,7,last:032,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:L
context_exact,shuffle_contexts_global,76,5.512413,5,bigram:235-060,material_type,Steatite|SEAL:R
context_exact,shuffle_contexts_global,77,7.657512,5,unigram:035,site_type,Mohenjo-daro|TAB:B
context_exact,shuffle_contexts_global,78,7.896728,6,bigram:740-176,type_symbol,POT:T:s|None
context_exact,shuffle_contexts_global,79,4.986172,5,bigram:100-415,cult,RAN
context_exact,shuffle_contexts_global,80,6.375148,6,unigram:090,type_symbol,TAB:C|Othr
context_exact,shuffle_contexts_global,81,5.495161,6,bigram:407-061,type_symbol,SEAL:R|None
context_exact,shuffle_contexts_global,82,6.622705,6,bigram:390-590,type_symbol,TAB:B|Mult
context_exact,shuffle_contexts_global,83,5.896983,6,bigram:032-002,site_type,Mohenjo-daro|TAB:B
context_exact,shuffle_contexts_global,84,4.414768,5,last:235,type_symbol,SEAL:S|Zebu
context_exact,shuffle_contexts_global,85,4.790012,6,unigram:255,type_symbol,SEAL:S|None
context_exact,shuffle_contexts_global,86,6.24563,5,bigram:740-405,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1
context_exact,shuffle_contexts_global,87,5.234839,8,last:031,symbol,Bull1:I
context_exact,shuffle_contexts_global,88,5.484547,6,last:840,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:J
context_exact,shuffle_contexts_global,89,4.974569,7,bigram:740-760,site_type_symbol,Mohenjo-daro|SEAL:S|Gaur
context_exact,shuffle_contexts_global,90,4.811041,5,unigram:480,symbol,Bull1:J
context_exact,shuffle_contexts_global,91,6.114084,5,unigram:615,symbol,Bull1:L
context_exact,shuffle_contexts_global,92,5.900571,6,last:140,site_type,Harappa|SEAL:R
context_exact,shuffle_contexts_global,93,6.330215,10,unigram:700,site_type,Chanhu-daro|SEAL:S
context_exact,shuffle_contexts_global,94,5.843324,6,unigram:070,symbol,Gaur
context_exact,shuffle_contexts_global,95,5.055476,5,unigram:003,cult,Mult
context_exact,shuffle_contexts_global,96,5.539235,12,last:003,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:S
context_exact,shuffle_contexts_global,97,4.857317,6,unigram:032,symbol,Bull1:II
context_exact,shuffle_contexts_global,98,6.288192,6,unigram:142,type_symbol,SEAL:S|Zebu
context_exact,shuffle_contexts_global,99,6.085662,5,last:806,symbol,Zebu
context_exact,shuffle_contexts_within_site,0,14.417638,5,bigram:055-001,site_type,Lothal|SEAL:S
context_exact,shuffle_contexts_within_site,1,14.417638,5,bigram:055-001,site_type,Lothal|SEAL:S
context_exact,shuffle_contexts_within_site,2,7.90687,88,unigram:400,site_type,Harappa|TAB:B
context_exact,shuffle_contexts_within_site,3,6.695129,76,first:400,site_type,Harappa|TAB:B
context_exact,shuffle_contexts_within_site,4,14.417638,5,bigram:055-001,site_type,Lothal|SEAL:S
context_exact,shuffle_contexts_within_site,5,8.799474,59,unigram:700,site_type,Harappa|TAB:B
context_exact,shuffle_contexts_within_site,6,14.417638,5,bigram:055-001,site_type,Lothal|SEAL:S
context_exact,shuffle_contexts_within_site,7,7.826133,5,first:407,site_type_symbol,Mohenjo-daro|SEAL:S|Elep
