scope,null_model,iteration,max_z,max_support,max_unit,max_context_field,max_context_value
text_only,shuffle_contexts_global,0,6.146831,6,last:017,material_type,Steatite|TAB:I
text_only,shuffle_contexts_global,1,5.006291,5,last:861,symbol,Scene
text_only,shuffle_contexts_global,2,5.866467,5,unigram:165,type_symbol,SEAL:S|Bull1:I
text_only,shuffle_contexts_global,3,5.294264,5,bigram:740-773,material_type,Steatite|SEAL:R
text_only,shuffle_contexts_global,4,5.703016,7,first:220,material_type,Faience|TAB:B
text_only,shuffle_contexts_global,5,4.437006,5,unigram:820,type_symbol,TAB:B|NA
text_only,shuffle_contexts_global,6,5.235411,6,bigram:740-904,type_symbol,SEAL:S|Bull1
text_only,shuffle_contexts_global,7,7.852099,7,last:503,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1
text_only,shuffle_contexts_global,8,5.367564,6,last:920,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:L
text_only,shuffle_contexts_global,9,5.595749,5,bigram:407-845,symbol,Bull1:J
text_only,shuffle_contexts_global,10,5.238039,8,unigram:400,site_type_symbol,Mohenjo-daro|TAB:B|Mult
text_only,shuffle_contexts_global,11,5.811512,7,unigram:745,site_type_symbol,Mohenjo-daro|SEAL:R|None
text_only,shuffle_contexts_global,12,5.613425,8,unigram:415,type_symbol,SEAL:S|None
text_only,shuffle_contexts_global,13,6.195926,5,unigram:850,site_type,Mohenjo-daro|TAB:B
text_only,shuffle_contexts_global,14,5.607559,5,unigram:413,material_type,Clay|TAB:B
text_only,shuffle_contexts_global,15,5.3707,6,unigram:154,site_type,Harappa|SEAL:R
text_only,shuffle_contexts_global,16,5.698846,6,last:798,type_symbol,SEAL:S|Bull1
text_only,shuffle_contexts_global,17,6.37172,6,bigram:520-070,symbol,Bull1
text_only,shuffle_contexts_global,18,5.703016,7,unigram:320,material_type,Faience|TAB:B
text_only,shuffle_contexts_global,19,5.618641,5,unigram:320,cult,Trough
text_only,shuffle_contexts_global,20,5.775679,8,first:090,symbol,Zebu
text_only,shuffle_contexts_global,21,5.720842,12,unigram:350,type_symbol,TAB:B|None
text_only,shuffle_contexts_global,22,5.902212,6,bigram:158-806,material_type,Faience|TAB:B
text_only,shuffle_contexts_global,23,5.203587,7,bigram:060-920,site_type,Mohenjo-daro|TAB:B
text_only,shuffle_contexts_global,24,5.006894,5,first:151,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:L
text_only,shuffle_contexts_global,25,6.433353,5,bigram:220-240,site_type_symbol,Mohenjo-daro|SEAL:S|Bull1:J
text_only,shuffle_contexts_global,26,7.979434,5,bigram:806-002,material_type,NA|TAB:I
text_only,shuffle_contexts_global,27,6.101448,5,bigram:520-220,site_type,Chanhu-daro|SEAL:S
