id,cisis,text,token_count,duplicate_weight,site,type,material,symbol,cult
1.1,Agr-1|Agr-2,+410-017+,2,2,Alamgirpur,POT:T:g,Clay,None,None
3.1,Agr-3|M-673,+405-017+,2,2,Alamgirpur|Mohenjo-daro,POT:T:g|SEAL:S,Clay|Steatite,Bull1:W|None,None|SCN
6.1,Ad-1|C-2,+740-390-590+,3,2,Allahdino|Chanhu-daro,SEAL:S,Steatite,Bull1|Bull1:L,SAN
7.1,Ad-2,+368-390-125-033+,4,1,Allahdino,SEAL:S,Steatite,Bull1:J,SAN
8.1,Ad-3,+740-904-033-705-235+,5,1,Allahdino,SEAL:S,Steatite,Bull1:II,SAN
9.1,Ad-4,+740-017-495-235-741-066+,6,1,Allahdino,SEAL:S,Steatite,Bull1:II,SAN
10.1,Ad-5,+156-460-510+,3,1,Allahdino,SEAL:S,Steatite,Bull1,SAN
11.1,Ad-6,+072-170-740-840-013+,5,1,Allahdino,SEAL:S,Steatite,Rhin,Trough
16.1,Alt-90,+390-415+,2,1,Altyn Depe,SEAL:S,Soft stone,None,None
17.1,Ai-7|H-335,+390-034+,2,2,Amri|Harappa,POT:T:g|TAB:I,Clay|Steatite,None,None
19.1,Blk-1,+226-003-002-297-350-125-413+,7,1,Bala-kot,SEAL:S,NA,Bull1,NA
20.1,Blk-2,+390-717-061-002-368-634+,6,1,Bala-kot,SEAL:S,NA,Bull1,R
22.1,Blk-4,+527-554-298-368-634+,5,1,Bala-kot,SEAL:S,NA,Bull1:II,SAN
23.1,Blk-6|K-158,+740-798+,2,2,Bala-kot|Kalibangan,BNGL|TAB:C,Copper,None,None
27.1,B-1,+090-740-220-002-368-550-821+,7,1,Banawali,SEAL:S,Steatite,Bull1:O,HAF
28.1,B-3,+220-014+,2,1,Banawali,SEAL:S,NA,Bull1,S520
29.1,B-4,+740-797+,2,1,Banawali,SEAL:S,NA,Bull3,S390
30.1,B-15|B-5|B-7|H-292|H-293|H-887|K-27,+002-817+,2,7,Banawali|Harappa|Kalibangan,SEAL:S|TAB:I,Steatite,Buff|Bull2|Bull3|None|Rhin,None|SAN
32.1,B-8|H-521|H-69|M-1856,+740-061+,2,4,Banawali|Harappa|Mohenjo-daro,SEAL:S,Steatite,Bull1|Bull1:I|Goat:4,None|SAN
33.1,B-9|K-50|M-1742,+390-004+,2,3,Banawali|Kalibangan|Mohenjo-daro,SEAL:S,Steatite,Bull1:W|Comp|Goat:3,None|SAN
37.1,B-17,+236-002-308-072+,4,1,Banawali,SEAL:S,Steatite,Htgr,HBF
39.1,B-19|M-1797|M-977,+740-803+,2,3,Banawali|Mohenjo-daro,SEAL:S,Steatite,Bull1:W|Bull1:X|None,None|SAN
40.1,B-21,+426-003-060-692+,4,1,Banawali,SEAL:R,Steatite,None,None
54.1,Ch-2,+740-050-705+,3,1,Chandigarh,POT:T:g,Clay,None,None
57.1,C-87,+740-405+,2,1,Chanhu-daro,TAG:P,Clay,None,None
58.1,C-72,+740-386+,2,1,Chanhu-daro,SEAL:S,Steatite,Bull3,RBN
60.1,C-80|H-93,+892-700+,2,2,Chanhu-daro|Harappa,SEAL:S,Steatite,Bull1:W|Elep,Trough
61.1,C-66|H-407|M-32,+390-003-002-817+,4,3,Chanhu-daro|Harappa|Mohenjo-daro,SEAL:S,Steatite,Bull1:J|Bull1:W,RAN|SAF|SAN
64.1,C-54,+842-032-031-592-031-060-920+,7,1,Chanhu-daro,SEAL:S,Steatite,Bull1:W,HAF
65.1,C-59|L-23|M-1001,+740-482-235+,3,3,Chanhu-daro|Lothal|Mohenjo-daro,SEAL:S,Steatite,Bull1:L|Bull1:V|Bull1:W,SAN
66.1,C-69,+390-844-060-575-717+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1:J,SAN
67.1,C-75,+740-531-060-692+,4,1,Chanhu-daro,SEAL:S,Steatite,Elep,None
68.1,C-55,+740-067-741-647-892+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1,RAN
69.1,C-60,+740-176-032-002-861+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1:W,SAN
76.1,C-74,+125-002-861+,3,1,Chanhu-daro,SEAL:S,Steatite,Gaur,Trough
77.1,C-51,+151-740-100-240+,4,1,Chanhu-daro,SEAL:S,Steatite,Bull1:W,SAF
79.1,C-56,+001-368-767+,3,1,Chanhu-daro,SEAL:S,Steatite,Bull1:I,RBF
80.1,C-61,+526-388+,2,1,Chanhu-daro,SEAL:S,Steatite,Bull1,SAN
85.1,C-63,+161-055+,2,1,Chanhu-daro,SEAL:S,Steatite,Bull1:S,SAN
87.1,C-67|H-501,+520-233-803-002-817+,5,2,Chanhu-daro|Harappa,SEAL:S,Steatite,Bull1|Bull1:S,SAN
89.1,C-1,+031-840-140-740-101-002-365-287-034+,9,1,Chanhu-daro,SEAL:S,Steatite,Bull1,None
91.1,C-3,+740-016-002-920-317+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1:W,SAN
92.1,C-4,+520-235-803-002-817+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1:L,RAN
93.1,C-5,+740-140-717-002-298-741+,6,1,Chanhu-daro,SEAL:S,Steatite,Bull1:I,RBF
96.1,C-8,+740-803-233-741-250-579+,6,1,Chanhu-daro,SEAL:S,Steatite,Bull1:J,SAN
97.1,C-9,+151-233-803-033-705-240+,6,1,Chanhu-daro,SEAL:S,Steatite,Bull1:J,SAN
98.1,C-10,+740-231-220-032-002-817+,6,1,Chanhu-daro,SEAL:S,Steatite,Bull1:W,SAN
100.1,C-12,+161-390-590-031-740-060-920+,7,1,Chanhu-daro,SEAL:S,Steatite,Bull1:L,SAN
103.1,C-15,+740-400-920-031+,4,1,Chanhu-daro,SEAL:S,Steatite,Bull1:W,SAN
104.1,C-16,+429-003-741-060-920+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1:L,SAN
105.1,C-17|M-444,+740-100+,2,2,Chanhu-daro|Mohenjo-daro,SEAL|SEAL:S,Steatite,Bull1:I|None,Anth|None
107.1,C-20,+151-790-031-790-495+,5,1,Chanhu-daro,SEAL:S,Steatite,Bull1:I,SAN
108.1,C-21,+156-230+,2,1,Chanhu-daro,SEAL:S,Steatite,Bull1:II,SAN
113.1,C-30,+822-140-015+,3,1,Chanhu-daro,SEAL:S,Steatite,None,None
114.1,C-32,+375-400-390-632+,4,1,Chanhu-daro,SEAL:C,Steatite,Bull1:W,RAN
121.1,C-40,+390-095-909-005-825-776-220-016+,8,1,Chanhu-daro,IMPL,Copper,None,None
123.1,Dlp-1,+740-920-324-233-240-013-817+,7,1,Desalpur,SEAL:R,NA,None,None
145.1,Dlv-1,+151-382-031-002-861+,5,1,Dholavira,SEAL:S,NA,Bull1:J,HBN
157.1,Grb-1,+740-923-838+,3,1,Gharo Bhiro,SEAL:R,NA,None,None
162.2,H-1189|H-911,+033-255+,2,2,Harappa,TAB:I,Steatite,None,None
170.1,H-1397,+527-740-914+,3,1,Harappa,MISC,NA,NA,None
173.1,H-1028|H-1086,+220-016+,2,2,Harappa,POT:T:s|SEAL:S,Clay|Steatite,Bull1:W|None,None|SAN
176.1,H-1085,+235-033+,2,1,Harappa,POT:T:s,Clay,None,None
181.1,H-1422,+740-142+,2,1,Harappa,POT:T:g,Clay,None,None
198.1,H-1137|H-1138|H-1846,+740-603-240-060-692+,5,3,Harappa,TAB:B,Faience,None,None
198.2,H-1120|H-1138|H-1273|H-1354|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-1943|H-1981|H-1982|H-1987|H-2070|H-2094|H-2095|H-2096|H-2102|H-2105|H-2130|H-2137|H-2140|H-2141|H-2143|H-215|H-2155|H-2204|H-2206|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2239|H-2246|H-285|H-297|H-307|H-308|H-312|H-313|H-314|H-317|H-320|H-324|H-350|H-351|H-363|H-771|H-780|H-785|H-788|H-819|H-823|H-893|H-910|H-936|H-939|H-946|H-947|H-952|H-953|H-960|H-982|H-983|H-985,+700-034+,2,100,Harappa,SEAL:R|TAB:B|TAB:I,Clay|Faience|Steatite|steatite,Bult|Fish|Mult|None|Tri4|X,None
199.1,H-423,+520-220-240-798-060-692+,6,1,Harappa,SEAL:S,Steatite,Bull1,NA
205.1,H-661,+740-055-806+,3,1,Harappa,SEAL:R,Steatite,None,None
217.1,H-294,+090-740-240-220+,4,1,Harappa,TAB:I,Steatite,S590,None
218.2,H-1177,+033-720+,2,1,Harappa,TAB:I,Steatite,None,None
220.1,H-1142|H-761,+400-154-440-220+,4,2,Harappa,TAB:B,Faience,Fish|None,None
221.1,H-1326|H-1992|H-2146|H-2148|H-2149|H-2240|H-346|H-364|H-786|H-938|H-939|H-940|H-941|M-37,+520-220-415+,3,15,Harappa|Mohenjo-daro,SEAL:S|TAB:B|TAB:I,Faience|Steatite,Bull1|Bull1:S|Bult|Fish|None,None|SAN
222.1,H-1354|H-2213|H-2246|H-360,+824-032-578-415+,4,4,Harappa,TAB:I,Steatite,Bult|None,None
222.2,H-1354,+740-714-840-799+,4,1,Harappa,TAB:I,Steatite,Bult,None
229.1,H-1312,+740-031-904-001-032+,5,1,Harappa,TAB:I,Steatite,None,None
