target_id,collapse_mode,null_model,iteration,support,z
context_exact_407_material_copper,context_exact,shuffle_contexts_global,0,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,1,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,2,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,3,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,4,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,5,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,6,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,7,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,8,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,9,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,10,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,11,0,-1.528274
context_exact_407_material_copper,context_exact,shuffle_contexts_global,12,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,13,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,14,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,15,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,16,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,17,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,18,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,19,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,20,0,-1.528274
context_exact_407_material_copper,context_exact,shuffle_contexts_global,21,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,22,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,23,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,24,5,1.961285
context_exact_407_material_copper,context_exact,shuffle_contexts_global,25,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,26,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,27,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,28,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,29,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,30,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,31,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,32,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,33,4,1.263373
context_exact_407_material_copper,context_exact,shuffle_contexts_global,34,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,35,4,1.263373
context_exact_407_material_copper,context_exact,shuffle_contexts_global,36,0,-1.528274
context_exact_407_material_copper,context_exact,shuffle_contexts_global,37,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,38,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,39,2,-0.13245
context_exact_407_material_copper,context_exact,shuffle_contexts_global,40,3,0.565461
context_exact_407_material_copper,context_exact,shuffle_contexts_global,41,0,-1.528274
context_exact_407_material_copper,context_exact,shuffle_contexts_global,42,4,1.263373
context_exact_407_material_copper,context_exact,shuffle_contexts_global,43,1,-0.830362
context_exact_407_material_copper,context_exact,shuffle_contexts_global,44,4,1.263373
context_exact_407_material_copper,context_exact,shuffle_contexts_global,45,2,-0.13245
