edge_id,from_sign_uid,to_sign_uid,mapping_state,evidence_types,support_count,counterexample_count,aligned_positions,top_share,example_witnesses,counterexample_witnesses,confidence,review_status,accepted_for_analysis
edge_00001,lipi_numeric:740,mayig_p:P324,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,73,0,73,1.000000,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00002,lipi_numeric:002,mayig_p:P122,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,57,2,60,0.950000,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32,P145:2;P300:1,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00003,lipi_numeric:220,mayig_p:P050,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,27,2,29,0.931034,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64,P056:1;P060:1,low,needs_image_or_authoritative_sign_list_validation,false
edge_00004,lipi_numeric:390,mayig_p:P086,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,25,0,25,1.000000,M-12;M-17;M-32;M-35;M-38;M-48;M-51;M-70,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00005,lipi_numeric:032,mayig_p:P145,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,20,1,21,0.952381,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57,P122:1,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00006,lipi_numeric:060,mayig_p:P120,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,17,0,17,1.000000,M-5;M-26;M-31;M-48;M-56;M-59;M-63;M-64,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00007,lipi_numeric:520,mayig_p:P217,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,15,0,15,1.000000,M-37;M-64;M-65;M-75;M-85;M-86;M-117;M-122,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00008,lipi_numeric:240,mayig_p:P062,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,14,0,14,1.000000,M-5;M-24;M-29;M-30;M-38;M-42;M-46;M-54,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00009,lipi_numeric:820,mayig_p:P378,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,14,0,14,1.000000,M-6;M-16;M-31;M-48;M-54;M-86;M-103;M-108,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00010,lipi_numeric:233,mayig_p:P058,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,13,0,13,1.000000,M-12;M-31;M-33;M-35;M-85;M-88;M-107;M-118,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00011,lipi_numeric:235,mayig_p:P060,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,13,0,13,1.000000,M-5;M-24;M-29;M-30;M-38;M-46;M-47;M-51,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00012,lipi_numeric:741,mayig_p:P325,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,10,1,13,0.769231,M-51;M-85;M-93;M-112;M-113;M-127;M-128;M-129,P324:3,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00013,lipi_numeric:817,mayig_p:P385,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,12,0,12,1.000000,M-14;M-32;M-42;M-58;M-75;M-80;M-90;M-101,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00014,lipi_numeric:861,mayig_p:P385,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,12,0,12,1.000000,M-1;M-15;M-21;M-47;M-77;M-91;M-100;M-118,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00015,lipi_numeric:003,mayig_p:P123,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,10,0,10,1.000000,M-32;M-59;M-80;M-93;M-94;M-95;M-102;M-132,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00016,lipi_numeric:368,mayig_p:P202,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,10,0,10,1.000000,M-1;M-12;M-13;M-36;M-48;M-59;M-80;M-84,,medium_low,needs_image_or_authoritative_sign_list_validation,false
edge_00017,lipi_numeric:798,mayig_p:P230,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,6,1,10,0.600000,M-43;M-46;M-51;M-54;M-57;M-91;M-92;M-108,P075:4,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00018,lipi_numeric:803,mayig_p:P364,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,9,1,10,0.900000,M-44;M-52;M-69;M-77;M-115;M-117;M-118;M-128,P385:1,low,needs_image_or_authoritative_sign_list_validation,false
edge_00019,lipi_numeric:033,mayig_p:P147,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,9,0,9,1.000000,M-44;M-54;M-64;M-86;M-117;M-118;M-122;M-135,,low,needs_image_or_authoritative_sign_list_validation,false
