run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
ivc__micro__seed20260712,ivc,ivc,micro,20260712,random_initialization,886850,900,358400,1796,663,3611,0.0,994,739,4.2355413578843875,69.09907593953244,0.2449255751014885,0.41948579161028415,0.8757428077625486,0.8985507246376812,0.8913043478260869,121.919003678
pretrain_known_writing__micro__seed20260712,pretrain_known_writing,known_writing,micro,20260712,random_initialization,859373,1000,419104,662,461,2541,0.0,96,508,4.501223586675689,90.12734247567724,0.11614173228346457,0.3031496062992126,0.9560797683835969,0.8958333333333334,0.78125,127.67387347500002
ivc_transfer_known_writing__micro__seed20260712,ivc_transfer_known_writing,ivc,micro,20260712,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358400,1796,663,3611,0.0,994,739,4.138496615728603,62.7084756120292,0.2746955345060893,0.456021650879567,0.8500896861653205,0.8985507246376812,0.8913043478260869,115.63598856200002
pretrain_nonwriting__micro__seed20260712,pretrain_nonwriting,nonwriting,micro,20260712,random_initialization,853310,1000,324881,593,414,1854,0.0,88,417,3.209642954581647,24.770240544628958,0.18944844124700239,0.5635491606714629,0.9064745640011428,0.6341463414634146,0.5609756097560976,114.00263220799997
ivc_transfer_nonwriting__micro__seed20260712,ivc_transfer_nonwriting,ivc,micro,20260712,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358400,1796,663,3611,0.0,994,739,4.17219694186612,64.85778448425357,0.2679296346414073,0.44113667117726657,0.8634057361153692,0.8913043478260869,0.8623188405797102,116.74589499399997
pretrain_ivc_position_slot_shuffle__micro__seed20260712,pretrain_ivc_position_slot_shuffle,ivc_position_slot_shuffle,micro,20260712,random_initialization,866081,1000,423811,663,469,2563,0.0,98,520,4.783327550154466,119.5013358720233,0.11346153846153846,0.2519230769230769,0.9636917737814096,0.9183673469387755,0.8979591836734694,126.80517292100001
ivc_transfer_ivc_position_slot_shuffle__micro__seed20260712,ivc_transfer_ivc_position_slot_shuffle,ivc,micro,20260712,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358400,1796,663,3611,0.0,994,739,4.212854615083728,67.54909150437582,0.2462787550744249,0.41542625169147496,0.8659625434101192,0.8840579710144928,0.8623188405797102,115.88145116800001
ivc__micro__seed20260713,ivc,ivc,micro,20260713,random_initialization,886850,900,361345,1796,661,3657,0.0,999,751,3.9448351904491927,51.667822059818064,0.2769640479360852,0.4766977363515313,0.8488605565300953,0.9305555555555556,0.9097222222222222,115.43936378599994
pretrain_known_writing__micro__seed20260713,pretrain_known_writing,known_writing,micro,20260713,random_initialization,861437,1000,414204,661,463,2494,0.0,97,552,4.542118791220845,93.8895218147897,0.1286231884057971,0.27355072463768115,0.959495288738306,0.8350515463917526,0.7835051546391752,126.98186635299999
ivc_transfer_known_writing__micro__seed20260713,ivc_transfer_known_writing,ivc,micro,20260713,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361345,1796,661,3657,0.0,999,751,3.830368184217918,46.0795008563228,0.3009320905459387,0.4966711051930759,0.8263969370591815,0.9027777777777778,0.9444444444444444,114.35775774099989
